txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-11-05,2025-11-06 00:00:00,0001104659-25-107422,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Sanchez Juan,0002094238,,true,false,false,P,13000.0,5.79,75270.0,78150.0,D,235776146.5942173,0.00031924349043477876
2025-11-05,2025-11-06 00:00:00,0001104659-25-107418,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Kaplan Matthew L.,0001895952,,true,false,false,P,11000.0,5.84,64240.0,124760.0,D,235776146.5942173,0.0002724618284247401
2025-11-05,2025-11-06 00:00:00,0001104659-25-107423,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BENTSUR RON,0001251213,Chairman & CEO,true,true,true,P,5000.0,5.72,28600.0,3525924.0,D,235776146.5942173,0.0001213014989562199
2025-10-27,2025-10-29 00:00:00,0001104659-25-103522,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,72836.0,6.28,457410.08,3136576.0,I,235776146.5942173,0.0019400184734854708
2025-10-24,2025-10-29 00:00:00,0001104659-25-103522,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,35034.0,6.15,215459.1,3063740.0,I,235776146.5942173,0.0009138290836978349
2025-10-23,2025-10-29 00:00:00,0001104659-25-103522,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,46900.0,6.06,284214.0,3028706.0,I,235776146.5942173,0.0012054400078441638
2025-06-20,2025-06-24 00:00:00,0001104659-25-062168,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,5603.0,7.99,44767.97,2981806.0,I,235776146.5942173,0.0001898748904275204
2025-06-18,2025-06-20 00:00:00,0001104659-25-060965,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,28043.0,8.05,225746.15000000002,2976203.0,I,235776146.5942173,0.000957459663587261
2025-06-17,2025-06-20 00:00:00,0001104659-25-060965,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,5399.0,8.11,43785.89,2948160.0,I,235776146.5942173,0.0001857095835710545
2025-05-12,2025-05-13 00:00:00,0001104659-25-047938,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,21167.0,8.11,171664.37,2942761.0,I,235776146.5942173,0.0007280820069361939
2025-05-09,2025-05-12 00:00:00,0001104659-25-047089,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,9850.0,8.947,88127.95,2921382.0,I,235776146.5942173,0.0003737780571656923
2025-05-09,2025-05-12 00:00:00,0001104659-25-047089,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,9817.0,8.9041,87411.5497,2931199.0,I,235776146.5942173,0.00037073958058378025
2025-05-09,2025-05-12 00:00:00,0001104659-25-047089,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,5395.0,8.976,48425.520000000004,2936594.0,I,235776146.5942173,0.00020538769803267156
2025-05-08,2025-05-12 00:00:00,0001104659-25-047089,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,2400.0,8.97,21528.0,2911532.0,I,235776146.5942173,9.130694648704553e-05
2025-05-08,2025-05-09 00:00:00,0001104659-25-046882,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,2400.0,8.65,20760.0,2911532.0,I,235776146.5942173,8.804961952206731e-05
2025-05-08,2025-05-12 00:00:00,0001104659-25-047089,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,100.0,8.99,899.0,2909032.0,I,235776146.5942173,3.8129387259315276e-06
2025-05-08,2025-05-12 00:00:00,0001104659-25-047089,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,100.0,8.71,871.0000000000001,2909132.0,I,235776146.5942173,3.6941820136666975e-06
2025-05-08,2025-05-09 00:00:00,0001104659-25-046882,NVCT,"Nuvectis Pharma, Inc.",0001875558,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Mosseri Marlio Charles,0001806384,,false,false,true,P,100.0,8.65,865.0,2909132.0,I,235776146.5942173,3.6687341467528045e-06
