txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-07,2026-05-08 00:00:00,0001957908-26-000002,NXG,NXG NextGen Infrastructure Income Fund,0001506488,NYSE,,,,Sunderland Todd,0001957908,,false,false,false,P,802.0,58.45,46876.9,3211.157,D,404002390.51200104,0.00011603124412356047
2026-05-07,2026-05-12 00:00:00,0001777679-26-000005,NXG,NXG NextGen Infrastructure Income Fund,0001506488,NYSE,,,,Mullins Andrea,0001777679,,true,false,false,P,346.0,58.45,20223.7,1395.1622,D,404002390.51200104,5.0058367165526086e-05
2026-05-07,2026-05-11 00:00:00,0001899813-26-000002,NXG,NXG NextGen Infrastructure Income Fund,0001506488,NYSE,,,,Nelson Blake,0001899813,CFO & Treasurer,false,true,false,P,222.0,58.45,12975.900000000001,1048.0,D,404002390.51200104,3.211837430851674e-05
2026-05-07,2026-05-08 00:00:00,0001555638-26-000002,NXG,NXG NextGen Infrastructure Income Fund,0001506488,NYSE,,,,Musgrave John M.,0001555638,CEO & President,true,true,false,P,134.0,58.45,7832.3,541.7363,D,404002390.51200104,1.9386766474510102e-05
2026-05-07,2026-05-08 00:00:00,0001957908-26-000002,NXG,NXG NextGen Infrastructure Income Fund,0001506488,NYSE,,,,Sunderland Todd,0001957908,,false,false,false,P,27.0,58.45,1578.15,1139.295,I,404002390.51200104,3.906288767252036e-06
2026-03-10,2026-03-11 00:00:00,0001957908-26-000001,NXG,NXG NextGen Infrastructure Income Fund,0001506488,NYSE,,,,Sunderland Todd,0001957908,,false,false,false,P,2000.0,52.66,105320.0,2409.16,D,404002390.51200104,0.000260691526766774
2026-03-10,2026-03-11 00:00:00,0001555638-26-000001,NXG,NXG NextGen Infrastructure Income Fund,0001506488,NYSE,,,,Musgrave John M.,0001555638,CEO & President,true,true,false,P,400.0,52.0,20800.0,400.0,D,404002390.51200104,5.148484387342289e-05
2026-02-06,2026-02-09 00:00:00,0001777679-26-000002,NXG,NXG NextGen Infrastructure Income Fund,0001506488,NYSE,,,,Mullins Andrea,0001777679,,true,false,false,P,155.0,51.3,7951.5,1019.1084,D,404002390.51200104,1.968181423363087e-05
2026-01-08,2026-01-12 00:00:00,0001899813-26-000001,NXG,NXG NextGen Infrastructure Income Fund,0001506488,NYSE,,,,Nelson Blake,0001899813,CFO & Treasurer,false,true,false,P,326.0,50.67,16518.420000000002,826.0,D,404002390.51200104,4.088693628536665e-05
2025-11-05,2025-11-05 00:00:00,0001492597-25-000003,NXG,NXG NextGen Infrastructure Income Fund,0001506488,NYSE,,,,Alban John,0001492597,,true,false,false,P,1000.0,50.38,50380.0,1000.0,D,404002390.51200104,0.00012470223242033873
