txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-29,2026-06-29 00:00:00,0000950142-26-001910,NYC,American Strategic Investment Co.,0001595527,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",SCHORSCH NICHOLAS S,0001248577,,false,false,true,P,5000.0,9.27,46350.0,1081620.0,I,27330122.59753704,0.0016959309214433238
2026-06-25,2026-06-29 00:00:00,0000950142-26-001910,NYC,American Strategic Investment Co.,0001595527,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",SCHORSCH NICHOLAS S,0001248577,,false,false,true,P,1000.0,8.39,8390.0,1076620.0,I,27330122.59753704,0.0003069872800627721
2026-06-24,2026-06-24 00:00:00,0000950142-26-001870,NYC,American Strategic Investment Co.,0001595527,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",SCHORSCH NICHOLAS S,0001248577,,false,false,true,P,1000.0,8.26,8260.0,1075620.0,I,27330122.59753704,0.0003022306237566743
2026-06-23,2026-06-24 00:00:00,0000950142-26-001870,NYC,American Strategic Investment Co.,0001595527,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",SCHORSCH NICHOLAS S,0001248577,,false,false,true,P,1000.0,8.3,8300.0,1074620.0,I,27330122.59753704,0.0003036942103123967
2026-06-22,2026-06-24 00:00:00,0000950142-26-001870,NYC,American Strategic Investment Co.,0001595527,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",SCHORSCH NICHOLAS S,0001248577,,false,false,true,P,1500.0,7.85,11775.0,1073620.0,I,27330122.59753704,0.00043084329234077966
2026-06-15,2026-06-17 00:00:00,0000950142-26-001824,NYC,American Strategic Investment Co.,0001595527,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",SCHORSCH NICHOLAS S,0001248577,,false,false,true,P,1500.0,8.29,12434.999999999998,1072120.0,I,27330122.59753704,0.0004549924705101991
2026-01-30,2026-02-02 00:00:00,0000950142-26-000287,NYC,American Strategic Investment Co.,0001595527,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",SCHORSCH NICHOLAS S,0001248577,,false,false,true,P,1664.0,11.58,19269.12,1070620.0,I,27330122.59753704,0.0007050506243150373
2026-01-29,2026-01-29 00:00:00,0000950142-26-000270,NYC,American Strategic Investment Co.,0001595527,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",SCHORSCH NICHOLAS S,0001248577,,false,false,true,P,1664.0,11.15,18553.600000000002,1072284.0,I,27330122.59753704,0.0006788699880062752
2026-01-28,2026-01-29 00:00:00,0000950142-26-000270,NYC,American Strategic Investment Co.,0001595527,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",SCHORSCH NICHOLAS S,0001248577,,false,false,true,P,1664.0,11.73,19518.72,1070620.0,I,27330122.59753704,0.0007141834044227451
2026-01-27,2026-01-29 00:00:00,0000950142-26-000270,NYC,American Strategic Investment Co.,0001595527,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",SCHORSCH NICHOLAS S,0001248577,,false,false,true,P,1664.0,10.53,17521.92,1068956.0,I,27330122.59753704,0.0006411211635610831
