txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-13,2026-03-16 00:00:00,0001104659-26-028554,OBIO,"Orchestra BioMed Holdings, Inc.",0001814114,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Hochman David P,0001292834,See Remarks,true,true,false,P,10000.0,4.29,42900.0,1086467.0,D,222379421.009506,0.00019291353401880727
2025-11-14,2025-11-17 00:00:00,0001104659-25-113235,OBIO,"Orchestra BioMed Holdings, Inc.",0001814114,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Hochman David P,0001292834,See Remarks,true,true,false,P,5000.0,4.07,20350.0,612822.0,D,222379421.009506,9.151026613712653e-05
2025-09-19,2025-09-19 00:00:00,0001104659-25-091775,OBIO,"Orchestra BioMed Holdings, Inc.",0001814114,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Aryeh Jason,0001376960,,true,false,false,P,1000.0,2.45,2450.0,108482.0,D,222379421.009506,1.1017206488253564e-05
2025-08-25,2025-08-25 00:00:00,0001104659-25-082638,OBIO,"Orchestra BioMed Holdings, Inc.",0001814114,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Fain Eric S,0001402222,,true,false,false,P,5760.0,2.61,15033.599999999999,71709.0,I,222379421.009506,6.760337773951378e-05
2025-08-25,2025-08-25 00:00:00,0001104659-25-082636,OBIO,"Orchestra BioMed Holdings, Inc.",0001814114,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Sherman Darren,0001723524,See Remarks,true,true,false,P,3000.0,2.62,7860.0,926837.0,D,222379421.009506,3.5344997141907346e-05
2025-08-25,2025-08-25 00:00:00,0001104659-25-082633,OBIO,"Orchestra BioMed Holdings, Inc.",0001814114,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Taylor Andrew Lawrence,0001723889,Chief Financial Officer,false,true,false,P,2000.0,2.55,5100.0,482788.0,D,222379421.009506,2.29337767714666e-05
2025-08-21,2025-08-25 00:00:00,0001104659-25-082635,OBIO,"Orchestra BioMed Holdings, Inc.",0001814114,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Hochman David P,0001292834,See Remarks,true,true,false,P,6000.0,2.49,14940.000000000002,651460.0,D,222379421.009506,6.718247548347275e-05
2025-08-04,2025-08-04 00:00:00,0001104659-25-073743,OBIO,"Orchestra BioMed Holdings, Inc.",0001814114,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Hochman David P,0001292834,See Remarks,true,true,false,P,20000.0,2.75,55000.0,349331.0,I,222379421.009506,0.0002473250436138555
2025-08-01,2025-08-05 00:00:00,0000950170-25-102537,OBIO,"Orchestra BioMed Holdings, Inc.",0001814114,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,PERCEPTIVE ADVISORS LLC,0001224962,,false,false,true,P,700000.0,2.75,1925000.0,5292556.0,I,222379421.009506,0.008656376526484943
2025-04-30,2025-05-01 00:00:00,0001062993-25-008272,OBIO,"Orchestra BioMed Holdings, Inc.",0001814114,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"RTW INVESTMENTS, LP",0001493215,,false,false,true,P,49900.0,2.99,149201.0,8306063.0,I,222379421.009506,0.0006709298878587428
2025-04-29,2025-04-29 00:00:00,0001062993-25-008205,OBIO,"Orchestra BioMed Holdings, Inc.",0001814114,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"RTW INVESTMENTS, LP",0001493215,,false,false,true,P,50000.0,2.53,126499.99999999999,8256163.0,I,222379421.009506,0.0005688476003118675
