txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-07,2026-08-10 00:00:00,0002040255-26-000006,OBK,"Origin Bancorp, Inc.",0001516912,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Jones Cecil W.,0002040255,,true,false,false,P,3700.0,53.86,199282.0,17647.0,D,1631639450.5908508,0.00012213605152035017
2025-11-04,2025-11-04 00:00:00,0002040255-25-000003,OBK,"Origin Bancorp, Inc.",0001516912,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Jones Cecil W.,0002040255,,true,false,false,P,8500.0,34.71,295035.0,12709.0,D,1631639450.5908508,0.00018082119790200073
2025-10-29,2025-10-29 00:00:00,0001941034-25-000007,OBK,"Origin Bancorp, Inc.",0001516912,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Wallace Willliam J IV,0001941034,Chief Financial Officer,false,true,false,P,2250.0,34.95,78637.5,14812.0,D,1631639450.5908508,4.819539020800442e-05
2025-10-29,2025-10-29 00:00:00,0001738157-25-000005,OBK,"Origin Bancorp, Inc.",0001516912,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Hall Martin Lance,0001738157,"OBK COO, Origin Bank Pres&CEO",false,true,false,P,1500.0,34.5,51750.0,30011.0,D,1631639450.5908508,3.1716565802120216e-05
2025-10-29,2025-10-29 00:00:00,0001443080-25-000008,OBK,"Origin Bancorp, Inc.",0001516912,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Brolly Stephen H,0001443080,Chief Accounting Officer,false,true,false,P,700.0,34.94,24458.0,22324.0,D,1631639450.5908508,1.4989831234555678e-05
2025-10-29,2025-10-29 00:00:00,0001737357-25-000006,OBK,"Origin Bancorp, Inc.",0001516912,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Luffey Gary E.,0001737357,,true,false,false,P,487.0,34.78,16937.86,160605.0,D,1631639450.5908508,1.0380884081876328e-05
2025-10-29,2025-10-29 00:00:00,0001737357-25-000006,OBK,"Origin Bancorp, Inc.",0001516912,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Luffey Gary E.,0001737357,,true,false,false,P,13.0,34.8,452.4,160618.0,D,1631639450.5908508,2.772671375628828e-07
2025-10-28,2025-10-29 00:00:00,0001941034-25-000007,OBK,"Origin Bancorp, Inc.",0001516912,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Wallace Willliam J IV,0001941034,Chief Financial Officer,false,true,false,P,2250.0,34.8,78300.0,12562.0,D,1631639450.5908508,4.798854303972972e-05
2025-10-27,2025-10-29 00:00:00,0001469331-25-000005,OBK,"Origin Bancorp, Inc.",0001516912,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Moore Preston,0001469331,Chief Credit & Banking Officer,false,true,false,P,6500.0,34.27,222755.00000000003,54882.0,D,1631639450.5908508,0.00013652219546379305
2025-10-27,2025-10-29 00:00:00,0001839920-25-000005,OBK,"Origin Bancorp, Inc.",0001516912,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Crotwell Jim,0001839920,Chief Risk Officer,false,true,false,P,3000.0,34.32,102960.0,24475.0,I,1631639450.5908508,6.310217613500092e-05
2025-10-27,2025-10-29 00:00:00,0001469331-25-000005,OBK,"Origin Bancorp, Inc.",0001516912,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Moore Preston,0001469331,Chief Credit & Banking Officer,false,true,false,P,1000.0,34.25,34250.0,2500.0,I,1631639450.5908508,2.0991157076765555e-05
2025-10-27,2025-10-29 00:00:00,0001345810-25-000006,OBK,"Origin Bancorp, Inc.",0001516912,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",D'Agostino James Samuel Jr.,0001345810,,true,false,false,P,1000.0,33.93,33930.0,47917.0,D,1631639450.5908508,2.0795035317216213e-05
2025-10-27,2025-10-29 00:00:00,0001737362-25-000005,OBK,"Origin Bancorp, Inc.",0001516912,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Mills Drake,0001737362,"Chairman, President and CEO",true,true,false,P,800.0,34.08,27264.0,148634.0,D,1631639450.5908508,1.6709573913603973e-05
