txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-10,2026-03-10 00:00:00,0001193125-26-100156,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,CAPPS VICKIE L,0001248190,,true,false,false,P,2400.0,12.45,29880.0,27585.0,D,494578958.7889023,6.041502467708796e-05
2026-03-10,2026-03-10 00:00:00,0001193125-26-100156,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,CAPPS VICKIE L,0001248190,,true,false,false,P,100.0,12.44,1244.0,25185.0,D,494578958.7889023,2.515270773035389e-06
2026-03-09,2026-03-10 00:00:00,0001193125-26-100156,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,CAPPS VICKIE L,0001248190,,true,false,false,P,2500.0,12.48,31200.0,25085.0,D,494578958.7889023,6.308396151021233e-05
2026-02-25,2026-02-26 00:00:00,0000921895-26-000562,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"Engine Capital Management, LP",0001665590,,false,false,true,P,9959.0,12.9634,129102.5006,3673092.0,I,494578958.7889023,0.00026103516598469757
2026-02-25,2026-02-26 00:00:00,0000921895-26-000562,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"Engine Capital Management, LP",0001665590,,false,false,true,P,3102.0,12.9634,40212.4668,373035.0,I,494578958.7889023,8.130646499493241e-05
2026-02-24,2026-02-26 00:00:00,0000921895-26-000562,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"Engine Capital Management, LP",0001665590,,false,false,true,P,117076.0,12.5455,1468776.958,3663133.0,I,494578958.7889023,0.0029697522142807294
2026-02-24,2026-02-26 00:00:00,0000921895-26-000562,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"Engine Capital Management, LP",0001665590,,false,false,true,P,7721.0,12.5455,96863.8055,369933.0,I,494578958.7889023,0.00019585104416329144
2025-07-02,2025-07-07 00:00:00,0000921895-25-001965,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"Engine Capital Management, LP",0001665590,,false,false,true,P,1250.0,11.105,13881.25,3546057.0,I,494578958.7889023,2.8066802586975475e-05
2025-06-04,2025-06-05 00:00:00,0000950170-25-082501,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Bazaar Alan Lee,0001296974,,true,false,false,P,2250.0,10.92,24570.0,30983.0,D,494578958.7889023,4.9678619689292205e-05
2025-05-12,2025-05-12 00:00:00,0000950170-25-069248,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Bazaar Alan Lee,0001296974,,true,false,false,P,2000.0,12.586,25172.0,28733.0,D,494578958.7889023,5.089581663894438e-05
2025-05-09,2025-05-12 00:00:00,0000950170-25-069583,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Calafiore Massimo,0001828602,President & CEO,true,true,false,P,10000.0,12.54,125399.99999999999,234603.0,D,494578958.7889023,0.0002535489991468149
2025-05-09,2025-05-12 00:00:00,0000950170-25-069248,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Bazaar Alan Lee,0001296974,,true,false,false,P,1990.0,12.623,25119.77,26733.0,D,494578958.7889023,5.079021166107007e-05
2025-05-07,2025-05-14 00:00:00,0000921895-25-001477,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"Engine Capital Management, LP",0001665590,,false,false,true,P,83375.0,12.31,1026346.25,3544807.0,I,494578958.7889023,0.0020751919016394472
2025-05-07,2025-05-08 00:00:00,0000921895-25-001349,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"Engine Capital Management, LP",0001665590,,false,false,true,P,83375.0,12.31,1026346.25,3544807.0,I,494578958.7889023,0.0020751919016394472
2025-05-07,2025-05-14 00:00:00,0000921895-25-001477,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"Engine Capital Management, LP",0001665590,,false,false,true,P,8519.0,12.31,104868.89,362212.0,I,494578958.7889023,0.00021203669937111186
2025-05-07,2025-05-08 00:00:00,0000921895-25-001349,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"Engine Capital Management, LP",0001665590,,false,false,true,P,8519.0,12.31,104868.89,362212.0,I,494578958.7889023,0.00021203669937111186
2025-05-07,2025-05-14 00:00:00,0000921895-25-001477,OFIX,Orthofix Medical Inc.,0000884624,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"Engine Capital Management, LP",0001665590,,false,false,true,P,8106.0,12.31,99784.86,344652.0,I,494578958.7889023,0.0002017571880622412
