txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-20,2026-03-20 00:00:00,0001193125-26-117703,OPK,"OPKO HEALTH, INC.",0000944809,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,PAGANELLI JOHN A,0001236687,,true,false,false,P,10000.0,1.135,11350.0,394340.0,D,944272590.2727399,1.2019834226811255e-05
2025-11-21,2025-11-21 00:00:00,0001193125-25-291590,OPK,"OPKO HEALTH, INC.",0000944809,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,FROST PHILLIP MD ET AL,0000898860,CEO & Chairman,true,true,true,P,192870.0,1.335,257481.44999999998,216706448.0,I,944272590.2727399,0.00027267703484396396
2025-11-21,2025-11-21 00:00:00,0001193125-25-291590,OPK,"OPKO HEALTH, INC.",0000944809,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,FROST PHILLIP MD ET AL,0000898860,CEO & Chairman,true,true,true,P,191490.0,1.33,254681.7,216513578.0,I,944272590.2727399,0.00026971205414999793
2025-11-21,2025-11-21 00:00:00,0001193125-25-291590,OPK,"OPKO HEALTH, INC.",0000944809,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,FROST PHILLIP MD ET AL,0000898860,CEO & Chairman,true,true,true,P,102371.0,1.3,133082.30000000002,216228819.0,I,944272590.2727399,0.0001409363158169836
2025-11-21,2025-11-21 00:00:00,0001193125-25-291590,OPK,"OPKO HEALTH, INC.",0000944809,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,FROST PHILLIP MD ET AL,0000898860,CEO & Chairman,true,true,true,P,89375.0,1.325,118421.875,216322088.0,I,944272590.2727399,0.00012541068778221712
2025-11-21,2025-11-21 00:00:00,0001193125-25-291590,OPK,"OPKO HEALTH, INC.",0000944809,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,FROST PHILLIP MD ET AL,0000898860,CEO & Chairman,true,true,true,P,3894.0,1.32,5140.08,216232713.0,I,944272590.2727399,5.443428150885286e-06
2025-11-20,2025-11-20 00:00:00,0001193125-25-290115,OPK,"OPKO HEALTH, INC.",0000944809,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,FROST PHILLIP MD ET AL,0000898860,CEO & Chairman,true,true,true,P,211948.0,1.33,281890.84,215924630.0,I,944272590.2727399,0.0002985269750534428
2025-11-20,2025-11-20 00:00:00,0001193125-25-290115,OPK,"OPKO HEALTH, INC.",0000944809,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,FROST PHILLIP MD ET AL,0000898860,CEO & Chairman,true,true,true,P,161818.0,1.335,216027.03,216086448.0,I,944272590.2727399,0.0002287761311991526
2025-11-20,2025-11-20 00:00:00,0001193125-25-290115,OPK,"OPKO HEALTH, INC.",0000944809,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,FROST PHILLIP MD ET AL,0000898860,CEO & Chairman,true,true,true,P,119129.0,1.32,157250.28,215665577.0,I,944272590.2727399,0.00016653059891803113
2025-11-20,2025-11-20 00:00:00,0001193125-25-290115,OPK,"OPKO HEALTH, INC.",0000944809,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,FROST PHILLIP MD ET AL,0000898860,CEO & Chairman,true,true,true,P,47105.0,1.325,62414.125,215712682.0,I,944272590.2727399,6.609757144594502e-05
