txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-27,2026-08-31 00:00:00,0002022936-26-000015,PAM,Pampa Energy Inc.,0001469395,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",Mindlin Marcos Marcelo,0002022936,,true,false,true,P,150000.0,3.382,507300.0,22180592.0,D,4507004827.511429,0.0001125581221709294
2026-08-21,2026-08-25 00:00:00,0002022936-26-000013,PAM,Pampa Energy Inc.,0001469395,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",Mindlin Marcos Marcelo,0002022936,,true,false,true,P,675000.0,3.376,2278800.0,22030592.0,D,4507004827.511429,0.0005056129485572914
2026-08-19,2026-08-20 00:00:00,0002022936-26-000012,PAM,Pampa Energy Inc.,0001469395,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",Mindlin Marcos Marcelo,0002022936,,true,false,true,P,902975.0,3.339,3015033.525,21355592.0,D,4507004827.511429,0.0006689661183843838
2026-08-18,2026-08-20 00:00:00,0002022936-26-000012,PAM,Pampa Energy Inc.,0001469395,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",Mindlin Marcos Marcelo,0002022936,,true,false,true,P,396950.0,3.345,1327797.75,20452617.0,D,4507004827.511429,0.00029460757217186117
2026-06-26,2026-06-29 00:00:00,0002022936-26-000010,PAM,Pampa Energy Inc.,0001469395,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",Mindlin Marcos Marcelo,0002022936,,true,false,true,P,287916.0,3.366,969125.256,23057667.0,D,4507004827.511429,0.00021502645173227132
2026-06-25,2026-06-26 00:00:00,0002022936-26-000009,PAM,Pampa Energy Inc.,0001469395,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",Mindlin Marcos Marcelo,0002022936,,true,false,true,P,383600.0,3.365,1290814.0,22769751.0,D,4507004827.511429,0.0002864017345001894
2026-06-24,2026-06-26 00:00:00,0002022936-26-000009,PAM,Pampa Energy Inc.,0001469395,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",Mindlin Marcos Marcelo,0002022936,,true,false,true,P,739178.0,3.355,2479942.19,22386151.0,D,4507004827.511429,0.000550241742556401
2026-05-27,2026-05-28 00:00:00,0002022936-26-000008,PAM,Pampa Energy Inc.,0001469395,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",Mindlin Marcos Marcelo,0002022936,,true,false,true,P,275000.0,3.367,925925.0,21646973.0,D,4507004827.511429,0.0002054413153382965
2026-05-08,2026-05-08 00:00:00,0002028917-26-000002,PAM,Pampa Energy Inc.,0001469395,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",Mariani Gustavo,0002028917,Vice President,false,true,false,P,25000.0,81.02,2025500.0,1591184.0,D,4507004827.511429,0.00044941154436668144
2026-05-07,2026-05-08 00:00:00,0002028917-26-000002,PAM,Pampa Energy Inc.,0001469395,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",Mariani Gustavo,0002028917,Vice President,false,true,false,P,25000.0,81.4,2035000.0000000002,1566184.0,D,4507004827.511429,0.0004515193743698824
