txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-12,2026-05-14 00:00:00,0001213900-26-056877,PFX,PhenixFIN Corp,0001490349,NASDAQ,,,,Lorber David A,0001358538,CHAIRMAN AND CEO,true,true,true,P,42065.0,39.95,1680496.7500000002,245198.0,D,76337700.0,0.022013981951250827
2026-03-03,2026-03-05 00:00:00,0001213900-26-024222,PFX,PhenixFIN Corp,0001490349,NASDAQ,,,,Amster Howard,0000904853,,true,false,true,P,11500.0,42.56,489440.0,248248.0,D,76337700.0,0.006411510957233451
2025-12-24,2025-12-29 00:00:00,0001213900-25-126081,PFX,PhenixFIN Corp,0001490349,NASDAQ,,,,Lorber David A,0001358538,CHAIRMAN AND CEO,true,true,true,P,572.0,46.05,26340.6,146596.0,D,76337700.0,0.00034505362357000537
2025-12-23,2025-12-29 00:00:00,0001213900-25-126079,PFX,PhenixFIN Corp,0001490349,NASDAQ,,,,McMillan Ellida,0001604617,CHIEF FINANCIAL OFFICER,false,true,false,P,150.0,45.3265,6798.975,3428.0,D,76337700.0,8.90644465316613e-05
2025-12-23,2025-12-29 00:00:00,0001213900-25-126081,PFX,PhenixFIN Corp,0001490349,NASDAQ,,,,Lorber David A,0001358538,CHAIRMAN AND CEO,true,true,true,P,133.0,45.59,6063.47,146024.0,D,76337700.0,7.942956101637854e-05
2025-12-22,2025-12-29 00:00:00,0001213900-25-126081,PFX,PhenixFIN Corp,0001490349,NASDAQ,,,,Lorber David A,0001358538,CHAIRMAN AND CEO,true,true,true,P,1000.0,45.44,45440.0,145891.0,D,76337700.0,0.0005952497913874796
2025-12-22,2025-12-29 00:00:00,0001213900-25-126079,PFX,PhenixFIN Corp,0001490349,NASDAQ,,,,McMillan Ellida,0001604617,CHIEF FINANCIAL OFFICER,false,true,false,P,6.0,45.0,270.0,3278.0,D,76337700.0,3.536915573825253e-06
2025-12-17,2025-12-17 00:00:00,0001213900-25-122887,PFX,PhenixFIN Corp,0001490349,NASDAQ,,,,Lorber David A,0001358538,CHAIRMAN AND CEO,true,true,true,P,908.0,44.74,40623.92,144891.0,D,76337700.0,0.0005321606493253006
2025-12-17,2025-12-19 00:00:00,0001213900-25-124030,PFX,PhenixFIN Corp,0001490349,NASDAQ,,,,McMillan Ellida,0001604617,CHIEF FINANCIAL OFFICER,false,true,false,P,37.0,44.0,1628.0,3272.0,D,76337700.0,2.132629094143523e-05
2025-12-16,2025-12-17 00:00:00,0001213900-25-122887,PFX,PhenixFIN Corp,0001490349,NASDAQ,,,,Lorber David A,0001358538,CHAIRMAN AND CEO,true,true,true,P,138.0,44.45,6134.1,143983.0,D,76337700.0,8.035479193111661e-05
