txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-09-11,2025-09-11 00:00:00,0001415889-25-024304,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Greathouse Steven Robert,0001728277,SVP & Chief Investment Officer,false,true,false,P,672.0,14.88,9999.36,11428.0,D,331155183.48882294,3.0195390253758465e-05
2025-08-06,2025-08-08 00:00:00,0001415889-25-021365,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Greathouse Steven Robert,0001728277,SVP - INVESTMENTS,false,true,false,P,3500.0,14.3092,50082.200000000004,10756.0,D,331155183.48882294,0.00015123483640620822
2025-08-06,2025-08-08 00:00:00,0001415889-25-021364,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Albright John P,0001392476,PRESIDENT AND CEO,true,true,false,P,3500.0,14.2007,49702.45,11444.0,D,331155183.48882294,0.0001500880930697482
2025-08-06,2025-08-11 00:00:00,0001415889-25-021429,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Smith Daniel Earl,0001623528,"SVP, GEN COUNSEL & CORP SECRET",false,true,false,P,3500.0,14.1019,49356.65,8300.0,D,331155183.48882294,0.00014904386964447402
2025-08-05,2025-08-05 00:00:00,0001415889-25-021143,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate","CTO Realty Growth, Inc.",0000023795,,false,false,true,P,9090.0,14.3262,130225.158,311999.0,I,331155183.48882294,0.00039324511435405424
2025-08-05,2025-08-05 00:00:00,0001415889-25-021143,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate","CTO Realty Growth, Inc.",0000023795,,false,false,true,P,9090.0,14.3262,130225.158,311999.0,I,331155183.48882294,0.00039324511435405424
2025-08-04,2025-08-05 00:00:00,0001415889-25-021143,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate","CTO Realty Growth, Inc.",0000023795,,false,false,true,P,12757.0,14.3461,183013.1977,302909.0,I,331155183.48882294,0.0005526508622691603
2025-08-04,2025-08-05 00:00:00,0001415889-25-021143,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate","CTO Realty Growth, Inc.",0000023795,,false,false,true,P,12757.0,14.3461,183013.1977,302909.0,I,331155183.48882294,0.0005526508622691603
2025-08-01,2025-08-05 00:00:00,0001415889-25-021143,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate","CTO Realty Growth, Inc.",0000023795,,false,false,true,P,17733.0,14.1121,250249.8693,290152.0,I,331155183.48882294,0.000755687610453624
2025-08-01,2025-08-05 00:00:00,0001415889-25-021143,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate","CTO Realty Growth, Inc.",0000023795,,false,false,true,P,17733.0,14.1121,250249.8693,290152.0,I,331155183.48882294,0.000755687610453624
2025-07-31,2025-07-31 00:00:00,0001415889-25-020809,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate","CTO Realty Growth, Inc.",0000023795,,false,false,true,P,20841.0,14.0598,293020.2918,272419.0,I,331155183.48882294,0.0008848428362586387
2025-07-31,2025-07-31 00:00:00,0001415889-25-020809,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate","CTO Realty Growth, Inc.",0000023795,,false,false,true,P,20841.0,14.0598,293020.2918,272419.0,I,331155183.48882294,0.0008848428362586387
2025-07-30,2025-07-31 00:00:00,0001415889-25-020809,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate","CTO Realty Growth, Inc.",0000023795,,false,false,true,P,23334.0,14.2196,331800.14639999997,251578.0,I,331155183.48882294,0.0010019476153276
2025-07-30,2025-07-31 00:00:00,0001415889-25-020809,PINE,"Alpine Income Property Trust, Inc.",0001786117,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate","CTO Realty Growth, Inc.",0000023795,,false,false,true,P,23334.0,14.2196,331800.14639999997,251578.0,I,331155183.48882294,0.0010019476153276
