txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-25,2026-03-27 00:00:00,0002084606-26-000009,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,Morris Sonya,0002084606,,true,false,false,P,5000.0,7.4779,37389.5,5000.0,D,501364757.4634552,7.457544520912072e-05
2026-03-13,2026-03-17 00:00:00,0000070858-26-000201,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,65.0,7.7447,503.4055,65.0,I,501364757.4634552,1.0040703749239765e-06
2026-03-13,2026-03-17 00:00:00,0000070858-26-000201,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,65.0,7.7447,503.4055,65.0,I,501364757.4634552,1.0040703749239765e-06
2025-12-08,2025-12-10 00:00:00,0001495443-25-000006,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,Rappaport Alan,0001495443,,true,false,false,P,2819.0,7.6551,21579.7269,8001.0,D,501364757.4634552,4.304197010012807e-05
2025-07-02,2025-07-07 00:00:00,0000070858-25-000250,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,111.0,7.3434,815.1174,111.0,I,501364757.4634552,1.6257971623771628e-06
2025-07-02,2025-07-07 00:00:00,0000070858-25-000250,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,111.0,7.3434,815.1174,111.0,I,501364757.4634552,1.6257971623771628e-06
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,9390.0,7.4487,69943.29299999999,9390.0,I,501364757.4634552,0.00013950580282878818
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,9390.0,7.4487,69943.29299999999,9390.0,I,501364757.4634552,0.00013950580282878818
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,3911.0,7.4487,29131.8657,13301.0,I,501364757.4634552,5.810513257331104e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,3911.0,7.4487,29131.8657,13301.0,I,501364757.4634552,5.810513257331104e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,3686.0,7.4487,27455.908199999998,16987.0,I,501364757.4634552,5.476234177070429e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,3686.0,7.4487,27455.908199999998,16987.0,I,501364757.4634552,5.476234177070429e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,3345.0,7.4487,24915.9015,20332.0,I,501364757.4634552,4.9696156598753624e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,3345.0,7.4487,24915.9015,20332.0,I,501364757.4634552,4.9696156598753624e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,1894.0,7.4487,14107.8378,22226.0,I,501364757.4634552,2.8138870133943008e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,1894.0,7.4487,14107.8378,22226.0,I,501364757.4634552,2.8138870133943008e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,1354.0,7.4487,10085.539799999999,23580.0,I,501364757.4634552,2.0116172207686816e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,1354.0,7.4487,10085.539799999999,23580.0,I,501364757.4634552,2.0116172207686816e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,1280.0,7.4487,9534.336,24860.0,I,501364757.4634552,1.9016765454829488e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,1280.0,7.4487,9534.336,24860.0,I,501364757.4634552,1.9016765454829488e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,1217.0,7.4487,9065.0679,26077.0,I,501364757.4634552,1.80807840300996e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,1217.0,7.4487,9065.0679,26077.0,I,501364757.4634552,1.80807840300996e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,1092.0,7.4487,8133.9803999999995,27169.0,I,501364757.4634552,1.6223678028651406e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,1092.0,7.4487,8133.9803999999995,27169.0,I,501364757.4634552,1.6223678028651406e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,814.0,7.4487,6063.2418,27983.0,I,501364757.4634552,1.2093474281430628e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,814.0,7.4487,6063.2418,27983.0,I,501364757.4634552,1.2093474281430628e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,728.0,7.4487,5422.6536,28711.0,I,501364757.4634552,1.0815785352434271e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,728.0,7.4487,5422.6536,28711.0,I,501364757.4634552,1.0815785352434271e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,704.0,7.4487,5243.8848,29415.0,I,501364757.4634552,1.0459221000156219e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,704.0,7.4487,5243.8848,29415.0,I,501364757.4634552,1.0459221000156219e-05
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,478.0,7.4487,3560.4786,29893.0,I,501364757.4634552,7.101573349537887e-06
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,478.0,7.4487,3560.4786,29893.0,I,501364757.4634552,7.101573349537887e-06
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,317.0,7.4487,2361.2379,30210.0,I,501364757.4634552,4.709620819672616e-06
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,317.0,7.4487,2361.2379,30210.0,I,501364757.4634552,4.709620819672616e-06
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,111.0,7.4487,826.8057,30321.0,I,501364757.4634552,1.6491101292859948e-06
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,111.0,7.4487,826.8057,30321.0,I,501364757.4634552,1.6491101292859948e-06
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,76.0,7.4487,566.1012,30397.0,I,501364757.4634552,1.1291204488805009e-06
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,76.0,7.4487,566.1012,30397.0,I,501364757.4634552,1.1291204488805009e-06
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,51.0,7.4487,379.8837,30448.0,I,501364757.4634552,7.576992485908624e-07
2025-06-11,2025-06-13 00:00:00,0001140361-25-022466,PML,PIMCO MUNICIPAL INCOME FUND II,0001170299,NYSE,,,,BANK OF AMERICA CORP /DE/,0000070858,,false,false,true,P,51.0,7.4487,379.8837,30448.0,I,501364757.4634552,7.576992485908624e-07
