txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-17,2026-04-21 00:00:00,0001213900-26-046206,PODC,"PodcastOne, Inc.",0001940177,NASDAQ,7370,Services-Computer Services,Services,MERRIMAN D JONATHAN,0001022711,,true,false,false,P,6200.0,2.14,13268.0,302732.0,I,97857150.26712608,0.00013558539119299515
2026-04-17,2026-04-21 00:00:00,0001213900-26-046207,PODC,"PodcastOne, Inc.",0001940177,NASDAQ,7370,Services-Computer Services,Services,Carhart Ryan,0002002086,See Remarks,false,true,false,P,4500.0,2.2371,10066.949999999999,11061.0,D,97857150.26712608,0.00010287393381597244
2026-04-17,2026-04-21 00:00:00,0001213900-26-046206,PODC,"PodcastOne, Inc.",0001940177,NASDAQ,7370,Services-Computer Services,Services,MERRIMAN D JONATHAN,0001022711,,true,false,false,P,4000.0,2.07,8280.0,296532.0,I,97857150.26712608,8.461313227901718e-05
2026-03-23,2026-03-24 00:00:00,0001213900-26-033771,PODC,"PodcastOne, Inc.",0001940177,NASDAQ,7370,Services-Computer Services,Services,MERRIMAN D JONATHAN,0001022711,,true,false,false,P,2980.0,2.35,7003.0,292532.0,I,97857150.26712608,7.156349823067116e-05
2026-03-12,2026-03-16 00:00:00,0001213900-26-028566,PODC,"PodcastOne, Inc.",0001940177,NASDAQ,7370,Services-Computer Services,Services,MERRIMAN D JONATHAN,0001022711,,true,false,false,P,6300.0,2.22,13986.000000000002,289552.0,I,97857150.26712608,0.0001429226169147747
2025-12-16,2025-12-18 00:00:00,0001213900-25-123338,PODC,"PodcastOne, Inc.",0001940177,NASDAQ,7370,Services-Computer Services,Services,MERRIMAN D JONATHAN,0001022711,,true,false,false,P,6100.0,2.08,12688.0,283252.0,I,97857150.26712608,0.0001296583843425326
2025-12-05,2025-12-08 00:00:00,0001213900-25-119316,PODC,"PodcastOne, Inc.",0001940177,NASDAQ,7370,Services-Computer Services,Services,MERRIMAN D JONATHAN,0001022711,,true,false,false,P,5700.0,2.16,12312.0,277152.0,I,97857150.26712608,0.00012581604886706033
2025-11-26,2025-12-01 00:00:00,0001213900-25-116813,PODC,"PodcastOne, Inc.",0001940177,NASDAQ,7370,Services-Computer Services,Services,MERRIMAN D JONATHAN,0001022711,,true,false,false,P,7373.0,2.47,18211.31,271452.0,I,97857150.26712608,0.00018610096401016767
2025-11-19,2025-11-21 00:00:00,0001213900-25-113678,PODC,"PodcastOne, Inc.",0001940177,NASDAQ,7370,Services-Computer Services,Services,MERRIMAN D JONATHAN,0001022711,,true,false,false,P,11000.0,2.2,24200.000000000004,264079.0,I,97857150.26712608,0.000247299251346886
2025-11-14,2025-11-17 00:00:00,0001213900-25-111673,PODC,"PodcastOne, Inc.",0001940177,NASDAQ,7370,Services-Computer Services,Services,MERRIMAN D JONATHAN,0001022711,,true,false,false,P,10700.0,2.16,23112.0,253079.0,I,97857150.26712608,0.00023618100401360447
2025-09-04,2025-09-08 00:00:00,0001213900-25-085782,PODC,"PodcastOne, Inc.",0001940177,NASDAQ,7370,Services-Computer Services,Services,MERRIMAN D JONATHAN,0001022711,,true,false,false,P,10000.0,1.58,15800.0,242379.0,I,97857150.26712608,0.00016145984178846272
2025-08-22,2025-08-26 00:00:00,0001213900-25-080860,PODC,"PodcastOne, Inc.",0001940177,NASDAQ,7370,Services-Computer Services,Services,MERRIMAN D JONATHAN,0001022711,,true,false,false,P,11100.0,1.49,16539.0,232379.0,I,97857150.26712608,0.0001690116660341383
2025-08-21,2025-08-25 00:00:00,0001213900-25-080455,PODC,"PodcastOne, Inc.",0001940177,NASDAQ,7370,Services-Computer Services,Services,MERRIMAN D JONATHAN,0001022711,,true,false,false,P,5700.0,1.49,8493.0,221279.0,I,97857150.26712608,8.67897744499629e-05
