txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-19,2026-05-20 00:00:00,0001140361-26-022284,PROP,Prairie Operating Co.,0001162896,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Frommer Richard N.,0002047025,,true,false,false,P,75500.0,0.87,65685.0,205372.0,D,93041030.83970726,0.0007059788504833237
2026-05-19,2026-05-20 00:00:00,0001140361-26-022280,PROP,Prairie Operating Co.,0001162896,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Sweeney Daniel T.,0001985552,"EVP, GC and Corp. Sec.",false,true,false,P,15925.0,0.89,14173.25,566534.0,D,93041030.83970726,0.0001523333294148248
2025-12-29,2026-01-02 00:00:00,0001493152-26-000016,PROP,Prairie Operating Co.,0001162896,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Narrogal Nominees Pty Ltd ATF Gregory K O'Neill Family Trust,0002001258,,false,false,true,P,210981.0,1.6106,339805.9986,15481603.0,D,93041030.83970726,0.0036522166138230326
2025-12-24,2025-12-29 00:00:00,0001493152-25-029185,PROP,Prairie Operating Co.,0001162896,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Narrogal Nominees Pty Ltd ATF Gregory K O'Neill Family Trust,0002001258,,false,false,true,P,50000.0,1.68,84000.0,15270622.0,D,93041030.83970726,0.0009028274863454243
2025-12-19,2025-12-29 00:00:00,0001493152-25-029185,PROP,Prairie Operating Co.,0001162896,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Narrogal Nominees Pty Ltd ATF Gregory K O'Neill Family Trust,0002001258,,false,false,true,P,33825.0,1.68,56826.0,15220622.0,D,93041030.83970726,0.0006107627945126795
2025-12-18,2025-12-18 00:00:00,0001493152-25-028398,PROP,Prairie Operating Co.,0001162896,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Narrogal Nominees Pty Ltd ATF Gregory K O'Neill Family Trust,0002001258,,false,false,true,P,36701.0,1.68,61657.68,15186797.0,D,93041030.83970726,0.0006626934315272684
2025-12-17,2025-12-18 00:00:00,0001493152-25-028398,PROP,Prairie Operating Co.,0001162896,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Narrogal Nominees Pty Ltd ATF Gregory K O'Neill Family Trust,0002001258,,false,false,true,P,50000.0,1.68,84000.0,15129301.0,D,93041030.83970726,0.0009028274863454243
2025-12-17,2025-12-18 00:00:00,0001493152-25-028398,PROP,Prairie Operating Co.,0001162896,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Narrogal Nominees Pty Ltd ATF Gregory K O'Neill Family Trust,0002001258,,false,false,true,P,20795.0,1.6787,34908.5665,15150096.0,D,93041030.83970726,0.0003751953969656796
2025-12-16,2025-12-18 00:00:00,0001493152-25-028398,PROP,Prairie Operating Co.,0001162896,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Narrogal Nominees Pty Ltd ATF Gregory K O'Neill Family Trust,0002001258,,false,false,true,P,50000.0,1.68,84000.0,15043279.0,D,93041030.83970726,0.0009028274863454243
2025-12-16,2025-12-18 00:00:00,0001493152-25-028398,PROP,Prairie Operating Co.,0001162896,NASDAQ,1311,Crude Petroleum & Natural Gas,Mining,Narrogal Nominees Pty Ltd ATF Gregory K O'Neill Family Trust,0002001258,,false,false,true,P,36022.0,1.679,60480.938,15079301.0,D,93041030.83970726,0.000650045871742303
