txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-01,2026-04-10 00:00:00,0001104659-26-041954,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Sabet Ahmed Zaki,0001795929,Chief Operating Officer,false,true,false,P,19.0,27.93,530.67,1034.0,D,54759038.76084137,9.691002837315807e-06
2026-01-02,2026-01-20 00:00:00,0001104659-26-005067,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Sabet Ahmed Zaki,0001795929,Chief Operating Officer,false,true,false,P,20.0,23.4,468.0,1015.0,D,54759038.76084137,8.546534245131245e-06
2026-01-02,2026-01-06 00:00:00,0001104659-26-001356,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Sabet Ahmed Zaki,0001795929,Chief Operating Officer,false,true,false,P,20.0,23.4,468.0,735.0,D,54759038.76084137,8.546534245131245e-06
2025-10-01,2026-01-20 00:00:00,0001104659-26-005063,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Sabet Ahmed Zaki,0001795929,Chief Operating Officer,false,true,false,P,25.0,19.5,487.5,995.0,D,54759038.76084137,8.90263983867838e-06
2025-10-01,2025-11-20 00:00:00,0001104659-25-114690,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Sabet Ahmed Zaki,0001795929,Chief Operating Officer,false,true,false,P,25.0,19.5,487.5,715.0,D,54759038.76084137,8.90263983867838e-06
2025-07-08,2026-01-20 00:00:00,0001104659-26-005051,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Sabet Ahmed Zaki,0001795929,Chief Operating Officer,false,true,false,P,31.0,16.3,505.3,970.0,D,54759038.76084137,9.22770032919833e-06
2025-07-08,2025-11-20 00:00:00,0001104659-25-114689,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Sabet Ahmed Zaki,0001795929,Chief Operating Officer,false,true,false,P,31.0,16.3,505.3,690.0,D,54759038.76084137,9.22770032919833e-06
2025-05-30,2025-05-30 00:00:00,0001104659-25-054912,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,SANDBERG RICHARD A,0001245055,,true,false,false,P,1391.0,10.0,13910.0,40175.0,I,54759038.76084137,0.00025402199006362315
2025-05-30,2025-05-30 00:00:00,0001104659-25-054912,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,SANDBERG RICHARD A,0001245055,,true,false,false,P,8.0,9.44,75.52,38784.0,I,54759038.76084137,1.3791330474194693e-06
2025-05-27,2025-05-28 00:00:00,0001104659-25-053598,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,SANDBERG RICHARD A,0001245055,,true,false,false,P,101.0,9.8,989.8000000000001,38776.0,I,54759038.76084137,1.8075554691946383e-05
2025-05-22,2025-05-27 00:00:00,0001104659-25-052964,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,SANDBERG RICHARD A,0001245055,,true,false,false,P,500.0,9.33,4665.0,38675.0,I,54759038.76084137,8.519141507166082e-05
2025-05-21,2025-05-22 00:00:00,0001104659-25-052035,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,SANDBERG RICHARD A,0001245055,,true,false,false,P,5035.0,9.25,46573.75,35175.0,I,54759038.76084137,0.0008505216865367123
2025-05-21,2025-05-22 00:00:00,0001104659-25-052035,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,SANDBERG RICHARD A,0001245055,,true,false,false,P,3000.0,9.3,27900.000000000004,38175.0,I,54759038.76084137,0.000509504926152055
2025-05-20,2025-05-22 00:00:00,0001104659-25-052034,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,SANDBERG RICHARD A,0001245055,,true,false,false,P,4251.0,8.47,36005.97,30140.0,I,54759038.76084137,0.0006575347342610433
2025-05-20,2025-05-21 00:00:00,0001104659-25-051636,PRPO,"Precipio, Inc.",0001043961,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,SANDBERG RICHARD A,0001245055,,true,false,false,P,4251.0,8.47,36005.97,30140.0,I,54759038.76084137,0.0006575347342610433
