txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-12-22,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,28000.0,8.93,250040.0,13039067.0,D,623880287.993145,0.00040078201669796525
2025-12-22,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,28000.0,8.93,250040.0,13039067.0,D,623880287.993145,0.00040078201669796525
2025-12-19,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,29641.0,8.39,248687.99000000002,13011067.0,D,623880287.993145,0.0003986149182561327
2025-12-19,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,29641.0,8.39,248687.99000000002,13011067.0,D,623880287.993145,0.0003986149182561327
2025-12-18,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,31430.0,7.91,248611.30000000002,12981426.0,D,623880287.993145,0.0003984919940325662
2025-12-18,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,31430.0,7.91,248611.30000000002,12981426.0,D,623880287.993145,0.0003984919940325662
2025-12-17,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,31650.0,7.86,248769.0,12949996.0,D,623880287.993145,0.00039874476688504286
2025-12-17,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,31650.0,7.86,248769.0,12949996.0,D,623880287.993145,0.00039874476688504286
2025-11-25,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,13888.0,11.0,152768.0,12918346.0,D,623880287.993145,0.0002448674897093055
2025-11-25,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,13888.0,11.0,152768.0,12918346.0,D,623880287.993145,0.0002448674897093055
2025-11-25,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,9712.0,10.08,97896.96,12904458.0,D,623880287.993145,0.00015691625762837962
2025-11-25,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,9712.0,10.08,97896.96,12904458.0,D,623880287.993145,0.00015691625762837962
2025-11-24,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,25225.0,9.87,248970.74999999997,12894746.0,D,623880287.993145,0.0003990681462318226
2025-11-24,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,25225.0,9.87,248970.74999999997,12894746.0,D,623880287.993145,0.0003990681462318226
2025-11-21,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,16599.0,9.74,161674.26,12869521.0,D,623880287.993145,0.0002591430809908462
2025-11-21,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,16599.0,9.74,161674.26,12869521.0,D,623880287.993145,0.0002591430809908462
2025-11-21,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,9900.0,8.84,87516.0,12852922.0,D,623880287.993145,0.0001402769115875025
2025-11-21,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,9900.0,8.84,87516.0,12852922.0,D,623880287.993145,0.0001402769115875025
2025-11-20,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,28827.0,8.63,248777.01,12843022.0,D,623880287.993145,0.00039875760588661764
2025-11-20,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,28827.0,8.63,248777.01,12843022.0,D,623880287.993145,0.00039875760588661764
2025-11-19,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,30645.0,8.12,248837.39999999997,12814195.0,D,623880287.993145,0.0003988544033029845
2025-11-19,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,30645.0,8.12,248837.39999999997,12814195.0,D,623880287.993145,0.0003988544033029845
2025-11-18,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,64750.0,7.67,496632.5,12783550.0,D,623880287.993145,0.0007960381335296442
2025-11-18,2026-02-13 00:00:00,0001193125-26-051798,PSNL,"Personalis, Inc.",0001527753,NASDAQ,8071,Services-Medical Laboratories,Services,"Tempus AI, Inc.",0001717115,,false,false,true,P,64750.0,7.67,496632.5,12783550.0,D,623880287.993145,0.0007960381335296442
