txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-19,2026-03-23 00:00:00,0000921895-26-000772,QRHC,Quest Resource Holding Corp,0001442236,NASDAQ,4953,Refuse Systems,"Transportation, Communications, Electric, Gas",FRIEDBERG DANIEL M.,0001448795,,true,false,true,P,8500.0,0.87,7395.0,49085.0,D,23474921.21994388,0.0003150170316106253
2026-03-18,2026-03-19 00:00:00,0000921895-26-000750,QRHC,Quest Resource Holding Corp,0001442236,NASDAQ,4953,Refuse Systems,"Transportation, Communications, Electric, Gas",Lipstein Robert J,0001701946,,true,false,false,P,11000.0,0.8961,9857.1,48500.0,D,23474921.21994388,0.0004198991727233394
2026-03-16,2026-03-18 00:00:00,0000921895-26-000729,QRHC,Quest Resource Holding Corp,0001442236,NASDAQ,4953,Refuse Systems,"Transportation, Communications, Electric, Gas",Culpepper Glenn,0001566800,,true,false,false,P,5000.0,1.16,5800.0,61585.0,D,23474921.21994388,0.00024707218165539237
2025-12-23,2025-12-29 00:00:00,0000921895-25-003397,QRHC,Quest Resource Holding Corp,0001442236,NASDAQ,4953,Refuse Systems,"Transportation, Communications, Electric, Gas",Culpepper Glenn,0001566800,,true,false,false,P,5000.0,1.96,9800.0,56585.0,D,23474921.21994388,0.000417466789693594
2025-10-27,2025-10-27 00:00:00,0001062993-25-016311,QRHC,Quest Resource Holding Corp,0001442236,NASDAQ,4953,Refuse Systems,"Transportation, Communications, Electric, Gas",KITT BARRY M,0001165244,,false,false,true,P,62867.0,1.3607,85543.1269,2692248.0,I,23474921.21994388,0.003644021894621911
2025-10-24,2025-10-27 00:00:00,0001062993-25-016311,QRHC,Quest Resource Holding Corp,0001442236,NASDAQ,4953,Refuse Systems,"Transportation, Communications, Electric, Gas",KITT BARRY M,0001165244,,false,false,true,P,33480.0,1.3286,44481.528,2629381.0,I,23474921.21994388,0.0018948531321250728
2025-10-23,2025-10-27 00:00:00,0001062993-25-016311,QRHC,Quest Resource Holding Corp,0001442236,NASDAQ,4953,Refuse Systems,"Transportation, Communications, Electric, Gas",KITT BARRY M,0001165244,,false,false,true,P,103412.0,1.2626,130567.99119999999,2595901.0,I,23474921.21994388,0.00556202042071484
2025-09-02,2025-09-04 00:00:00,0000921895-25-002534,QRHC,Quest Resource Holding Corp,0001442236,NASDAQ,4953,Refuse Systems,"Transportation, Communications, Electric, Gas",Dunning Audrey,0001800836,,true,false,false,P,4000.0,1.824,7296.0,52485.0,D,23474921.21994388,0.0003107997650616798
2025-08-20,2025-08-22 00:00:00,0000921895-25-002358,QRHC,Quest Resource Holding Corp,0001442236,NASDAQ,4953,Refuse Systems,"Transportation, Communications, Electric, Gas",FRIEDBERG DANIEL M.,0001448795,,true,false,true,P,17232.0,1.5968,27516.0576,2842353.0,I,23474921.21994388,0.0011721469623771448
2025-08-14,2025-08-18 00:00:00,0001193805-25-001200,QRHC,Quest Resource Holding Corp,0001442236,NASDAQ,4953,Refuse Systems,"Transportation, Communications, Electric, Gas",Lipstein Robert J,0001701946,,true,false,false,P,15000.0,1.6958,25437.0,37500.0,D,23474921.21994388,0.001083581911166934
2025-08-14,2025-08-18 00:00:00,0000921895-25-002328,QRHC,Quest Resource Holding Corp,0001442236,NASDAQ,4953,Refuse Systems,"Transportation, Communications, Electric, Gas",Culpepper Glenn,0001566800,,true,false,false,P,5000.0,1.679,8395.0,51585.0,D,23474921.21994388,0.0003576156836201757
