txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-03,2026-06-05 00:00:00,0001709989-26-000011,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Woody Joseph Fralin,0001709989,,true,false,false,P,5000.0,4.0999,20499.5,87761.0,D,128031021.54384995,0.0001601135393032776
2026-06-03,2026-06-05 00:00:00,0001709989-26-000011,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Woody Joseph Fralin,0001709989,,true,false,false,P,5000.0,4.0899,20449.5,92761.0,D,128031021.54384995,0.0001597230089505781
2026-06-02,2026-06-03 00:00:00,0001709989-26-000006,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Woody Joseph Fralin,0001709989,,true,false,false,P,5000.0,4.2071,21035.499999999996,20000.0,D,128031021.54384995,0.00016430002468421646
2026-06-02,2026-06-03 00:00:00,0001709989-26-000006,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Woody Joseph Fralin,0001709989,,true,false,false,P,5000.0,4.1802,20901.0,15000.0,D,128031021.54384995,0.00016324949803545478
2026-06-01,2026-06-03 00:00:00,0001709989-26-000006,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Woody Joseph Fralin,0001709989,,true,false,false,P,5000.0,4.34,21700.0,5000.0,D,128031021.54384995,0.00016949017307159317
2026-06-01,2026-06-03 00:00:00,0001709989-26-000006,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Woody Joseph Fralin,0001709989,,true,false,false,P,5000.0,4.26,21300.0,10000.0,D,128031021.54384995,0.00016636593024999698
2026-05-20,2026-05-20 00:00:00,0001193125-26-232686,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,O'Toole David D,0001491140,CFO,false,true,false,P,2000.0,4.26,8520.0,145927.0,D,128031021.54384995,6.654637209999879e-05
2026-05-19,2026-05-19 00:00:00,0001193125-26-230874,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,O'Toole David D,0001491140,CFO,false,true,false,P,2000.0,4.24,8480.0,143927.0,D,128031021.54384995,6.623394781783918e-05
2026-03-11,2026-03-11 00:00:00,0001193125-26-102263,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,O'Toole David D,0001491140,CFO,false,true,false,P,1800.0,4.78,8604.0,141927.0,D,128031021.54384995,6.720246309253399e-05
2026-02-19,2026-02-23 00:00:00,0001193125-26-064111,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,O'Toole David D,0001491140,CFO,false,true,false,P,3000.0,4.15,12450.000000000002,140127.0,D,128031021.54384995,9.724205782218134e-05
2025-08-28,2025-08-29 00:00:00,0000950170-25-112234,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,McNamara Robert,0001387652,,true,false,false,P,10000.0,4.5,45000.0,86771.0,D,128031021.54384995,0.00035147731742957107
2025-08-26,2025-08-26 00:00:00,0000950170-25-111467,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,O'Toole David D,0001491140,CFO,false,true,false,P,2000.0,4.52,9040.0,31657.0,D,128031021.54384995,7.060788776807384e-05
2025-08-19,2025-08-20 00:00:00,0000950170-25-110499,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,McNamara Robert,0001387652,,true,false,false,P,10000.0,5.0,50000.0,76771.0,D,128031021.54384995,0.00039053035269952344
2025-08-12,2025-08-12 00:00:00,0000950170-25-107387,RCEL,"AVITA Medical, Inc.",0001762303,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,O'Toole David D,0001491140,CFO,false,true,false,P,2000.0,4.81,9620.0,29657.0,D,128031021.54384995,7.51380398593883e-05
