txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-30,2026-07-01 00:00:00,0001437749-26-022225,RCG,"RENN Fund, Inc.",0000919567,AMEX,,,,HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,756.0,2.93,2215.08,928128.0,D,21398146.965461254,0.00010351737482574357
2026-06-29,2026-06-30 00:00:00,0001437749-26-022096,RCG,"RENN Fund, Inc.",0000919567,AMEX,,,,HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,756.0,2.85,2154.6,927372.0,D,21398146.965461254,0.00010069096186121814
2026-06-26,2026-06-29 00:00:00,0001437749-26-021931,RCG,"RENN Fund, Inc.",0000919567,AMEX,,,,HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,756.0,2.79,2109.2400000000002,926616.0,D,21398146.965461254,9.85711521378241e-05
2026-06-25,2026-06-26 00:00:00,0001437749-26-021786,RCG,"RENN Fund, Inc.",0000919567,AMEX,,,,HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,756.0,2.73,2063.88,925860.0,D,21398146.965461254,9.645134241443002e-05
2026-06-24,2026-06-25 00:00:00,0001437749-26-021637,RCG,"RENN Fund, Inc.",0000919567,AMEX,,,,HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,756.0,2.76,2086.56,925104.0,D,21398146.965461254,9.751124727612705e-05
2026-06-23,2026-06-24 00:00:00,0001437749-26-021526,RCG,"RENN Fund, Inc.",0000919567,AMEX,,,,HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,756.0,2.75,2079.0,924348.0,D,21398146.965461254,9.715794565556138e-05
2026-06-22,2026-06-23 00:00:00,0001437749-26-021379,RCG,"RENN Fund, Inc.",0000919567,AMEX,,,,HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,756.0,2.78,2101.68,923592.0,D,21398146.965461254,9.82178505172584e-05
2026-06-18,2026-06-22 00:00:00,0001437749-26-021288,RCG,"RENN Fund, Inc.",0000919567,AMEX,,,,HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,756.0,2.83,2139.48,922836.0,D,21398146.965461254,9.998435862008679e-05
2026-06-17,2026-06-18 00:00:00,0001437749-26-021056,RCG,"RENN Fund, Inc.",0000919567,AMEX,,,,HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,756.0,2.85,2154.6,922080.0,D,21398146.965461254,0.00010069096186121814
2026-06-16,2026-06-17 00:00:00,0001437749-26-020964,RCG,"RENN Fund, Inc.",0000919567,AMEX,,,,HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,756.0,2.74,2071.44,921324.0,D,21398146.965461254,9.680464403499569e-05
