txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-01,2026-04-02 00:00:00,0001437749-26-011004,RGCO,RGC RESOURCES INC,0001069533,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas",Oliver Lawrence T.,0001801438,Senior VP and Secretary,false,true,false,P,9.238,21.65,200.00269999999998,29786.472,D,229510272.16696358,8.714324553390904e-07
2026-04-01,2026-04-02 00:00:00,0001437749-26-011002,RGCO,RGC RESOURCES INC,0001069533,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas",Miles Christen Brooke,0001968153,"VP, Human Resources",false,true,false,P,4.619,21.65,100.00134999999999,9732.13,D,229510272.16696358,4.357162276695452e-07
2026-03-02,2026-03-04 00:00:00,0001437749-26-006869,RGCO,RGC RESOURCES INC,0001069533,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas",Furcron Thomas Patrick,0002072159,"VP, Field Operations",false,true,false,P,19.448,22.11,429.99528,3865.62,D,229510272.16696358,1.8735339204651722e-06
2026-03-02,2026-03-04 00:00:00,0001437749-26-006867,RGCO,RGC RESOURCES INC,0001069533,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas",Oliver Lawrence T.,0001801438,Senior VP and Secretary,false,true,false,P,9.046,22.11,200.00705999999997,29777.234,D,229510272.16696358,8.714514523101576e-07
2026-03-02,2026-03-04 00:00:00,0001437749-26-006865,RGCO,RGC RESOURCES INC,0001069533,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas",Miles Christen Brooke,0001968153,"VP, Human Resources",false,true,false,P,4.523,22.11,100.00352999999998,9727.511,D,229510272.16696358,4.357257261550788e-07
2026-02-02,2026-02-04 00:00:00,0001437749-26-002965,RGCO,RGC RESOURCES INC,0001069533,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas",Furcron Thomas Patrick,0002072159,"VP, Field Operations",false,true,false,P,19.352,22.22,430.00144,3846.172,D,229510272.16696358,1.8735607602224602e-06
2026-02-02,2026-02-04 00:00:00,0001437749-26-002986,RGCO,RGC RESOURCES INC,0001069533,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas",Oliver Lawrence T.,0001801438,Senior VP and Secretary,false,true,false,P,9.001,22.22,200.00221999999997,29768.188,D,229510272.16696358,8.714303639294316e-07
2026-02-02,2026-02-04 00:00:00,0001437749-26-002969,RGCO,RGC RESOURCES INC,0001069533,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas",Miles Christen Brooke,0001968153,"VP, Human Resources",false,true,false,P,4.5,22.22,99.99,9722.988,D,229510272.16696358,4.356667745453219e-07
2026-01-02,2026-01-06 00:00:00,0001437749-26-000564,RGCO,RGC RESOURCES INC,0001069533,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas",Furcron Thomas Patrick,0002072159,"VP, Field Operations",false,true,false,P,20.093,21.4,429.99019999999996,1167.725,D,229510272.16696358,1.8735117863796168e-06
2026-01-02,2026-01-06 00:00:00,0001437749-26-000552,RGCO,RGC RESOURCES INC,0001069533,NASDAQ,4923,Natural Gas Transmission & Distribution,"Transportation, Communications, Electric, Gas",Oliver Lawrence T.,0001801438,Senior VP and Secretary,false,true,false,P,9.346,21.4,200.00439999999998,24017.795,D,229510272.16696358,8.714398624149653e-07
