txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-13,2026-03-17 00:00:00,0001753926-26-000487,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Francis John Milton IV,0002099736,Chief Operating Officer,false,true,false,P,2277.0,3.95,8994.15,15022.0,D,56599971.24626541,0.00015890732454379919
2025-12-19,2025-12-22 00:00:00,0001753926-25-001948,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Felman Adam Jonathan,0002066846,Chief Financial Officer,false,true,false,P,9500.0,1.36,12920.000000000002,64550.0,D,56599971.24626541,0.0002282686672010013
2025-12-09,2025-12-10 00:00:00,0001753926-25-001866,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Francis John Milton IV,0002099736,Chief Operating Officer,false,true,false,P,1321.0,1.89,2496.69,2745.0,D,56599971.24626541,4.4111153151243645e-05
2025-12-08,2025-12-10 00:00:00,0001753926-25-001866,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Francis John Milton IV,0002099736,Chief Operating Officer,false,true,false,P,1424.0,1.76,2506.2400000000002,1424.0,D,56599971.24626541,4.42798811521546e-05
2025-12-04,2025-12-08 00:00:00,0001753926-25-001863,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Young Seth Adam,0002082906,Chief Executive Officer,false,true,false,P,5850.0,1.58,9243.0,12796.0,D,56599971.24626541,0.00016330396988690826
2025-11-17,2025-11-19 00:00:00,0001753926-25-001824,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Young Seth Adam,0002082906,Chief Executive Officer,false,true,false,P,3091.0,2.42,7480.219999999999,5346.0,D,56599971.24626541,0.0001321594310967704
2025-11-17,2025-11-19 00:00:00,0001753926-25-001824,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Young Seth Adam,0002082906,Chief Executive Officer,false,true,false,P,1600.0,2.55,4079.9999999999995,6946.0,D,56599971.24626541,7.208484227400039e-05
2025-08-19,2025-08-20 00:00:00,0001437749-25-027463,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Clemes Benjamin Michael,0002008872,Chief Executive Officer,false,true,false,P,5754.0,2.53,14557.619999999999,160607.0,D,56599971.24626541,0.00025720189744726313
2025-08-18,2025-08-20 00:00:00,0001437749-25-027414,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Eachus Brandon Christopher,0002008952,,true,false,true,P,20000.0,2.48,49600.0,89968.0,D,56599971.24626541,0.0008763255335270636
2025-08-18,2025-08-20 00:00:00,0001437749-25-027416,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Felman Adam Jonathan,0002066846,Chief Financial Officer,false,true,false,P,5050.0,2.39,12069.5,55050.0,D,56599971.24626541,0.00021324215780050193
2025-06-06,2025-06-11 00:00:00,0001437749-25-020022,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Cribari Michael,0002010241,,true,false,true,P,3433.0,3.035,10419.155,46052.0,D,56599971.24626541,0.00018408410411847124
2025-05-23,2025-05-28 00:00:00,0001437749-25-018677,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Cribari Michael,0002010241,,true,false,true,P,3897.0,2.51,9781.47,42619.0,D,56599971.24626541,0.00017281757896026143
2025-05-22,2025-05-23 00:00:00,0001437749-25-018271,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Eachus Brandon Christopher,0002008952,,true,false,true,P,25000.0,2.0,50000.0,69968.0,D,56599971.24626541,0.0008833926749264755
2025-05-22,2025-05-23 00:00:00,0001437749-25-018275,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Clemes Benjamin Michael,0002008872,Chief Executive Officer,false,true,false,P,2500.0,2.12,5300.0,154853.0,D,56599971.24626541,9.36396235422064e-05
2025-05-20,2025-05-22 00:00:00,0001437749-25-018071,ROLR,"High Roller Technologies, Inc.",0001947210,AMEX,7900,Services-Amusement & Recreation Services,Services,Cribari Michael,0002010241,,true,false,true,P,4209.0,2.38,10017.42,38722.0,D,56599971.24626541,0.00017698630899323949
