txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-11-28,2025-12-04 00:00:00,0000902664-25-005199,RPD,"Rapid7, Inc.",0001560327,NASDAQ,7372,Services-Prepackaged Software,Services,"JANA Partners Management, LP",0001998597,,true,false,true,P,41545.0,15.71,652671.9500000001,6760149.0,I,488531813.75592136,0.0013359865859751067
2025-11-26,2025-11-26 00:00:00,0001547258-25-000004,RPD,"Rapid7, Inc.",0001560327,NASDAQ,7372,Services-Prepackaged Software,Services,Schodorf Thomas E,0001547258,,true,false,false,P,6300.0,15.7,98910.0,34440.0,D,488531813.75592136,0.0002024637847831484
2025-11-25,2025-11-25 00:00:00,0000902664-25-005152,RPD,"Rapid7, Inc.",0001560327,NASDAQ,7372,Services-Prepackaged Software,Services,"JANA Partners Management, LP",0001998597,,true,false,true,P,50000.0,15.01,750500.0,6718604.0,I,488531813.75592136,0.001536235673640207
2025-11-25,2025-11-25 00:00:00,0001679724-25-000003,RPD,"Rapid7, Inc.",0001560327,NASDAQ,7372,Services-Prepackaged Software,Services,Brown Marc Evan,0001679724,,true,false,false,P,3000.0,15.21,45630.0,51882.0,D,488531813.75592136,9.34023101774852e-05
2025-11-24,2025-11-25 00:00:00,0000902664-25-005152,RPD,"Rapid7, Inc.",0001560327,NASDAQ,7372,Services-Prepackaged Software,Services,"JANA Partners Management, LP",0001998597,,true,false,true,P,150000.0,14.13,2119500.0,6668604.0,I,488531813.75592136,0.004338509673924609
2025-11-24,2025-11-24 00:00:00,0001647486-25-000005,RPD,"Rapid7, Inc.",0001560327,NASDAQ,7372,Services-Prepackaged Software,Services,Thomas Corey E.,0001647486,CEO,true,true,false,P,14500.0,13.82,200390.0,595066.0,D,488531813.75592136,0.0004101882300343252
2025-11-20,2025-11-24 00:00:00,0001560327-25-000065,RPD,"Rapid7, Inc.",0001560327,NASDAQ,7372,Services-Prepackaged Software,Services,BURNS MIKE,0001409173,,true,false,false,P,2000.0,13.8,27600.0,5000.0,I,488531813.75592136,5.649580891734805e-05
2025-08-13,2025-08-13 00:00:00,0000902664-25-003562,RPD,"Rapid7, Inc.",0001560327,NASDAQ,7372,Services-Prepackaged Software,Services,"JANA Partners Management, LP",0001998597,,true,false,false,P,250000.0,21.26,5315000.0,6518604.0,I,488531813.75592136,0.01087953711578641
2025-08-12,2025-08-13 00:00:00,0000902664-25-003562,RPD,"Rapid7, Inc.",0001560327,NASDAQ,7372,Services-Prepackaged Software,Services,"JANA Partners Management, LP",0001998597,,true,false,false,P,163456.0,20.07,3280561.92,6268604.0,I,488531813.75592136,0.006715144904849582
2025-08-11,2025-08-13 00:00:00,0000902664-25-003562,RPD,"Rapid7, Inc.",0001560327,NASDAQ,7372,Services-Prepackaged Software,Services,"JANA Partners Management, LP",0001998597,,true,false,false,P,358738.0,18.23,6539793.74,6105148.0,I,488531813.75592136,0.013386628170069166
