txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-02,2026-09-03 00:00:00,0001104659-26-105062,RSG,"REPUBLIC SERVICES, INC.",0001060391,NYSE,4953,Refuse Systems,"Transportation, Communications, Electric, Gas","CASCADE INVESTMENT, L.L.C.",0001052192,,false,false,true,P,144179.0,223.9274,32285628.6046,115021527.0,D,68196694386.253265,0.0004734192602025586
2026-09-02,2026-09-03 00:00:00,0001104659-26-105062,RSG,"REPUBLIC SERVICES, INC.",0001060391,NYSE,4953,Refuse Systems,"Transportation, Communications, Electric, Gas","CASCADE INVESTMENT, L.L.C.",0001052192,,false,false,true,P,97068.0,223.3525,21680380.47,114877348.0,D,68196694386.253265,0.0003179095506771398
2026-09-02,2026-09-03 00:00:00,0001104659-26-105062,RSG,"REPUBLIC SERVICES, INC.",0001060391,NYSE,4953,Refuse Systems,"Transportation, Communications, Electric, Gas","CASCADE INVESTMENT, L.L.C.",0001052192,,false,false,true,P,63286.0,222.4618,14078717.4748,114780280.0,D,68196694386.253265,0.00020644281370972014
2026-09-02,2026-09-03 00:00:00,0001104659-26-105062,RSG,"REPUBLIC SERVICES, INC.",0001060391,NYSE,4953,Refuse Systems,"Transportation, Communications, Electric, Gas","CASCADE INVESTMENT, L.L.C.",0001052192,,false,false,true,P,24667.0,221.1851,5455972.8617,114716994.0,D,68196694386.253265,8.000347979915852e-05
2026-09-01,2026-09-03 00:00:00,0001104659-26-105062,RSG,"REPUBLIC SERVICES, INC.",0001060391,NYSE,4953,Refuse Systems,"Transportation, Communications, Electric, Gas","CASCADE INVESTMENT, L.L.C.",0001052192,,false,false,true,P,105105.0,223.1488,23454054.623999998,114683457.0,D,68196694386.253265,0.0003439177636845657
2026-09-01,2026-09-03 00:00:00,0001104659-26-105062,RSG,"REPUBLIC SERVICES, INC.",0001060391,NYSE,4953,Refuse Systems,"Transportation, Communications, Electric, Gas","CASCADE INVESTMENT, L.L.C.",0001052192,,false,false,true,P,69586.0,222.2206,15463442.6716,114578352.0,D,68196694386.253265,0.0002267476863910436
2026-09-01,2026-09-03 00:00:00,0001104659-26-105062,RSG,"REPUBLIC SERVICES, INC.",0001060391,NYSE,4953,Refuse Systems,"Transportation, Communications, Electric, Gas","CASCADE INVESTMENT, L.L.C.",0001052192,,false,false,true,P,21239.0,221.3543,4701343.9777,114508766.0,D,68196694386.253265,6.893800381397478e-05
2026-09-01,2026-09-03 00:00:00,0001104659-26-105062,RSG,"REPUBLIC SERVICES, INC.",0001060391,NYSE,4953,Refuse Systems,"Transportation, Communications, Electric, Gas","CASCADE INVESTMENT, L.L.C.",0001052192,,false,false,true,P,8870.0,223.8275,1985349.9249999998,114692327.0,D,68196694386.253265,2.911211375958123e-05
2026-08-31,2026-09-01 00:00:00,0001104659-26-104314,RSG,"REPUBLIC SERVICES, INC.",0001060391,NYSE,4953,Refuse Systems,"Transportation, Communications, Electric, Gas","CASCADE INVESTMENT, L.L.C.",0001052192,,false,false,true,P,155944.0,221.3229,34513978.317600004,114342471.0,D,68196694386.253265,0.0005060945934141516
2026-08-31,2026-09-01 00:00:00,0001104659-26-104314,RSG,"REPUBLIC SERVICES, INC.",0001060391,NYSE,4953,Refuse Systems,"Transportation, Communications, Electric, Gas","CASCADE INVESTMENT, L.L.C.",0001052192,,false,false,true,P,102195.0,222.3008,22718030.256,114444666.0,D,68196694386.253265,0.0003331250944118984
2026-08-31,2026-09-01 00:00:00,0001104659-26-104314,RSG,"REPUBLIC SERVICES, INC.",0001060391,NYSE,4953,Refuse Systems,"Transportation, Communications, Electric, Gas","CASCADE INVESTMENT, L.L.C.",0001052192,,false,false,true,P,41687.0,223.2956,9308523.6772,114486353.0,D,68196694386.253265,0.00013649523281111355
2026-08-31,2026-09-01 00:00:00,0001104659-26-104314,RSG,"REPUBLIC SERVICES, INC.",0001060391,NYSE,4953,Refuse Systems,"Transportation, Communications, Electric, Gas","CASCADE INVESTMENT, L.L.C.",0001052192,,false,false,true,P,1174.0,224.0173,262996.3102,114487527.0,D,68196694386.253265,3.856437801962047e-06
