txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-17,2026-09-17 00:00:00,0001322325-26-000004,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Sherman Nicole,0001322325,President/CEO,true,true,false,P,1765.0,5.69,10042.85,166482.0,D,118122862.64230728,8.502037434032707e-05
2026-09-17,2026-09-17 00:00:00,0002050978-26-000008,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Lightheart Charmaine,0002050978,EVP/CRDEO,false,true,false,P,100.0,5.68,568.0,8866.0,D,118122862.64230728,4.808552614577114e-06
2026-09-16,2026-09-17 00:00:00,0001833500-26-000002,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Graham Stacey,0001833500,,true,false,false,P,1750.0,5.6999,9974.825,10900.0,D,118122862.64230728,8.444449090439994e-05
2026-09-15,2026-09-17 00:00:00,0001508267-26-000004,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Wills Bessie Ross,0001508267,,true,false,false,P,2000.0,5.585,11170.0,50000.0,D,118122862.64230728,9.456255757891966e-05
2026-09-14,2026-09-15 00:00:00,0002128593-26-000004,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Zamanizadeh Kourosh Nasser,0002128593,,true,false,false,P,1800.0,5.395,9711.0,15476.81,D,118122862.64230728,8.221101133830696e-05
2026-09-14,2026-09-15 00:00:00,0002128593-26-000004,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Zamanizadeh Kourosh Nasser,0002128593,,true,false,false,P,1800.0,5.3599,9647.82,13676.81,D,118122862.64230728,8.167614451755172e-05
2026-08-20,2026-08-24 00:00:00,0001991703-26-000004,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Benke Robert,0001991703,EVP/CCO,false,true,false,P,1000.0,5.05,5050.0,48975.0,D,118122862.64230728,4.275209630918033e-05
2026-08-18,2026-08-20 00:00:00,0001629292-26-000002,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Carlson Bradley,0001629292,,true,false,false,P,1000.0,5.07,5070.0,23421.0,D,118122862.64230728,4.2921411542087976e-05
2026-08-17,2026-08-18 00:00:00,0001713974-26-000002,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Lam David,0001713974,EVP/CFO,false,true,false,P,1000.0,5.17,5170.0,76011.0,D,118122862.64230728,4.37679877066262e-05
2026-08-12,2026-08-13 00:00:00,0002050978-26-000006,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Lightheart Charmaine,0002050978,EVP/CRDEO,false,true,false,P,250.0,5.309,1327.25,8766.0,D,118122862.64230728,1.1236182143833582e-05
2026-08-03,2026-08-05 00:00:00,0002128637-26-000007,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Girod Jon Louis,0002128637,,true,false,false,P,1000.0,5.4075,5407.5,3000.0,D,118122862.64230728,4.577860609740448e-05
2026-07-31,2026-08-03 00:00:00,0002128637-26-000005,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Girod Jon Louis,0002128637,,true,false,false,P,2000.0,5.2391,10478.199999999999,2000.0,D,118122862.64230728,8.870594367264422e-05
2026-06-01,2026-06-02 00:00:00,0002050978-26-000004,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Lightheart Charmaine,0002050978,EVP/CRDEO,false,true,false,P,150.0,5.538,830.7,8516.0,D,118122862.64230728,7.0325081988190295e-06
2026-05-29,2026-06-02 00:00:00,0002050978-26-000004,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Lightheart Charmaine,0002050978,EVP/CRDEO,false,true,false,P,26.0,5.59,145.34,8366.0,D,118122862.64230728,1.2304137975398553e-06
2026-05-08,2026-05-11 00:00:00,0001991703-26-000002,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Benke Robert,0001991703,EVP/CCO,false,true,false,P,4000.0,5.44,21760.0,47984.0,D,118122862.64230728,0.0001842149734035176
2026-05-07,2026-05-08 00:00:00,0001322325-26-000002,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Sherman Nicole,0001322325,President/CEO,true,true,false,P,1800.0,5.4867,9876.06,164717.0,D,118122862.64230728,8.360836995549375e-05
2026-05-05,2026-05-07 00:00:00,0001949313-26-000002,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Hoff Larry,0001949313,,true,false,false,P,1920.0,5.215,10012.8,14020.0,D,118122862.64230728,8.476597820288332e-05
2026-05-04,2026-05-05 00:00:00,0001602079-26-000002,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Cox Daniel D,0001602079,EVP/COO,false,true,false,P,1000.0,5.22,5220.0,70008.0,D,118122862.64230728,4.419127578889531e-05
2026-03-05,2026-03-09 00:00:00,0002050978-26-000002,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Lightheart Charmaine,0002050978,EVP/CRDEO,false,true,false,P,325.0,5.36,1742.0,14893.0,D,118122862.64230728,1.4747356786255869e-05
2026-02-18,2026-02-20 00:00:00,0001508267-26-000002,RVSB,RIVERVIEW BANCORP INC,0001041368,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Wills Bessie Ross,0001508267,,true,false,false,P,2539.0,5.39,13685.21,47539.0,D,118122862.64230728,0.00011585572592700152
