txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-11-28,2025-12-01 00:00:00,0000944075-25-000092,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,5000.0,1.3328,6664.0,1696952.0,D,7400662.003949404,0.0009004599853964037
2025-11-26,2025-12-01 00:00:00,0000944075-25-000093,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,Lazarev Ivan,0001792350,,true,false,false,P,8993.0,1.3122,11800.6146,87917.0,D,7400662.003949404,0.0015945350015583116
2025-11-26,2025-12-01 00:00:00,0000944075-25-000092,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,5000.0,1.3349,6674.5,1691952.0,D,7400662.003949404,0.0009018787773902006
2025-11-25,2025-12-01 00:00:00,0000944075-25-000093,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,Lazarev Ivan,0001792350,,true,false,false,P,7286.0,1.28,9326.08,78924.0,D,7400662.003949404,0.0012601683464294256
2025-11-25,2025-11-25 00:00:00,0000944075-25-000091,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,5000.0,1.2953,6476.499999999999,1686952.0,D,7400662.003949404,0.0008751244140786026
2025-11-24,2025-11-25 00:00:00,0000944075-25-000091,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,5000.0,1.2551,6275.500000000001,1681952.0,D,7400662.003949404,0.0008479646816259202
2025-11-21,2025-11-25 00:00:00,0000944075-25-000091,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,5000.0,1.2386,6193.0,1676952.0,D,7400662.003949404,0.0008368170302460877
2025-11-20,2025-11-24 00:00:00,0000944075-25-000090,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,Lazarev Ivan,0001792350,,true,false,false,P,5428.0,1.2,6513.599999999999,71638.0,D,7400662.003949404,0.0008801374791233516
2025-11-20,2025-11-20 00:00:00,0000944075-25-000088,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,5000.0,1.21,6050.0,1671952.0,D,7400662.003949404,0.0008174944345210448
2025-11-19,2025-11-20 00:00:00,0000944075-25-000088,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,5000.0,1.2427,6213.5,1666952.0,D,7400662.003949404,0.0008395870527101672
2025-11-19,2025-11-24 00:00:00,0000944075-25-000090,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,Lazarev Ivan,0001792350,,true,false,false,P,96.0,1.2,115.19999999999999,66210.0,D,7400662.003949404,1.556617501765692e-05
2025-11-18,2025-11-18 00:00:00,0000944075-25-000087,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,5000.0,1.241,6205.000000000001,1661952.0,D,7400662.003949404,0.000838438506810427
2025-11-17,2025-11-18 00:00:00,0000944075-25-000087,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,5000.0,1.2519,6259.5,1656952.0,D,7400662.003949404,0.0008458027128734677
2025-11-14,2025-11-14 00:00:00,0000944075-25-000086,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,5000.0,1.237,6185.000000000001,1651952.0,D,7400662.003949404,0.0008357360458698616
2025-11-13,2025-11-24 00:00:00,0000944075-25-000090,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,Lazarev Ivan,0001792350,,true,false,false,P,30005.0,1.1367,34106.6835,66114.0,D,7400662.003949404,0.004608598998548884
2025-11-13,2025-11-14 00:00:00,0000944075-25-000086,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,3801.0,1.167,4435.767,1646952.0,D,7400662.003949404,0.0005993743529474564
2025-11-12,2025-11-12 00:00:00,0000944075-25-000085,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,5000.0,1.1115,5557.5,1643151.0,D,7400662.003949404,0.0007509463338596209
2025-11-12,2025-11-24 00:00:00,0000944075-25-000090,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,Lazarev Ivan,0001792350,,true,false,false,P,4500.0,1.0929,4918.05,36109.0,D,7400662.003949404,0.0006645419014373924
2025-11-11,2025-11-12 00:00:00,0000944075-25-000085,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,5000.0,1.0955,5477.5,1638151.0,D,7400662.003949404,0.0007401364900973591
2025-11-10,2025-11-10 00:00:00,0000944075-25-000084,SCKT,"SOCKET MOBILE, INC.",0000944075,NASDAQ,3571,Electronic Computers,Manufacturing,BASS CHARLIE,0001192161,,true,false,true,P,5000.0,1.0925,5462.5,1633151.0,D,7400662.003949404,0.000738109644391935
