txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-26,2026-08-26 00:00:00,0001628873-26-000085,SELF,"Global Self Storage, Inc.",0001031235,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",WINMILL & CO. INC,0000052234,,false,false,false,P,7761.0,5.6381,43757.2941,228512.0,D,62589381.8178463,0.0006991168921806375
2026-08-25,2026-08-26 00:00:00,0001628873-26-000085,SELF,"Global Self Storage, Inc.",0001031235,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",WINMILL & CO. INC,0000052234,,false,false,false,P,7547.0,5.6572,42694.888399999996,220751.0,D,62589381.8178463,0.0006821426759614723
2026-08-24,2026-08-24 00:00:00,0001628873-26-000079,SELF,"Global Self Storage, Inc.",0001031235,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",WINMILL & CO. INC,0000052234,,false,false,false,P,8022.0,5.6153,45045.9366,213204.0,D,62589381.8178463,0.000719705727899615
2026-08-21,2026-08-24 00:00:00,0001628873-26-000079,SELF,"Global Self Storage, Inc.",0001031235,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",WINMILL & CO. INC,0000052234,,false,false,false,P,7117.0,5.4525,38805.4425,205182.0,D,62589381.8178463,0.0006200004117780771
2026-08-20,2026-08-20 00:00:00,0001628873-26-000077,SELF,"Global Self Storage, Inc.",0001031235,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",WINMILL & CO. INC,0000052234,,false,false,false,P,6901.0,5.4219,37416.5319,198065.0,D,62589381.8178463,0.0005978095774918057
2026-08-19,2026-08-20 00:00:00,0001628873-26-000077,SELF,"Global Self Storage, Inc.",0001031235,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",WINMILL & CO. INC,0000052234,,false,false,false,P,6877.0,5.4039,37162.6203,191164.0,D,62589381.8178463,0.0005937527935353998
2026-08-18,2026-08-18 00:00:00,0001628873-26-000074,SELF,"Global Self Storage, Inc.",0001031235,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",WINMILL & CO. INC,0000052234,,false,false,false,P,5736.0,5.3185,30506.916,184287.0,D,62589381.8178463,0.00048741360138025
2026-08-17,2026-08-18 00:00:00,0001628873-26-000074,SELF,"Global Self Storage, Inc.",0001031235,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",WINMILL & CO. INC,0000052234,,false,false,false,P,7117.0,5.3303,37935.7451,178551.0,D,62589381.8178463,0.0006061051251537249
2026-08-14,2026-08-14 00:00:00,0001628873-26-000070,SELF,"Global Self Storage, Inc.",0001031235,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",WINMILL & CO. INC,0000052234,,false,false,false,P,6029.0,5.2265,31510.568499999998,171434.0,D,62589381.8178463,0.0005034491088553185
2026-08-13,2026-08-14 00:00:00,0001628873-26-000070,SELF,"Global Self Storage, Inc.",0001031235,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",WINMILL & CO. INC,0000052234,,false,false,false,P,5629.0,5.2011,29276.9919,165405.0,D,62589381.8178463,0.0004677629184005164
