txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-10-30,2025-11-03 00:00:00,0001193125-25-262226,SFNC,SIMMONS FIRST NATIONAL CORP,0000090498,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",COSSE STEVEN A,0001239248,,true,false,false,P,8603.0,17.44,150036.32,113652.0,D,3094094189.1629276,4.8491193489035524e-05
2025-10-22,2025-10-23 00:00:00,0001193125-25-248519,SFNC,SIMMONS FIRST NATIONAL CORP,0000090498,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Garner David W,0001351767,"EVP, Chief Accounting Officer",false,true,false,P,3000.0,17.66,52980.0,72345.0,D,3094094189.1629276,1.7122943504940015e-05
2025-08-07,2025-08-11 00:00:00,0000950170-25-106735,SFNC,SIMMONS FIRST NATIONAL CORP,0000090498,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",TEUBNER RUSSELL WILLIAM,0001102988,,true,false,false,P,9200.0,18.62,171304.0,53220.0,I,3094094189.1629276,5.536483039203935e-05
2025-08-07,2025-08-11 00:00:00,0000950170-25-106735,SFNC,SIMMONS FIRST NATIONAL CORP,0000090498,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",TEUBNER RUSSELL WILLIAM,0001102988,,true,false,false,P,2000.0,18.63,37260.0,20692.0,D,3094094189.1629276,1.204229662125453e-05
2025-07-23,2025-07-24 00:00:00,0000950170-25-098470,SFNC,SIMMONS FIRST NATIONAL CORP,0000090498,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",MAKRIS GEORGE JR,0001235478,Chairman & CEO,true,true,false,P,17550.0,18.5,324675.0,29550.0,I,3094094189.1629276,0.00010493378034100416
2025-07-23,2025-07-24 00:00:00,0000950170-25-098470,SFNC,SIMMONS FIRST NATIONAL CORP,0000090498,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",MAKRIS GEORGE JR,0001235478,Chairman & CEO,true,true,false,P,17550.0,18.5,324675.0,651703.0,D,3094094189.1629276,0.00010493378034100416
2025-07-23,2025-07-24 00:00:00,0000950170-25-098460,SFNC,SIMMONS FIRST NATIONAL CORP,0000090498,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Van Steenberg Christopher J,0002044615,EVP & Chief Operating Officer,false,true,false,P,13500.0,18.5,249750.0,13500.0,D,3094094189.1629276,8.07182925700032e-05
2025-07-23,2025-07-24 00:00:00,0000950170-25-098457,SFNC,SIMMONS FIRST NATIONAL CORP,0000090498,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",COSSE STEVEN A,0001239248,,true,false,false,P,13500.0,18.5,249750.0,104120.0,D,3094094189.1629276,8.07182925700032e-05
2025-07-23,2025-07-24 00:00:00,0000950170-25-098463,SFNC,SIMMONS FIRST NATIONAL CORP,0000090498,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Brogdon James M,0001859222,President,false,true,false,P,7550.0,18.5,139675.0,53703.0,D,3094094189.1629276,4.514245251137216e-05
2025-07-23,2025-07-24 00:00:00,0000950170-25-098470,SFNC,SIMMONS FIRST NATIONAL CORP,0000090498,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",MAKRIS GEORGE JR,0001235478,Chairman & CEO,true,true,false,P,5400.0,18.5,99900.0,15400.0,I,3094094189.1629276,3.228731702800128e-05
