txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-13,2026-03-17 00:00:00,0002070664-26-000004,SI,"SHOULDER INNOVATIONS, INC.",0001699350,NYSE,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Ball Robert Joseph,0002070664,CEO & Executive Chairman,true,true,false,P,2200.0,15.1782,33392.04,278866.0,D,279361021.26651573,0.00011953006131139304
2026-03-13,2026-03-17 00:00:00,0001731414-26-000003,SI,"SHOULDER INNOVATIONS, INC.",0001699350,NYSE,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Points Jeffrey S.,0001731414,Chief Financial Officer,false,true,false,P,2000.0,15.0,30000.0,70785.0,D,279361021.26651573,0.00010738792356926355
2026-03-13,2026-03-17 00:00:00,0001737133-26-000001,SI,"SHOULDER INNOVATIONS, INC.",0001699350,NYSE,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Buchholz Richard,0001737133,,true,false,false,P,1000.0,14.84,14840.0,13666.0,D,279361021.26651573,5.312122619226237e-05
2025-12-12,2025-12-15 00:00:00,0001628280-25-057067,SI,"SHOULDER INNOVATIONS, INC.",0001699350,NYSE,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Ball Robert Joseph,0002070664,CEO & Executive Chairman,true,true,false,P,3900.0,14.8911,58075.29,118457.0,D,279361021.26651573,0.00020788616012609387
2025-12-12,2025-12-15 00:00:00,0001628280-25-057080,SI,"SHOULDER INNOVATIONS, INC.",0001699350,NYSE,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Points Jeffrey S.,0001731414,Chief Financial Officer,false,true,false,P,1005.0,14.98,15054.9,54445.0,D,279361021.26651573,5.389048168476352e-05
2025-12-11,2025-12-15 00:00:00,0001628280-25-057067,SI,"SHOULDER INNOVATIONS, INC.",0001699350,NYSE,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Ball Robert Joseph,0002070664,CEO & Executive Chairman,true,true,false,P,3300.0,14.8285,48934.05,114557.0,D,279361021.26651573,0.0001751642007111507
2025-12-11,2025-12-15 00:00:00,0001628280-25-057080,SI,"SHOULDER INNOVATIONS, INC.",0001699350,NYSE,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Points Jeffrey S.,0001731414,Chief Financial Officer,false,true,false,P,995.0,14.65,14576.75,53440.0,D,279361021.26651573,5.217889716294208e-05
2025-09-12,2025-09-15 00:00:00,0001493152-25-013475,SI,"SHOULDER INNOVATIONS, INC.",0001699350,NYSE,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Ball Robert Joseph,0002070664,CEO & EXECUTIVE CHAIRMAN,true,true,false,P,6000.0,15.4909,92945.4,111259.0,D,279361021.26651573,0.00033270711704382094
2025-09-12,2025-09-15 00:00:00,0001493152-25-013488,SI,"SHOULDER INNOVATIONS, INC.",0001699350,NYSE,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Points Jeffrey S.,0001731414,CHIEF FINANCIAL OFFICER,false,true,false,P,1600.0,15.67,25072.0,52445.0,D,279361021.26651573,8.974766732428586e-05
2025-09-11,2025-09-15 00:00:00,0001493152-25-013475,SI,"SHOULDER INNOVATIONS, INC.",0001699350,NYSE,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Ball Robert Joseph,0002070664,CEO & EXECUTIVE CHAIRMAN,true,true,false,P,2000.0,14.9048,29809.6,105259.0,D,279361021.26651573,0.00010670636821434395
