txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-13,2026-05-14 00:00:00,0001493152-26-023056,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,1937.0,66.8701,129527.38369999999,488437.0,I,205458111.4667015,0.0006304320757907503
2026-05-12,2026-05-14 00:00:00,0001493152-26-023056,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,1500.0,67.9833,101974.95,486500.0,I,205458111.4667015,0.0004963296375695882
2026-03-24,2026-03-24 00:00:00,0001493152-26-012354,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,34665.0,72.0,2495880.0,485000.0,I,205458111.4667015,0.012147877648551764
2026-03-24,2026-03-24 00:00:00,0001493152-26-012354,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,5000.0,72.0,360000.0,15000.0,I,205458111.4667015,0.001752181977290028
2026-02-13,2026-02-18 00:00:00,0001493152-26-007330,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,291.0,63.0,18333.0,450335.0,I,205458111.4667015,8.922986719349468e-05
2026-02-02,2026-02-18 00:00:00,0001493152-26-007306,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,100.0,58.0,5800.0,450044.0,I,205458111.4667015,2.8229598523006005e-05
2026-02-02,2026-02-04 00:00:00,0001493152-26-005094,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,100.0,58.0,5800.0,450944.0,I,205458111.4667015,2.8229598523006005e-05
2026-01-27,2026-01-29 00:00:00,0001493152-26-004234,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,100.0,57.05,5705.0,449944.0,I,205458111.4667015,2.7767217167887802e-05
2026-01-23,2026-01-23 00:00:00,0001493152-26-003468,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,1151.0,55.9809,64434.0159,449844.0,I,205458111.4667015,0.0003136114482899975
2026-01-22,2026-01-23 00:00:00,0001493152-26-003468,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,2173.0,56.5681,122922.4813,448693.0,I,205458111.4667015,0.0005982848787156402
2026-01-05,2026-01-06 00:00:00,0001493152-26-000588,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,198.0,42.98,8510.039999999999,447331.0,I,205458111.4667015,4.1419829761158964e-05
2026-01-02,2026-01-06 00:00:00,0001493152-26-000588,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,2394.0,41.9164,100347.8616,447133.0,I,205458111.4667015,0.0004884103182086502
2025-12-31,2025-12-31 00:00:00,0001493152-25-029866,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,22497.0,41.9942,944743.5174,443739.0,I,205458111.4667015,0.004598229345416299
2025-12-30,2025-12-31 00:00:00,0001493152-25-029866,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,35169.0,41.9866,1476626.7354000001,421242.0,I,205458111.4667015,0.0071869965359791415
2025-12-29,2025-12-31 00:00:00,0001493152-25-029866,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,8638.0,41.8539,361533.9882,386073.0,I,205458111.4667015,0.0017596481619495156
2025-12-26,2025-12-29 00:00:00,0001493152-25-029359,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,1626.0,41.6756,67764.52560000001,377435.0,I,205458111.4667015,0.0003298216123775798
2025-12-23,2025-12-29 00:00:00,0001493152-25-029359,SLGL,Sol-Gel Technologies Ltd.,0001684693,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Opaleye Management Inc.,0001595855,,false,false,true,P,260.0,41.6633,10832.458,375809.0,I,205458111.4667015,5.272343799264217e-05
