txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-04,2026-06-04 00:00:00,0001055919-26-000005,SMMT,Summit Therapeutics Inc.,0001599298,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,DUGGAN ROBERT W,0001055919,Co-Chief Executive Officer,true,true,true,P,100000.0,14.6,1460000.0,25824474.0,I,10951654654.475704,0.00013331318837773336
2026-06-04,2026-06-04 00:00:00,0001507650-26-000005,SMMT,Summit Therapeutics Inc.,0001599298,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Zanganeh Mahkam,0001507650,Co-Chief Executive Officer,true,true,true,P,100000.0,14.6,1460000.0,25824474.0,I,10951654654.475704,0.00013331318837773336
2026-06-04,2026-06-04 00:00:00,0001569769-26-000004,SMMT,Summit Therapeutics Inc.,0001599298,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Soni Manmeet Singh,0001569769,COO and CFO,true,true,false,P,25000.0,14.46,361500.0,3098603.0,D,10951654654.475704,3.3008710683938775e-05
2026-06-04,2026-06-04 00:00:00,0001569769-26-000004,SMMT,Summit Therapeutics Inc.,0001599298,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Soni Manmeet Singh,0001569769,COO and CFO,true,true,false,P,25000.0,14.43,360750.0,3123603.0,D,10951654654.475704,3.294022788168994e-05
2025-10-21,2025-10-23 00:00:00,0001963544-25-000004,SMMT,Summit Therapeutics Inc.,0001599298,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Xia Yu,0001963544,,true,false,false,P,533617.0,18.74,9999982.58,32057147.0,I,10951654654.475704,0.000913102439357255
2025-10-21,2025-10-23 00:00:00,0001055919-25-000003,SMMT,Summit Therapeutics Inc.,0001599298,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,DUGGAN ROBERT W,0001055919,Co-Chief Executive Officer,true,true,true,P,26680.0,18.74,499983.19999999995,76680.0,I,10951654654.475704,4.5653667484453375e-05
2025-10-21,2025-10-23 00:00:00,0001507650-25-000003,SMMT,Summit Therapeutics Inc.,0001599298,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Zanganeh Mahkam,0001507650,Co-Chief Executive Officer,true,true,true,P,26680.0,18.74,499983.19999999995,76680.0,I,10951654654.475704,4.5653667484453375e-05
2025-09-11,2025-09-11 00:00:00,0001599298-25-000143,SMMT,Summit Therapeutics Inc.,0001599298,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Zanganeh Mahkam,0001507650,Co-Chief Executive Officer,true,true,true,P,5000.0,18.07,90350.0,556093090.0,I,10951654654.475704,8.249894910909732e-06
2025-09-11,2025-09-11 00:00:00,0001599298-25-000142,SMMT,Summit Therapeutics Inc.,0001599298,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,DUGGAN ROBERT W,0001055919,Co-Chief Executive Officer,true,true,true,P,5000.0,18.07,90350.0,556093090.0,D,10951654654.475704,8.249894910909732e-06
2025-09-10,2025-09-11 00:00:00,0001599298-25-000143,SMMT,Summit Therapeutics Inc.,0001599298,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Zanganeh Mahkam,0001507650,Co-Chief Executive Officer,true,true,true,P,333394.0,17.68,5894405.92,556088090.0,I,10951654654.475704,0.0005382205799916348
2025-09-10,2025-09-11 00:00:00,0001599298-25-000142,SMMT,Summit Therapeutics Inc.,0001599298,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,DUGGAN ROBERT W,0001055919,Co-Chief Executive Officer,true,true,true,P,333394.0,17.68,5894405.92,556088090.0,D,10951654654.475704,0.0005382205799916348
