txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-11,2026-08-11 00:00:00,0001193125-26-344740,SMRT,"SmartRent, Inc.",0001837014,NYSE,7373,Services-Computer Integrated Systems Design,Services,Pinczuk Ana G.,0001689411,,true,false,false,P,107000.0,1.4264,152624.8,385704.0,D,268044913.1514293,0.000569400098683373
2026-08-11,2026-08-11 00:00:00,0001193125-26-345044,SMRT,"SmartRent, Inc.",0001837014,NYSE,7373,Services-Computer Integrated Systems Design,Services,Martell Frank,0001387655,Chief Executive Officer,true,true,false,P,100000.0,1.4226,142260.0,3672086.0,I,268044913.1514293,0.0005307319520726425
2026-08-11,2026-08-12 00:00:00,0001193125-26-347197,SMRT,"SmartRent, Inc.",0001837014,NYSE,7373,Services-Computer Integrated Systems Design,Services,Bohjalian Thomas N,0001354287,,true,false,false,P,5000.0,1.34,6700.0,726062.0,D,268044913.1514293,2.4995811042364016e-05
2026-06-10,2026-06-10 00:00:00,0001193125-26-266043,SMRT,"SmartRent, Inc.",0001837014,NYSE,7373,Services-Computer Integrated Systems Design,Services,Bohjalian Thomas N,0001354287,,true,false,false,P,75000.0,1.11,83250.00000000001,721062.0,D,268044913.1514293,0.000310582278996538
2026-06-05,2026-06-05 00:00:00,0001193125-26-259728,SMRT,"SmartRent, Inc.",0001837014,NYSE,7373,Services-Computer Integrated Systems Design,Services,Martell Frank,0001387655,Chief Executive Officer,true,true,false,P,40260.0,1.1265,45352.89,3225526.0,I,268044913.1514293,0.00016919884606942097
2026-06-04,2026-06-05 00:00:00,0001193125-26-259728,SMRT,"SmartRent, Inc.",0001837014,NYSE,7373,Services-Computer Integrated Systems Design,Services,Martell Frank,0001387655,Chief Executive Officer,true,true,false,P,20000.0,1.1864,23727.999999999996,3185266.0,I,268044913.1514293,8.852247827062885e-05
2026-05-26,2026-05-27 00:00:00,0001193125-26-241932,SMRT,"SmartRent, Inc.",0001837014,NYSE,7373,Services-Computer Integrated Systems Design,Services,Ponathil Sangeeth,0002125289,Chief Information Officer,false,true,false,P,10000.0,1.25,12500.0,10000.0,D,268044913.1514293,4.6633975825306e-05
2026-05-12,2026-05-13 00:00:00,0001193125-26-222083,SMRT,"SmartRent, Inc.",0001837014,NYSE,7373,Services-Computer Integrated Systems Design,Services,Martell Frank,0001387655,Chief Executive Officer,true,true,false,P,100000.0,1.1785,117850.00000000001,3165266.0,I,268044913.1514293,0.000439665124080985
2026-05-08,2026-05-08 00:00:00,0001193125-26-215194,SMRT,"SmartRent, Inc.",0001837014,NYSE,7373,Services-Computer Integrated Systems Design,Services,Martell Frank,0001387655,Chief Executive Officer,true,true,false,P,50000.0,1.1244,56220.0,3065266.0,I,268044913.1514293,0.00020974096967189625
2026-03-12,2026-03-12 00:00:00,0001193125-26-104561,SMRT,"SmartRent, Inc.",0001837014,NYSE,7373,Services-Computer Integrated Systems Design,Services,Bohjalian Thomas N,0001354287,,true,false,false,P,150000.0,1.7366,260490.0,500000.0,D,268044913.1514293,0.0009718147490187168
