txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-18,2026-05-18 00:00:00,0000902664-26-002558,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,10000.0,1.5878,15878.000000000002,925755.0,I,8114241.628267765,0.0019568064062432475
2026-05-15,2026-05-18 00:00:00,0000902664-26-002558,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,7120.0,1.6498,11746.576,915755.0,I,8114241.628267765,0.00144764927372611
2026-05-15,2026-05-18 00:00:00,0001628280-26-035985,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,Edell Michael,0001300316,Chief Executive Officer,true,true,false,P,1000.0,1.615,1615.0,3000.0,D,8114241.628267765,0.0001990327715129641
2026-05-14,2026-05-18 00:00:00,0000902664-26-002558,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,15000.0,1.7241,25861.5,908635.0,I,8114241.628267765,0.0031871740064907256
2026-05-14,2026-05-18 00:00:00,0001628280-26-035985,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,Edell Michael,0001300316,Chief Executive Officer,true,true,false,P,2000.0,1.6988,3397.6000000000004,2000.0,D,8114241.628267765,0.00041872058482504454
2026-04-28,2026-04-30 00:00:00,0000902664-26-002222,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,3000.0,1.469,4407.0,893635.0,I,8114241.628267765,0.0005431191480233021
2026-03-17,2026-03-17 00:00:00,0000902664-26-001650,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,19725.0,1.7924,35355.09,890635.0,I,8114241.628267765,0.004357165046309772
2026-03-16,2026-03-17 00:00:00,0000902664-26-001650,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,5060.0,1.8562,9392.372000000001,870910.0,I,8114241.628267765,0.0011575169227496978
2026-03-13,2026-03-17 00:00:00,0000902664-26-001650,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,146249.0,1.9517,285434.1733,865850.0,I,8114241.628267765,0.03517693783059486
2026-02-19,2026-02-19 00:00:00,0000902664-26-001203,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,34613.0,2.402,83140.426,704211.0,I,8114241.628267765,0.010246234929751396
2026-02-18,2026-02-19 00:00:00,0000902664-26-001203,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,10481.0,2.29,24001.49,669598.0,I,8114241.628267765,0.002957946176557705
2026-02-17,2026-02-19 00:00:00,0000902664-26-001203,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,40807.0,2.2911,93492.9177,659117.0,I,8114241.628267765,0.011522077106293783
2026-02-13,2026-02-13 00:00:00,0000902664-26-001004,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,15390.0,1.8912,29105.568,633700.0,I,8114241.628267765,0.0035869732913306747
2026-02-12,2026-02-13 00:00:00,0000902664-26-001004,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,7956.0,1.7205,13688.297999999999,618310.0,I,8114241.628267765,0.0016869472992169434
2026-02-11,2026-02-13 00:00:00,0000902664-26-001004,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,8000.0,1.7342,13873.6,610354.0,I,8114241.628267765,0.0017097839373760118
2026-02-05,2026-02-06 00:00:00,0000902664-26-000780,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,2884.0,1.7705,5106.122,602354.0,I,8114241.628267765,0.000629279017550043
2026-02-04,2026-02-06 00:00:00,0000902664-26-000780,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,5685.0,1.8247,10373.4195,599470.0,I,8114241.628267765,0.0012784213208369205
2026-02-02,2026-02-03 00:00:00,0000902664-26-000679,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,42739.0,1.9752,84418.07280000001,593785.0,I,8114241.628267765,0.010403692257069457
2026-01-30,2026-02-03 00:00:00,0000902664-26-000679,SNES,"SenesTech, Inc.",0001680378,NASDAQ,2870,Agricultural Chemicals,Manufacturing,GLENBROOK CAPITAL MANAGEMENT,0001273782,,false,false,true,P,5399.0,1.8718,10105.8482,551046.0,I,8114241.628267765,0.0012454458054088544
