txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-31,2026-04-01 00:00:00,0001210982-26-000004,SPG,SIMON PROPERTY GROUP INC.,0001063761,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",LEIBOWITZ REUBEN S,0001210982,,true,false,false,P,491.0,183.8,90245.8,54130.0,D,64864469583.75598,1.3912978951206944e-06
2026-03-31,2026-04-01 00:00:00,0001189793-26-000005,SPG,SIMON PROPERTY GROUP INC.,0001063761,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",GLASSCOCK LARRY C,0001189793,,true,false,false,P,373.0,183.8,68557.40000000001,44272.0,D,64864469583.75598,1.0569330241955582e-06
2026-03-31,2026-04-01 00:00:00,0001464273-26-000004,SPG,SIMON PROPERTY GROUP INC.,0001063761,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Smith Daniel C.,0001464273,,true,false,false,P,355.0,183.8,65249.00000000001,33035.0,D,64864469583.75598,1.0059282133764697e-06
2026-03-31,2026-04-01 00:00:00,0001199045-26-000004,SPG,SIMON PROPERTY GROUP INC.,0001063761,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",RODKIN GARY M,0001199045,,true,false,false,P,232.0,183.8,42641.600000000006,19687.0,D,64864469583.75598,6.573953394460308e-07
2026-03-31,2026-04-01 00:00:00,0001340262-26-000007,SPG,SIMON PROPERTY GROUP INC.,0001063761,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Aeppel Glyn,0001340262,,true,false,false,P,221.0,183.8,40619.8,19702.0,D,64864469583.75598,6.262257328343656e-07
2026-03-31,2026-04-01 00:00:00,0001709407-26-000004,SPG,SIMON PROPERTY GROUP INC.,0001063761,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",SELIG STEFAN M,0001709407,,true,false,false,P,206.0,183.8,37862.8,32483.0,D,64864469583.75598,5.837217238184583e-07
2026-03-31,2026-04-01 00:00:00,0001272064-26-000006,SPG,SIMON PROPERTY GROUP INC.,0001063761,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",STEWART MARTA R,0001272064,,true,false,false,P,196.0,183.8,36024.8,16696.0,D,64864469583.75598,5.553857178078536e-07
2026-03-31,2026-04-01 00:00:00,0001898688-26-000004,SPG,SIMON PROPERTY GROUP INC.,0001063761,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Roe Peggy,0001898688,,true,false,false,P,81.0,183.8,14887.800000000001,6885.0,D,64864469583.75598,2.2952164868589867e-07
2026-03-31,2026-04-01 00:00:00,0001123485-26-000004,SPG,SIMON PROPERTY GROUP INC.,0001063761,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",LEWIS RANDALL J,0001123485,,true,false,false,P,56.0,183.8,10292.800000000001,5883.0,D,64864469583.75598,1.5868163365938676e-07
2026-03-31,2026-04-01 00:00:00,0002007895-26-000010,SPG,SIMON PROPERTY GROUP INC.,0001063761,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Jones Nina P,0002007895,,true,false,false,P,36.0,183.8,6616.8,3067.0,D,64864469583.75598,1.0200962163817719e-07
2025-12-31,2026-01-05 00:00:00,0001210982-26-000002,SPG,SIMON PROPERTY GROUP INC.,0001063761,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",LEIBOWITZ REUBEN S,0001210982,,true,false,false,P,480.0,186.0,89280.0,53639.0,D,64864469583.75598,1.376408387718604e-06
2025-12-31,2026-01-05 00:00:00,0001189793-26-000002,SPG,SIMON PROPERTY GROUP INC.,0001063761,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",GLASSCOCK LARRY C,0001189793,,true,false,false,P,363.0,186.0,67518.0,43899.0,D,64864469583.75598,1.0409088432121943e-06
