txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-20,2026-04-22 00:00:00,0000921895-26-001062,SPRU,SPRUCE POWER HOLDING CORP,0001772720,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",STEEL PARTNERS HOLDINGS L.P.,0001452857,,false,false,true,P,24335.0,4.1264,100415.944,3429380.0,I,38696893.86,0.002594935509896246
2026-04-17,2026-04-17 00:00:00,0000921895-26-001025,SPRU,SPRUCE POWER HOLDING CORP,0001772720,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",STEEL PARTNERS HOLDINGS L.P.,0001452857,,false,false,true,P,3640.0,4.0327,14679.028,3405045.0,I,38696893.86,0.00037933349516647746
2026-04-16,2026-04-17 00:00:00,0000921895-26-001025,SPRU,SPRUCE POWER HOLDING CORP,0001772720,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",STEEL PARTNERS HOLDINGS L.P.,0001452857,,false,false,true,P,141.0,4.1,578.0999999999999,3401405.0,I,38696893.86,1.4939183545105342e-05
2026-04-15,2026-04-17 00:00:00,0000921895-26-001025,SPRU,SPRUCE POWER HOLDING CORP,0001772720,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",STEEL PARTNERS HOLDINGS L.P.,0001452857,,false,false,true,P,10463.0,4.0947,42842.846099999995,3401264.0,I,38696893.86,0.0011071391480411703
2026-04-14,2026-04-14 00:00:00,0000921895-26-000987,SPRU,SPRUCE POWER HOLDING CORP,0001772720,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",STEEL PARTNERS HOLDINGS L.P.,0001452857,,false,false,true,P,5027.0,4.05,20359.35,3390801.0,I,38696893.86,0.0005261236230912307
2026-04-13,2026-04-14 00:00:00,0000921895-26-000987,SPRU,SPRUCE POWER HOLDING CORP,0001772720,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",STEEL PARTNERS HOLDINGS L.P.,0001452857,,false,false,true,P,2975.0,4.0,11900.0,3385774.0,I,38696893.86,0.0003075182220839882
2026-04-10,2026-04-14 00:00:00,0000921895-26-000987,SPRU,SPRUCE POWER HOLDING CORP,0001772720,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",STEEL PARTNERS HOLDINGS L.P.,0001452857,,false,false,true,P,1700.0,4.0,6800.0,3382799.0,I,38696893.86,0.00017572469833370755
2026-04-09,2026-04-09 00:00:00,0000921895-26-000952,SPRU,SPRUCE POWER HOLDING CORP,0001772720,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",STEEL PARTNERS HOLDINGS L.P.,0001452857,,false,false,true,P,14532.0,3.9843,57899.8476,3381099.0,I,38696893.86,0.0014962401842761237
2026-04-07,2026-04-09 00:00:00,0000921895-26-000952,SPRU,SPRUCE POWER HOLDING CORP,0001772720,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",STEEL PARTNERS HOLDINGS L.P.,0001452857,,false,false,true,P,5000.0,4.0,20000.0,3366567.0,I,38696893.86,0.0005168373480403163
2026-04-02,2026-04-02 00:00:00,0000921895-26-000900,SPRU,SPRUCE POWER HOLDING CORP,0001772720,NYSE,4911,Electric Services,"Transportation, Communications, Electric, Gas",STEEL PARTNERS HOLDINGS L.P.,0001452857,,false,false,true,P,1409.0,4.05,5706.45,3361567.0,I,38696893.86,0.00014746532423623316
