txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-01-26,2026-01-28 00:00:00,0001251859-26-000008,SQNS,SEQUANS COMMUNICATIONS,0001383395,NYSE,3674,Semiconductors & Related Devices,Manufacturing,ASHER DANIEL,0001251859,,false,false,true,P,12300.0,5.1198,62973.53999999999,140011100.0,I,52786459.33725619,0.0011929866255597455
2026-01-21,2026-01-22 00:00:00,0001251859-26-000007,SQNS,SEQUANS COMMUNICATIONS,0001383395,NYSE,3674,Semiconductors & Related Devices,Manufacturing,ASHER DANIEL,0001251859,,false,false,true,P,22600.0,5.2403,118430.78000000001,1895678.0,I,52786459.33725619,0.002243582568085082
2026-01-20,2026-01-22 00:00:00,0001251859-26-000007,SQNS,SEQUANS COMMUNICATIONS,0001383395,NYSE,3674,Semiconductors & Related Devices,Manufacturing,ASHER DANIEL,0001251859,,false,false,true,P,19660.0,5.2941,104082.00600000001,1873078.0,I,52786459.33725619,0.0019717557742415185
2026-01-16,2026-01-20 00:00:00,0001251859-26-000006,SQNS,SEQUANS COMMUNICATIONS,0001383395,NYSE,3674,Semiconductors & Related Devices,Manufacturing,ASHER DANIEL,0001251859,,false,false,true,P,11631.0,5.6521,65739.5751,1853418.0,I,52786459.33725619,0.0012453870921704654
2026-01-15,2026-01-20 00:00:00,0001251859-26-000006,SQNS,SEQUANS COMMUNICATIONS,0001383395,NYSE,3674,Semiconductors & Related Devices,Manufacturing,ASHER DANIEL,0001251859,,false,false,true,P,28200.0,5.6537,159434.34,1841787.0,I,52786459.33725619,0.003020364351042441
2026-01-14,2026-01-15 00:00:00,0001251859-26-000005,SQNS,SEQUANS COMMUNICATIONS,0001383395,NYSE,3674,Semiconductors & Related Devices,Manufacturing,ASHER DANIEL,0001251859,,false,false,true,P,15100.0,5.6856,85852.56,1813587.0,I,52786459.33725619,0.0016264125512090572
2026-01-13,2026-01-15 00:00:00,0001251859-26-000005,SQNS,SEQUANS COMMUNICATIONS,0001383395,NYSE,3674,Semiconductors & Related Devices,Manufacturing,ASHER DANIEL,0001251859,,false,false,true,P,57809.0,5.5097,318510.2473,1789487.0,I,52786459.33725619,0.006033938462608694
2026-01-12,2026-01-13 00:00:00,0001251859-26-000004,SQNS,SEQUANS COMMUNICATIONS,0001383395,NYSE,3674,Semiconductors & Related Devices,Manufacturing,ASHER DANIEL,0001251859,,false,false,true,P,6800.0,5.3557,36418.759999999995,1227235.0,I,52786459.33725619,0.0006899261753344379
2026-01-09,2026-01-13 00:00:00,0001251859-26-000004,SQNS,SEQUANS COMMUNICATIONS,0001383395,NYSE,3674,Semiconductors & Related Devices,Manufacturing,ASHER DANIEL,0001251859,,false,false,true,P,27032.0,4.9975,135092.41999999998,1220435.0,I,52786459.33725619,0.0025592248788062397
2026-01-07,2026-01-09 00:00:00,0001251859-26-000003,SQNS,SEQUANS COMMUNICATIONS,0001383395,NYSE,3674,Semiconductors & Related Devices,Manufacturing,ASHER DANIEL,0001251859,,false,false,true,P,21900.0,4.9093,107513.67,1193403.0,I,52786459.33725619,0.002036766082625243
