txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-12,2026-06-15 00:00:00,0001493152-26-028646,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Lekstrom Morgan Lee,0002072014,Interim Executive Chairman,true,true,false,P,25000.0,1.01,25250.0,334500.0,I,80361137.45232481,0.00031420660284929217
2026-06-12,2026-06-15 00:00:00,0001493152-26-028646,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Lekstrom Morgan Lee,0002072014,Interim Executive Chairman,true,true,false,P,25000.0,0.98,24500.0,359500.0,I,80361137.45232481,0.00030487373345772906
2026-05-28,2026-05-28 00:00:00,0001493152-26-025586,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Lekstrom Morgan Lee,0002072014,Interim Executive Chairman,true,true,false,P,34000.0,1.47,49980.0,309000.0,I,80361137.45232481,0.0006219424162537672
2026-05-21,2026-05-21 00:00:00,0001493152-26-024841,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Lekstrom Morgan Lee,0002072014,Interim Executive Chairman,true,true,false,P,53952.0,1.04,56110.08,217500.0,I,80361137.45232481,0.0006982240642535451
2026-05-21,2026-05-21 00:00:00,0001493152-26-024841,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Lekstrom Morgan Lee,0002072014,Interim Executive Chairman,true,true,false,P,52000.0,1.06,55120.0,269500.0,I,80361137.45232481,0.0006859036811506132
2026-05-21,2026-05-21 00:00:00,0001493152-26-024841,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Lekstrom Morgan Lee,0002072014,Interim Executive Chairman,true,true,false,P,41048.0,1.02,41868.96,163548.0,I,80361137.45232481,0.0005210100469874415
2026-05-21,2026-05-22 00:00:00,0001493152-26-025010,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Marciano Anthony Mark,0002111804,,true,false,false,P,17745.142,1.13,20052.010459999998,117745.142,D,80361137.45232481,0.00024952372621525035
2026-02-18,2026-02-18 00:00:00,0001493152-26-007312,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Lekstrom Morgan Lee,0002072014,Executive Chairman,true,true,true,P,20000.0,2.5,50000.0,122500.0,I,80361137.45232481,0.0006221912927708756
2026-02-04,2026-02-04 00:00:00,0001493152-26-005165,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,GIUSTRA FRANK,0001233215,,false,false,true,P,100000.0,3.17,317000.0,1278205.0,I,80361137.45232481,0.003944692796167351
2026-02-03,2026-02-03 00:00:00,0001493152-26-004859,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Lekstrom Morgan Lee,0002072014,,true,false,true,P,23500.0,3.06,71910.0,102500.0,I,80361137.45232481,0.0008948355172630733
2026-01-29,2026-01-29 00:00:00,0001493152-26-004212,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Lekstrom Morgan Lee,0002072014,,true,false,true,P,2500.0,3.7,9250.0,79000.0,I,80361137.45232481,0.00011510538916261198
2026-01-27,2026-01-27 00:00:00,0001493152-26-003753,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Lekstrom Morgan Lee,0002072014,,true,false,true,P,5500.0,3.12,17160.0,76500.0,I,80361137.45232481,0.0002135360516789645
2026-01-26,2026-01-27 00:00:00,0001493152-26-003736,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Lekstrom Morgan Lee,0002072014,,true,false,true,P,23000.0,3.3,75900.0,71000.0,I,80361137.45232481,0.0009444863824261892
2026-01-23,2026-01-27 00:00:00,0001493152-26-003823,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,GIUSTRA FRANK,0001233215,,false,false,true,P,1000000.0,3.0,3000000.0,1178205.0,I,80361137.45232481,0.03733147756625253
2026-01-23,2026-01-26 00:00:00,0001493152-26-003563,STEX,Streamex Corp.,0001530766,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Mitchell Young,0002071989,Chief Investment Officer,false,true,false,P,51511.0,3.0256,155851.68159999998,1051511.0,D,80361137.45232481,0.0019393911851043775
