txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-19,2026-05-20 00:00:00,0000921895-26-001445,STIM,"Neuronetics, Inc.",0001227636,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Chernett Jorey,0002042077,,false,false,true,P,100000.0,1.17,117000.0,10553988.0,D,82809533.58184814,0.0014128807993388627
2026-05-12,2026-05-13 00:00:00,0000921895-26-001259,STIM,"Neuronetics, Inc.",0001227636,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Chernett Jorey,0002042077,,false,false,true,P,475000.0,1.34,636500.0,10453988.0,D,82809533.58184814,0.00768631306648877
2026-04-21,2026-04-22 00:00:00,0000921895-26-001056,STIM,"Neuronetics, Inc.",0001227636,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Chernett Jorey,0002042077,,false,false,true,P,100000.0,1.51,151000.0,9978988.0,D,82809533.58184814,0.0018234615444458827
2026-04-20,2026-04-22 00:00:00,0000921895-26-001056,STIM,"Neuronetics, Inc.",0001227636,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Chernett Jorey,0002042077,,false,false,true,P,100000.0,1.58,158000.0,9878988.0,D,82809533.58184814,0.0019079928743208573
2026-03-30,2026-03-30 00:00:00,0000921895-26-000835,STIM,"Neuronetics, Inc.",0001227636,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Chernett Jorey,0002042077,,false,false,true,P,385442.0,1.25,481802.5,9778988.0,D,82809533.58184814,0.0058182008660124995
2026-03-27,2026-03-30 00:00:00,0000921895-26-000822,STIM,"Neuronetics, Inc.",0001227636,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Chernett Jorey,0002042077,,false,false,true,P,500000.0,1.35,675000.0,9393276.0,D,82809533.58184814,0.008151235380801132
2026-03-26,2026-03-27 00:00:00,0000921895-26-000813,STIM,"Neuronetics, Inc.",0001227636,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Chernett Jorey,0002042077,,false,false,true,P,25000.0,1.44,36000.0,8893276.0,D,82809533.58184814,0.000434732553642727
2026-03-25,2026-03-27 00:00:00,0000921895-26-000813,STIM,"Neuronetics, Inc.",0001227636,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Chernett Jorey,0002042077,,false,false,true,P,125000.0,1.4,175000.0,8868276.0,D,82809533.58184814,0.0021132832468743674
2026-03-20,2026-03-23 00:00:00,0001193805-26-000308,STIM,"Neuronetics, Inc.",0001227636,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Chernett Jorey,0002042077,,false,false,true,P,169472.0,1.41,238955.52,8743276.0,D,82809533.58184814,0.0028856039837951587
2026-03-19,2026-03-20 00:00:00,0000921895-26-000751,STIM,"Neuronetics, Inc.",0001227636,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Chernett Jorey,0002042077,,false,false,true,P,450000.0,1.33,598500.0,8573804.0,D,82809533.58184814,0.007227428704310336
2026-03-18,2026-03-20 00:00:00,0000921895-26-000751,STIM,"Neuronetics, Inc.",0001227636,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Chernett Jorey,0002042077,,false,false,true,P,607400.0,1.35,819990.0,8123804.0,D,82809533.58184814,0.009902120740597214
2026-03-17,2026-03-18 00:00:00,0001193805-26-000282,STIM,"Neuronetics, Inc.",0001227636,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Chernett Jorey,0002042077,,false,false,true,P,531000.0,1.16,615960.0,7516404.0,D,82809533.58184814,0.007438273992827059
