txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-29,2026-06-29 00:00:00,0001548312-26-000038,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Eberwein Jeffrey E.,0001548312,Chief Executive Officer,true,true,true,P,5000.0,11.01,55050.0,1125714.0,D,40577255.17492294,0.001356671360906179
2026-06-25,2026-06-29 00:00:00,0001548312-26-000038,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Eberwein Jeffrey E.,0001548312,Chief Executive Officer,true,true,true,P,5000.0,11.01,55050.0,1120714.0,D,40577255.17492294,0.001356671360906179
2026-06-22,2026-06-23 00:00:00,0001548312-26-000035,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Eberwein Jeffrey E.,0001548312,Chief Executive Officer,true,true,true,P,4766.0,11.16,53188.56,1115714.0,D,40577255.17492294,0.0013107973856465022
2026-06-18,2026-06-23 00:00:00,0001548312-26-000035,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Eberwein Jeffrey E.,0001548312,Chief Executive Officer,true,true,true,P,234.0,11.01,2576.34,1110948.0,D,40577255.17492294,6.349221969040918e-05
2026-06-16,2026-06-17 00:00:00,0001548312-26-000033,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Eberwein Jeffrey E.,0001548312,Chief Executive Officer,true,true,true,P,4994.0,11.21,55982.740000000005,1110714.0,D,40577255.17492294,0.001379658130119106
2026-06-15,2026-06-17 00:00:00,0001548312-26-000033,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Eberwein Jeffrey E.,0001548312,Chief Executive Officer,true,true,true,P,6.0,11.01,66.06,1105720.0,D,40577255.17492294,1.6280056330874148e-06
2026-06-12,2026-06-15 00:00:00,0002029470-26-000012,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Fruhbeis Todd Michael,0002029470,,true,false,false,P,500.0,11.23,5615.0,20178.0,D,40577255.17492294,0.00013837801437762388
2026-06-10,2026-06-12 00:00:00,0001548312-26-000031,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Eberwein Jeffrey E.,0001548312,Chief Executive Officer,true,true,true,P,1884.0,10.89,20516.760000000002,1105714.0,D,40577255.17492294,0.000505622174579209
2026-06-10,2026-06-12 00:00:00,0002029470-26-000010,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Fruhbeis Todd Michael,0002029470,,true,false,false,P,300.0,9.81,2943.0,5411.0,D,40577255.17492294,7.252831635144204e-05
2026-06-09,2026-06-09 00:00:00,0001548312-26-000029,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Eberwein Jeffrey E.,0001548312,Chief Executive Officer,true,true,true,P,2849.0,11.23,31994.27,1103830.0,D,40577255.17492294,0.0007884779259237009
2026-06-08,2026-06-09 00:00:00,0001548312-26-000029,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Eberwein Jeffrey E.,0001548312,Chief Executive Officer,true,true,true,P,10000.0,11.45,114500.0,1100981.0,D,40577255.17492294,0.0028217778532925973
2026-06-05,2026-06-09 00:00:00,0001548312-26-000029,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Eberwein Jeffrey E.,0001548312,Chief Executive Officer,true,true,true,P,3443.0,11.51,39628.93,1090981.0,D,40577255.17492294,0.0009766291443116385
2026-06-05,2026-06-15 00:00:00,0001767481-26-000004,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Drake Mimi K,0001767481,,true,false,false,P,1000.0,11.65,11650.0,44834.0,D,40577255.17492294,0.0002871066549419979
2026-06-05,2026-06-09 00:00:00,0002029196-26-000009,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Palmer Jennifer,0002029196,,true,false,false,P,686.0,11.66,7998.76,686.0,I,40577255.17492294,0.00019712422551792748
2026-06-05,2026-06-09 00:00:00,0001580399-26-000004,STRR,"Star Equity Holdings, Inc.",0001210708,NASDAQ,7363,Services-Help Supply Services,Services,Pearse Robert G.,0001580399,,true,false,false,P,500.0,11.46,5730.0,29218.0,D,40577255.17492294,0.0001412121144049483
