txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-05,2026-06-08 00:00:00,0001731122-26-000823,SVRE,SaverOne 2014 Ltd.,0001894693,NASDAQ,7371,"Services-Computer Programming, Data Processing, Etc.",Services,"VisionWave Holdings, Inc.",0002038439,,true,false,false,P,515030400.0,4.0,2060121600.0,13913985600.0,D,3685580.7449999996,558.9679734448472
2026-06-05,2026-06-08 00:00:00,0001731122-26-000823,SVRE,SaverOne 2014 Ltd.,0001894693,NASDAQ,7371,"Services-Computer Programming, Data Processing, Etc.",Services,"VisionWave Holdings, Inc.",0002038439,,true,false,false,P,515030400.0,4.0,2060121600.0,13913985600.0,D,3685580.7449999996,558.9679734448472
2026-06-04,2026-06-08 00:00:00,0001731122-26-000823,SVRE,SaverOne 2014 Ltd.,0001894693,NASDAQ,7371,"Services-Computer Programming, Data Processing, Etc.",Services,"VisionWave Holdings, Inc.",0002038439,,true,false,false,P,76910400.0,4.0,307641600.0,13398955200.0,D,3685580.7449999996,83.47167550659645
2026-06-04,2026-06-08 00:00:00,0001731122-26-000823,SVRE,SaverOne 2014 Ltd.,0001894693,NASDAQ,7371,"Services-Computer Programming, Data Processing, Etc.",Services,"VisionWave Holdings, Inc.",0002038439,,true,false,false,P,76910400.0,4.0,307641600.0,13398955200.0,D,3685580.7449999996,83.47167550659645
2026-06-03,2026-06-08 00:00:00,0001731122-26-000823,SVRE,SaverOne 2014 Ltd.,0001894693,NASDAQ,7371,"Services-Computer Programming, Data Processing, Etc.",Services,"VisionWave Holdings, Inc.",0002038439,,true,false,false,P,5529600.0,4.0,22118400.0,13331044800.0,D,3685580.7449999996,6.001333719253518
2026-06-03,2026-06-08 00:00:00,0001731122-26-000823,SVRE,SaverOne 2014 Ltd.,0001894693,NASDAQ,7371,"Services-Computer Programming, Data Processing, Etc.",Services,"VisionWave Holdings, Inc.",0002038439,,true,false,false,P,5529600.0,4.0,22118400.0,13331044800.0,D,3685580.7449999996,6.001333719253518
2026-05-28,2026-06-08 00:00:00,0001731122-26-000823,SVRE,SaverOne 2014 Ltd.,0001894693,NASDAQ,7371,"Services-Computer Programming, Data Processing, Etc.",Services,"VisionWave Holdings, Inc.",0002038439,,true,false,false,P,896832000.0,4.0,3587328000.0,13325515200.0,D,3685580.7449999996,973.34131259143
2026-05-28,2026-06-08 00:00:00,0001731122-26-000823,SVRE,SaverOne 2014 Ltd.,0001894693,NASDAQ,7371,"Services-Computer Programming, Data Processing, Etc.",Services,"VisionWave Holdings, Inc.",0002038439,,true,false,false,P,896832000.0,4.0,3587328000.0,13325515200.0,D,3685580.7449999996,973.34131259143
2026-05-21,2026-06-08 00:00:00,0001731122-26-000823,SVRE,SaverOne 2014 Ltd.,0001894693,NASDAQ,7371,"Services-Computer Programming, Data Processing, Etc.",Services,"VisionWave Holdings, Inc.",0002038439,,true,false,false,P,216000000.0,4.0,864000000.0,12428683200.0,D,3685580.7449999996,234.42709840834056
2026-05-21,2026-06-08 00:00:00,0001731122-26-000823,SVRE,SaverOne 2014 Ltd.,0001894693,NASDAQ,7371,"Services-Computer Programming, Data Processing, Etc.",Services,"VisionWave Holdings, Inc.",0002038439,,true,false,false,P,216000000.0,4.0,864000000.0,12428683200.0,D,3685580.7449999996,234.42709840834056
2026-04-29,2026-05-06 00:00:00,0001731122-26-000677,SVRE,SaverOne 2014 Ltd.,0001894693,NASDAQ,7371,"Services-Computer Programming, Data Processing, Etc.",Services,"VisionWave Holdings, Inc.",0002038439,,true,false,false,P,458697600.0,4.0,1834790400.0,12212683200.0,D,3685580.7449999996,497.829386179952
2026-04-29,2026-05-06 00:00:00,0001731122-26-000677,SVRE,SaverOne 2014 Ltd.,0001894693,NASDAQ,7371,"Services-Computer Programming, Data Processing, Etc.",Services,"VisionWave Holdings, Inc.",0002038439,,true,false,false,P,458697600.0,4.0,1834790400.0,12212683200.0,D,3685580.7449999996,497.829386179952
2026-04-28,2026-05-06 00:00:00,0001731122-26-000677,SVRE,SaverOne 2014 Ltd.,0001894693,NASDAQ,7371,"Services-Computer Programming, Data Processing, Etc.",Services,"VisionWave Holdings, Inc.",0002038439,,true,false,false,P,1080000000.0,4.0,4320000000.0,11753985600.0,D,3685580.7449999996,1172.1354920417027
