txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-10,2026-08-12 00:00:00,0001398344-26-014213,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,SELL MORITZ A,0001053116,,true,false,false,P,1000.0,5.91,5910.0,25246.0,D,101164224.12750149,5.841986187282355e-05
2026-07-23,2026-07-24 00:00:00,0001398344-26-012674,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,SELL MORITZ A,0001053116,,true,false,false,P,2000.0,5.86,11720.0,24246.0,D,101164224.12750149,0.00011585123200499018
2026-07-22,2026-07-24 00:00:00,0001398344-26-012674,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,SELL MORITZ A,0001053116,,true,false,false,P,517.0,5.9,3050.3,22246.0,D,101164224.12750149,3.0151963565257812e-05
2026-07-21,2026-07-22 00:00:00,0001398344-26-012496,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,SELL MORITZ A,0001053116,,true,false,false,P,483.0,5.9,2849.7000000000003,21729.0,D,101164224.12750149,2.8169049133500048e-05
2026-07-20,2026-07-22 00:00:00,0001398344-26-012496,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,SELL MORITZ A,0001053116,,true,false,false,P,1000.0,5.93,5930.0,21246.0,D,101164224.12750149,5.861756022095493e-05
2026-07-06,2026-07-08 00:00:00,0001398344-26-011905,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,GOLDSTEIN PHILLIP,0001067621,Secretary,true,true,false,P,5980.0,5.95,35581.0,119214.0,D,101164224.12750149,0.00035171524624313613
2026-07-02,2026-07-07 00:00:00,0001398344-26-011834,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,4767.0,5.9203,28222.0701,131000.0,I,101164224.12750149,0.00027897283198090414
2026-07-02,2026-07-07 00:00:00,0001398344-26-011834,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,233.0,5.92,1379.36,126233.0,I,101164224.12750149,1.3634859673925191e-05
2026-06-29,2026-06-30 00:00:00,0001398344-26-011448,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,SELL MORITZ A,0001053116,,true,false,false,P,2000.0,5.925,11850.0,20246.0,D,101164224.12750149,0.00011713627126784416
2026-06-26,2026-06-30 00:00:00,0001398344-26-011448,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,SELL MORITZ A,0001053116,,true,false,false,P,2091.0,5.885,12305.535,18246.0,D,101164224.12750149,0.00012163919711864563
2026-06-18,2026-06-22 00:00:00,0001398344-26-011111,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,SELL MORITZ A,0001053116,,true,false,false,P,1853.0,5.91,10951.23,16155.0,D,101164224.12750149,0.00010825200405034203
2026-06-17,2026-06-22 00:00:00,0001398344-26-011111,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,SELL MORITZ A,0001053116,,true,false,false,P,147.0,5.91,868.77,14302.0,D,101164224.12750149,8.587719695305061e-06
2026-06-16,2026-06-17 00:00:00,0001398344-26-010969,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,SELL MORITZ A,0001053116,,true,false,false,P,2000.0,5.96,11920.0,14155.0,D,101164224.12750149,0.00011782821548630401
2026-06-15,2026-06-17 00:00:00,0001398344-26-010969,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,SELL MORITZ A,0001053116,,true,false,false,P,155.0,5.95,922.25,12155.0,D,101164224.12750149,9.116365078208379e-06
2026-05-29,2026-06-01 00:00:00,0001398344-26-010110,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,SELL MORITZ A,0001053116,,true,false,false,P,1000.0,6.01,6010.0,12000.0,D,101164224.12750149,5.940835361348046e-05
2026-05-28,2026-05-29 00:00:00,0001398344-26-010015,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,5400.0,5.99,32346.0,126000.0,I,101164224.12750149,0.00031973753843288503
2026-05-28,2026-05-29 00:00:00,0001398344-26-010015,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,100.0,5.98,598.0,120600.0,I,101164224.12750149,5.911180609128339e-06
2026-05-27,2026-05-29 00:00:00,0001398344-26-010015,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,4500.0,5.97,26865.0,117500.0,I,101164224.12750149,0.00026555830612747964
2026-05-27,2026-05-29 00:00:00,0001398344-26-010015,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,3000.0,5.98,17940.0,120500.0,I,101164224.12750149,0.00017733541827385016
2026-05-20,2026-05-20 00:00:00,0001398344-26-009503,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,2987.0,5.96,17802.52,113000.0,I,101164224.12750149,0.00017597643982879505
2026-05-19,2026-05-20 00:00:00,0001398344-26-009503,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,13.0,5.95,77.35000000000001,110013.0,I,101164224.12750149,7.645983613981221e-07
2026-05-18,2026-05-20 00:00:00,0001398344-26-009503,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,4000.0,5.95,23800.0,110000.0,I,101164224.12750149,0.00023526103427634525
2026-04-24,2026-04-27 00:00:00,0001398344-26-007317,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,SELL MORITZ A,0001053116,,true,false,false,P,1002.0,6.065,6077.13,11000.0,D,101164224.12750149,6.007192811898344e-05
2026-04-17,2026-04-20 00:00:00,0001398344-26-006721,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,3000.0,6.09,18270.0,106000.0,I,101164224.12750149,0.00018059744101801795
2026-04-16,2026-04-20 00:00:00,0001398344-26-006721,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,4718.0,6.06,28591.079999999998,100000.0,I,101164224.12750149,0.00028262046436461043
2026-04-16,2026-04-20 00:00:00,0001398344-26-006721,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,3000.0,6.05,18150.0,103000.0,I,101164224.12750149,0.00017941125092922966
2026-04-16,2026-04-20 00:00:00,0001398344-26-006721,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,547.0,6.04,3303.88,40000.0,D,101164224.12750149,3.265858092121561e-05
2026-04-08,2026-04-09 00:00:00,0001398344-26-006337,SWZ,Total Return Securities Fund,0000813623,NYSE,,,,Dakos Andrew,0001341021,President and CEO,true,true,false,P,4000.0,5.975,23900.0,94282.0,I,101164224.12750149,0.00023624952601700215
