txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-11,2026-03-12 00:00:00,0001769862-26-000003,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Arbour Paola M,0001769862,,true,false,false,P,1000.0,91.5,91500.0,6671.0,D,4382815464.694626,2.0876991225633384e-05
2026-03-06,2026-03-09 00:00:00,0000900764-26-000022,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,5500.0,22.8,125400.0,175087.0,D,4382815464.694626,2.861174535185165e-05
2026-03-05,2026-03-09 00:00:00,0000900764-26-000022,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,20000.0,22.69,453800.0,169587.0,D,4382815464.694626,0.00010354074992560031
2026-03-04,2026-03-05 00:00:00,0000900764-26-000020,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,15000.0,22.51,337650.0,149587.0,D,4382815464.694626,7.703952008016515e-05
2026-03-03,2026-03-05 00:00:00,0000900764-26-000020,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,30000.0,22.11,663300.0,134587.0,D,4382815464.694626,0.00015134107409795215
2026-03-02,2026-03-03 00:00:00,0000900764-26-000018,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,20000.0,22.22,444400.0,104587.0,D,4382815464.694626,0.0001013960098434041
2026-02-27,2026-03-03 00:00:00,0000900764-26-000018,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,3330.0,94.86,315883.8,293291.0,D,4382815464.694626,7.207326033792055e-05
2026-02-27,2026-03-03 00:00:00,0000900764-26-000018,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,5000.0,22.29,111450.0,360913.0,I,4382815464.694626,2.5428859804337053e-05
2026-02-24,2026-02-25 00:00:00,0000900764-26-000013,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,20000.0,22.26,445200.00000000006,355913.0,I,4382815464.694626,0.00010157854091422932
2026-02-23,2026-02-25 00:00:00,0000900764-26-000013,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,20000.0,22.14,442800.0,335913.0,I,4382815464.694626,0.00010103094770175368
2026-02-18,2026-02-19 00:00:00,0000900764-26-000010,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,2000.0,22.2,44400.0,315913.0,I,4382815464.694626,1.0130474430799149e-05
2026-02-17,2026-02-19 00:00:00,0000900764-26-000010,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,8000.0,22.11,176880.0,313913.0,I,4382815464.694626,4.035761975945391e-05
2026-02-05,2026-02-06 00:00:00,0000900764-26-000008,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,8385.0,21.36,179103.6,305913.0,I,4382815464.694626,4.086496487081258e-05
2026-02-04,2026-02-06 00:00:00,0000900764-26-000008,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,8500.0,21.35,181475.0,297528.0,I,4382815464.694626,4.1406032597506206e-05
2026-02-03,2026-02-04 00:00:00,0000900764-26-000006,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,3600.0,21.1,75960.0,289028.0,I,4382815464.694626,1.7331325174853682e-05
2026-02-02,2026-02-04 00:00:00,0000900764-26-000006,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,515.0,20.97,10799.55,285428.0,I,4382815464.694626,2.4640667824129945e-06
2026-01-30,2026-02-02 00:00:00,0000900764-26-000004,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,4500.0,20.91,94095.0,284913.0,I,4382815464.694626,2.1469076386622658e-05
2026-01-29,2026-02-02 00:00:00,0000900764-26-000004,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,2500.0,20.94,52350.0,280413.0,I,4382815464.694626,1.1944376947124674e-05
2026-01-26,2026-01-27 00:00:00,0001974780-26-000002,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Whitley Laura L,0001974780,,true,false,false,P,500.0,97.51,48755.0,7961.0,D,4382815464.694626,1.1124127947603886e-05
2026-01-23,2026-01-27 00:00:00,0001974780-26-000002,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Whitley Laura L,0001974780,,true,false,false,P,500.0,97.56,48780.0,7461.0,D,4382815464.694626,1.1129832043567174e-05
2026-01-23,2026-01-27 00:00:00,0000900764-26-000002,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,2000.0,20.91,41820.0,277913.0,I,4382815464.694626,9.541811727387847e-06
2025-10-28,2025-10-30 00:00:00,0000900764-25-000007,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,5000.0,20.83,104149.99999999999,275913.0,I,4382815464.694626,2.376326378305701e-05
2025-10-27,2025-10-28 00:00:00,0000900764-25-000004,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,5000.0,20.68,103400.0,270913.0,I,4382815464.694626,2.359214090415838e-05
2025-10-24,2025-10-28 00:00:00,0000900764-25-000004,TCBI,TEXAS CAPITAL BANCSHARES INC/TX,0001077428,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",STALLINGS ROBERT W,0000900764,,true,false,false,P,10000.0,20.61,206100.0,265913.0,I,4382815464.694626,4.70245671213447e-05
