txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-24,2026-08-24 00:00:00,0001940272-26-000017,TENX,"TENAX THERAPEUTICS, INC.",0000034956,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"ADAR1 Capital Management, LLC",0001940272,,false,false,true,P,107374.0,1.7542,188355.4708,4853818.0,I,80461425.11902285,0.0023409412711914374
2026-08-21,2026-08-24 00:00:00,0001940272-26-000017,TENX,"TENAX THERAPEUTICS, INC.",0000034956,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"ADAR1 Capital Management, LLC",0001940272,,false,false,true,P,716369.0,1.7676,1266253.8444,4746444.0,I,80461425.11902285,0.015737402643899105
2026-08-20,2026-08-24 00:00:00,0001940272-26-000017,TENX,"TENAX THERAPEUTICS, INC.",0000034956,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"ADAR1 Capital Management, LLC",0001940272,,false,false,true,P,202124.0,1.7788,359538.1712,4030075.0,I,80461425.11902285,0.004468453928924971
2025-12-09,2025-12-10 00:00:00,0001841785-25-000004,TENX,"TENAX THERAPEUTICS, INC.",0000034956,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Rich Stuart,0001841785,Chief Medical Officer,true,true,false,P,2500.0,10.2168,25541.999999999996,5266.0,D,80461425.11902285,0.0003174440418152786
2025-12-08,2025-12-10 00:00:00,0001841785-25-000004,TENX,"TENAX THERAPEUTICS, INC.",0000034956,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Rich Stuart,0001841785,Chief Medical Officer,true,true,false,P,2500.0,10.1002,25250.499999999996,5000.0,I,80461425.11902285,0.0003138211877635538
2025-12-04,2025-12-05 00:00:00,0001841785-25-000003,TENX,"TENAX THERAPEUTICS, INC.",0000034956,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Rich Stuart,0001841785,Chief Medical Officer,true,true,false,P,2500.0,9.1992,22998.0,2500.0,I,80461425.11902285,0.0002858264064547717
2025-12-03,2025-12-05 00:00:00,0001841785-25-000003,TENX,"TENAX THERAPEUTICS, INC.",0000034956,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Rich Stuart,0001841785,Chief Medical Officer,true,true,false,P,1500.0,9.0786,13617.9,2766.0,D,80461425.11902285,0.00016924756154710997
2025-12-02,2025-12-05 00:00:00,0001841785-25-000003,TENX,"TENAX THERAPEUTICS, INC.",0000034956,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Rich Stuart,0001841785,Chief Medical Officer,true,true,false,P,1000.0,9.0059,9005.9,1266.0,D,80461425.11902285,0.00011192816914040474
2025-11-20,2025-11-20 00:00:00,0001871714-25-000002,TENX,"TENAX THERAPEUTICS, INC.",0000034956,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Giordano Christopher Thomas,0001871714,CEO,true,true,false,P,538.0,7.5887,4082.7206,2605.0,D,80461425.11902285,5.0741340884288605e-05
2025-11-19,2025-11-20 00:00:00,0001871714-25-000002,TENX,"TENAX THERAPEUTICS, INC.",0000034956,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Giordano Christopher Thomas,0001871714,CEO,true,true,false,P,455.0,7.5091,3416.6405,2067.0,D,80461425.11902285,4.2463087062476494e-05
2025-11-18,2025-11-20 00:00:00,0001492647-25-000004,TENX,"TENAX THERAPEUTICS, INC.",0000034956,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Almenoff June Sherie,0001492647,,true,false,false,P,1900.0,7.5157,14279.83,1993.0,I,80461425.11902285,0.0001774742366155771
