txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-10,2026-09-11 00:00:00,0001437749-26-030130,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,366.18,366.18,3390844.0,D,25458555916.288055,1.438337670070763e-08
2026-09-09,2026-09-10 00:00:00,0001437749-26-030032,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,378.57,378.57,3390843.0,D,25458555916.288055,1.4870050023449908e-08
2026-09-08,2026-09-09 00:00:00,0001437749-26-029936,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,375.1,375.1,3390842.0,D,25458555916.288055,1.4733750069461555e-08
2026-09-04,2026-09-08 00:00:00,0001437749-26-029777,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,360.03,360.03,3390841.0,D,25458555916.288055,1.4141807617990517e-08
2026-09-03,2026-09-04 00:00:00,0001437749-26-029695,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,367.61,367.61,3390840.0,D,25458555916.288055,1.4439546422380065e-08
2026-09-02,2026-09-03 00:00:00,0001437749-26-029565,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,363.2,363.2,3242744.0,D,25458555916.288055,1.4266323714285354e-08
2026-09-01,2026-09-02 00:00:00,0001437749-26-029484,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,369.1,369.1,3242743.0,D,25458555916.288055,1.4498072915591202e-08
2026-08-31,2026-09-01 00:00:00,0001437749-26-029371,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,369.47,369.47,3244021.0,D,25458555916.288055,1.4512606340079874e-08
2026-08-28,2026-08-31 00:00:00,0001437749-26-029258,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,364.42,364.42,3244020.0,D,25458555916.288055,1.4314244735572327e-08
2026-08-27,2026-08-28 00:00:00,0001437749-26-029141,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,365.74,365.74,3244019.0,D,25458555916.288055,1.4366093709423804e-08
2026-08-26,2026-08-27 00:00:00,0001437749-26-029078,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,375.0,375.0,3244018.0,D,25458555916.288055,1.4729822116897048e-08
2026-08-25,2026-08-26 00:00:00,0001437749-26-028960,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,372.58,372.58,3244017.0,D,25458555916.288055,1.4634765664836006e-08
2026-08-24,2026-08-25 00:00:00,0001437749-26-028893,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,377.39,377.39,3244016.0,D,25458555916.288055,1.4823700183188738e-08
2026-08-21,2026-08-24 00:00:00,0001437749-26-028802,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,381.51,381.51,3244015.0,D,25458555916.288055,1.498553182884638e-08
2026-08-20,2026-08-21 00:00:00,0001437749-26-028696,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,377.85,377.85,3244014.0,D,25458555916.288055,1.4841768764985467e-08
2026-08-19,2026-08-20 00:00:00,0001437749-26-028609,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,372.1,372.1,3244013.0,D,25458555916.288055,1.4615911492526378e-08
2026-08-18,2026-08-19 00:00:00,0001437749-26-028485,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,361.16,361.16,3244012.0,D,25458555916.288055,1.4186193481969436e-08
2026-08-17,2026-08-18 00:00:00,0001437749-26-028299,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,357.32,357.32,3244011.0,D,25458555916.288055,1.4035360103492408e-08
2026-08-14,2026-08-17 00:00:00,0001437749-26-028127,TPL,Texas Pacific Land Corp,0001811074,NYSE,6792,Oil Royalty Traders,"Finance, Insurance, Real Estate",HORIZON KINETICS ASSET MANAGEMENT LLC,0001056823,,false,false,true,P,1.0,357.56,357.56,3244010.0,D,25458555916.288055,1.4044787189647224e-08
