txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-18,2026-09-22 00:00:00,0001594983-26-000015,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Labe James,0001594983,Chief Executive Officer,true,true,false,P,313865.22,4.7061,1477081.111842,2312354.22,I,200291840.26590538,0.007374644468197218
2026-01-12,2026-01-13 00:00:00,0001594986-26-000011,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Srivastava Sajal,0001594986,President and CIO,true,true,false,P,23799.0,6.6603,158508.4797,1998489.0,I,200291840.26590538,0.0007913876046551161
2026-01-12,2026-01-13 00:00:00,0001594983-26-000011,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Labe James,0001594983,Chief Executive Officer,true,true,false,P,23799.0,6.6603,158508.4797,1998489.0,I,200291840.26590538,0.0007913876046551161
2026-01-09,2026-01-13 00:00:00,0001594986-26-000011,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Srivastava Sajal,0001594986,President and CIO,true,true,false,P,16000.0,6.5577,104923.2,1974690.0,I,200291840.26590538,0.0005238515950560194
2026-01-09,2026-01-13 00:00:00,0001594983-26-000011,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Labe James,0001594983,Chief Executive Officer,true,true,false,P,16000.0,6.5577,104923.2,1974690.0,I,200291840.26590538,0.0005238515950560194
2026-01-08,2026-01-09 00:00:00,0001594986-26-000009,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Srivastava Sajal,0001594986,President and CIO,true,true,false,P,16833.0,6.6062,111202.1646,1958690.0,I,200291840.26590538,0.0005552006734391633
2026-01-08,2026-01-09 00:00:00,0001594983-26-000009,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Labe James,0001594983,Chief Executive Officer,true,true,false,P,16833.0,6.6062,111202.1646,1958690.0,I,200291840.26590538,0.0005552006734391633
2026-01-07,2026-01-09 00:00:00,0001594983-26-000009,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Labe James,0001594983,Chief Executive Officer,true,true,false,P,30877.0,6.431,198569.987,1941857.0,I,200291840.26590538,0.000991403278018618
2026-01-07,2026-01-09 00:00:00,0001594986-26-000009,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Srivastava Sajal,0001594986,President and CIO,true,true,false,P,30877.0,6.431,198569.987,1941857.0,I,200291840.26590538,0.000991403278018618
2026-01-06,2026-01-07 00:00:00,0001594983-26-000007,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Labe James,0001594983,Chief Executive Officer,true,true,false,P,34000.0,6.6143,224886.2,1910980.0,I,200291840.26590538,0.0011227926195168181
2026-01-06,2026-01-07 00:00:00,0001594986-26-000007,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Srivastava Sajal,0001594986,President and CIO,true,true,false,P,34000.0,6.6143,224886.2,1910980.0,I,200291840.26590538,0.0011227926195168181
2026-01-05,2026-01-07 00:00:00,0001594983-26-000007,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Labe James,0001594983,Chief Executive Officer,true,true,false,P,40000.0,6.6997,267988.0,1876980.0,I,200291840.26590538,0.001337987606705405
2026-01-05,2026-01-07 00:00:00,0001594986-26-000007,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Srivastava Sajal,0001594986,President and CIO,true,true,false,P,40000.0,6.6997,267988.0,1876980.0,I,200291840.26590538,0.001337987606705405
2026-01-02,2026-01-05 00:00:00,0001594983-26-000005,TPVG,TriplePoint Venture Growth BDC Corp.,0001580345,NYSE,,,,Labe James,0001594983,Chief Executive Officer,true,true,false,P,27153.0,6.6043,179326.5579,1836980.0,I,200291840.26590538,0.0008953263281316299
