txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-20,2026-05-21 00:00:00,0001689375-26-000030,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Zeiher Bernhardt G,0001971421,,true,false,false,P,5000.0,5.8632,29316.0,5000.0,I,267494911.57405186,0.0001095946080898975
2025-11-20,2025-11-24 00:00:00,0001193125-25-293698,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,13386.0,9.0688,121394.9568,4678310.0,I,267494911.57405186,0.0004538215552799167
2025-11-20,2025-11-24 00:00:00,0001193125-25-293698,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,13082.0,9.0728,118690.3696,4691392.0,I,267494911.57405186,0.00044371075659561623
2025-11-20,2025-11-24 00:00:00,0001193125-25-293698,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,1213.0,9.0688,11000.454399999999,380152.0,I,267494911.57405186,4.112397628526362e-05
2025-11-20,2025-11-24 00:00:00,0001193125-25-293698,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,1186.0,9.0728,10760.340800000002,381338.0,I,267494911.57405186,4.022633827567657e-05
2025-11-12,2025-11-12 00:00:00,0001193125-25-278038,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,80881.0,7.7315,625331.4515,4653430.0,I,267494911.57405186,0.002337732137857458
2025-11-12,2025-11-12 00:00:00,0001193125-25-278038,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,11494.0,7.9547,91431.3218,4664924.0,I,267494911.57405186,0.0003418058357147054
2025-11-12,2025-11-12 00:00:00,0001193125-25-278038,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,7321.0,7.7315,56602.311499999996,377899.0,I,267494911.57405186,0.00021160145128342194
2025-11-12,2025-11-12 00:00:00,0001193125-25-278038,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,1040.0,7.9547,8272.887999999999,378939.0,I,267494911.57405186,3.0927272415459674e-05
2025-11-11,2025-11-12 00:00:00,0001193125-25-278038,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,30879.0,7.5395,232812.2205,4572549.0,I,267494911.57405186,0.0008703426137343532
2025-11-11,2025-11-12 00:00:00,0001193125-25-278038,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,11701.0,7.3909,86480.9209,4541670.0,I,267494911.57405186,0.000323299312091995
2025-11-11,2025-11-12 00:00:00,0001193125-25-278038,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,2795.0,7.5395,21072.9025,370578.0,I,267494911.57405186,7.877870414804616e-05
2025-11-11,2025-11-12 00:00:00,0001193125-25-278038,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,1059.0,7.3909,7826.9631,367783.0,I,267494911.57405186,2.926023173279401e-05
2025-11-10,2025-11-12 00:00:00,0001193125-25-278038,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,25364.0,7.2139,182973.3596,4527022.0,I,267494911.57405186,0.0006840255708914547
2025-11-10,2025-11-12 00:00:00,0001193125-25-278038,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,2947.0,7.2244,21290.306800000002,4529969.0,I,267494911.57405186,7.959144596328558e-05
2025-11-10,2025-11-12 00:00:00,0001193125-25-278038,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,2296.0,7.2139,16563.1144,366457.0,I,267494911.57405186,6.191936251248935e-05
2025-11-10,2025-11-12 00:00:00,0001193125-25-278038,TRDA,"Entrada Therapeutics, Inc.",0001689375,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,BAKER BROS. ADVISORS LP,0001263508,,false,false,true,P,267.0,7.2244,1928.9148,366724.0,I,267494911.57405186,7.2110336179834564e-06
