txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-07-07,2026-07-09 00:00:00,0001046179-26-000438,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,NYSE,3674,Semiconductors & Related Devices,Manufacturing,Wei Che-Chia,0002113717,Chairman and CEO,true,true,false,P,146.0,76.62,11186.52,17835.0,I,2266281640402.465,4.936067874606003e-09
2026-07-07,2026-07-09 00:00:00,0001046179-26-000431,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,NYSE,3674,Semiconductors & Related Devices,Manufacturing,Chin Yung-Pei,0002117998,EVP and Co-COO,false,true,false,P,69.0,76.62,5286.780000000001,8363.0,I,2266281640402.465,2.3327992010124263e-09
2026-07-07,2026-07-09 00:00:00,0001046179-26-000425,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,NYSE,3674,Semiconductors & Related Devices,Manufacturing,Mii Yuh-Jier,0002113729,EVP and Co-COO,false,true,false,P,68.0,76.62,5210.16,8027.0,I,2266281640402.465,2.298990516939782e-09
2026-07-07,2026-07-09 00:00:00,0001046179-26-000433,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,NYSE,3674,Semiconductors & Related Devices,Manufacturing,Hou Yung-Chin,0002113680,SVP and Deputy Co-COO,false,true,false,P,61.0,76.62,4673.820000000001,7397.0,I,2266281640402.465,2.0623297284312752e-09
2026-07-07,2026-07-09 00:00:00,0001046179-26-000430,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,NYSE,3674,Semiconductors & Related Devices,Manufacturing,Zhang Kevin Xiaoqiang,0002115263,SVP and Deputy Co-COO,false,true,false,P,61.0,76.62,4673.820000000001,7223.0,I,2266281640402.465,2.0623297284312752e-09
2026-07-07,2026-07-09 00:00:00,0001046179-26-000419,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,NYSE,3674,Semiconductors & Related Devices,Manufacturing,Cao Min,0002113031,VP,false,true,false,P,54.0,76.62,4137.4800000000005,6662.0,I,2266281640402.465,1.8256689399227684e-09
2026-07-07,2026-07-09 00:00:00,0001046179-26-000443,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,NYSE,3674,Semiconductors & Related Devices,Manufacturing,Wu Shien-Yang,0002113784,SVP,false,true,false,P,54.0,76.62,4137.4800000000005,6748.0,I,2266281640402.465,1.8256689399227684e-09
2026-07-07,2026-07-09 00:00:00,0001046179-26-000426,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,NYSE,3674,Semiconductors & Related Devices,Manufacturing,Fang Shu-Hua,0002113698,SVP and GC,false,true,false,P,54.0,76.62,4137.4800000000005,6595.0,I,2266281640402.465,1.8256689399227684e-09
2026-07-07,2026-07-09 00:00:00,0001046179-26-000445,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,NYSE,3674,Semiconductors & Related Devices,Manufacturing,Wang Ying-Lang,0002118010,SVP,false,true,false,P,53.0,76.62,4060.86,6390.0,I,2266281640402.465,1.7918602558501244e-09
2026-07-07,2026-07-09 00:00:00,0001046179-26-000424,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,NYSE,3674,Semiconductors & Related Devices,Manufacturing,Yeap Choh Fei,0002113762,SVP,false,true,false,P,53.0,76.62,4060.86,6436.0,I,2266281640402.465,1.7918602558501244e-09
