txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-11-19,2025-11-19 00:00:00,0001437749-25-035717,TWAV,"TaoWeave, Inc.",0000746210,NASDAQ,7370,Services-Computer Services,Services,Holst Peter,0001349467,President and CEO,true,true,false,P,5000.0,1.9,9500.0,15544.0,D,5855889.568269253,0.0016222983526664742
2025-11-14,2025-11-17 00:00:00,0001437749-25-035345,TWAV,"TaoWeave, Inc.",0000746210,NASDAQ,7370,Services-Computer Services,Services,SCHECHTER JONATHAN,0001619259,,true,false,false,P,10000.0,1.91,19100.0,25000.0,D,5855889.568269253,0.003261673530097859
2025-11-14,2025-11-17 00:00:00,0001437749-25-035346,TWAV,"TaoWeave, Inc.",0000746210,NASDAQ,7370,Services-Computer Services,Services,Holst Peter,0001349467,President and CEO,true,true,false,P,10000.0,1.84,18400.0,10544.0,D,5855889.568269253,0.003142135756743487
2025-09-17,2025-09-17 00:00:00,0001437749-25-029280,TWAV,"TaoWeave, Inc.",0000746210,NASDAQ,7370,Services-Computer Services,Services,SCHECHTER JONATHAN,0001619259,,true,false,false,P,5000.0,2.6951,13475.5,15000.0,D,5855889.568269253,0.0023011875211954814
2025-09-16,2025-09-16 00:00:00,0001437749-25-029161,TWAV,"TaoWeave, Inc.",0000746210,NASDAQ,7370,Services-Computer Services,Services,SCHECHTER JONATHAN,0001619259,,true,false,false,P,10000.0,2.7321,27321.0,10000.0,D,5855889.568269253,0.004665559294021131
2025-09-04,2025-09-09 00:00:00,0001437749-25-028653,TWAV,"TaoWeave, Inc.",0000746210,NASDAQ,7370,Services-Computer Services,Services,ADELMAN JASON T,0001247604,,true,false,false,P,3000.0,2.6849,8054.7,4000.0,D,5855889.568269253,0.0013754870043392264
2025-09-04,2025-09-09 00:00:00,0001437749-25-028653,TWAV,"TaoWeave, Inc.",0000746210,NASDAQ,7370,Services-Computer Services,Services,ADELMAN JASON T,0001247604,,true,false,false,P,2000.0,2.75,5500.0,6000.0,D,5855889.568269253,0.0009392253620700641
2025-09-04,2025-09-09 00:00:00,0001437749-25-028653,TWAV,"TaoWeave, Inc.",0000746210,NASDAQ,7370,Services-Computer Services,Services,ADELMAN JASON T,0001247604,,true,false,false,P,2000.0,2.6785,5357.0,8000.0,D,5855889.568269253,0.0009148055026562423
2025-09-04,2025-09-09 00:00:00,0001437749-25-028653,TWAV,"TaoWeave, Inc.",0000746210,NASDAQ,7370,Services-Computer Services,Services,ADELMAN JASON T,0001247604,,true,false,false,P,2000.0,2.55,5100.0,10000.0,D,5855889.568269253,0.000870918063010423
2025-09-04,2025-09-09 00:00:00,0001437749-25-028653,TWAV,"TaoWeave, Inc.",0000746210,NASDAQ,7370,Services-Computer Services,Services,ADELMAN JASON T,0001247604,,true,false,false,P,1000.0,2.62,2620.0,1000.0,D,5855889.568269253,0.0004474128088406487
