txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-13,2026-08-13 00:00:00,0001182684-26-000020,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,125000.0,14.3183,1789787.5,9500000.0,D,782786328.4046688,0.0022864317311821424
2026-08-12,2026-08-13 00:00:00,0001182684-26-000020,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,25000.0,14.4303,360757.5,9375000.0,D,782786328.4046688,0.00046086331213171495
2026-08-11,2026-08-11 00:00:00,0001182684-26-000017,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,100000.0,14.2748,1427480.0,9350000.0,D,782786328.4046688,0.0018235883129298226
2026-08-10,2026-08-11 00:00:00,0001182684-26-000017,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,50000.0,14.1652,708260.0,9250000.0,D,782786328.4046688,0.0009047935232127077
2026-08-07,2026-08-11 00:00:00,0001182684-26-000017,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,100000.0,13.5189,1351890.0,9200000.0,D,782786328.4046688,0.001727023008635286
2026-06-23,2026-06-24 00:00:00,0001193125-26-281322,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,63282.0,12.6435,800105.967,9100000.0,D,782786328.4046688,0.0010221256273479236
2026-06-22,2026-06-24 00:00:00,0001193125-26-281322,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,36718.0,12.5545,460976.13100000005,9036718.0,D,782786328.4046688,0.0005888913925457498
2026-06-03,2026-06-03 00:00:00,0001182684-26-000015,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,369153.0,13.9113,5135398.1289,9000000.0,D,782786328.4046688,0.00656040855921184
2026-06-02,2026-06-03 00:00:00,0001182684-26-000015,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,230847.0,13.4131,3096373.8957,8630847.0,D,782786328.4046688,0.003955579937133624
2026-05-27,2026-05-27 00:00:00,0001182684-26-000013,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,65592.0,13.2036,866050.5312,8400000.0,D,782786328.4046688,0.0011063690048918266
2026-05-26,2026-05-26 00:00:00,0001182684-26-000011,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,34408.0,13.2662,456463.40959999996,8334408.0,D,782786328.4046688,0.0005831264459233463
2026-05-22,2026-05-26 00:00:00,0001182684-26-000011,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,104451.0,13.7735,1438655.8485,8300000.0,D,782786328.4046688,0.0018378653232638898
2026-05-21,2026-05-26 00:00:00,0001182684-26-000011,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,245549.0,13.6967,3363210.9883,8195549.0,D,782786328.4046688,0.004296461072786335
2026-05-20,2026-05-20 00:00:00,0001182684-26-000008,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,90152.0,13.3514,1203655.4128,7950000.0,D,782786328.4046688,0.0015376551290223338
2026-05-18,2026-05-20 00:00:00,0001182684-26-000008,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,58251.0,13.1687,767089.9437,7859848.0,D,782786328.4046688,0.0009799480597257513
2026-05-15,2026-05-15 00:00:00,0001182684-26-000006,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,151597.0,12.9464,1962635.4008000002,7801597.0,D,782786328.4046688,0.0025072428191226627
2026-05-14,2026-05-15 00:00:00,0001182684-26-000006,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,64475.0,13.0153,839161.4675,7650000.0,D,782786328.4046688,0.0010720185535307248
2026-05-13,2026-05-15 00:00:00,0001182684-26-000006,TXO,"TXO Partners, L.P.",0001559432,NYSE,1311,Crude Petroleum & Natural Gas,Mining,SIMPSON BOB R,0001182684,,true,false,true,P,85525.0,12.9808,1110182.92,7585525.0,D,782786328.4046688,0.0014182451579891164
