txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-15,2026-05-19 00:00:00,0001753926-26-000910,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Gregg,0001624919,,true,false,true,P,1587301.0,1.26,1999999.26,34531785.0,I,99170367.5439949,0.020167307125414667
2026-04-15,2026-04-16 00:00:00,0001753926-26-000672,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Gregg,0001624919,,true,false,true,P,1587301.0,1.26,1999999.26,32944484.0,I,99170367.5439949,0.020167307125414667
2026-03-15,2026-03-16 00:00:00,0001753926-26-000475,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Gregg,0001624919,,true,false,true,P,1310680.0,1.03,1350000.4000000001,31092632.0,I,99170367.5439949,0.013612941379904639
2026-03-15,2026-03-16 00:00:00,0001753926-26-000475,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Gregg,0001624919,,true,false,true,P,264551.0,1.26,333334.26,31357183.0,I,99170367.5439949,0.0033612284420759366
2026-02-15,2026-02-17 00:00:00,0001753926-26-000323,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Gregg,0001624919,,true,false,true,P,1601941.0,1.03,1649999.23,29517401.0,I,99170367.5439949,0.016638026770123764
2026-02-15,2026-02-17 00:00:00,0001753926-26-000323,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Gregg,0001624919,,true,false,true,P,264551.0,1.26,333334.26,29781952.0,I,99170367.5439949,0.0033612284420759366
2026-01-27,2026-01-28 00:00:00,0001753926-26-000196,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Gregg,0001624919,,true,false,true,P,1351351.0,1.48,1999999.48,27915460.0,I,99170367.5439949,0.020167309343819273
2026-01-15,2026-01-20 00:00:00,0001753926-26-000145,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Gregg,0001624919,,true,false,true,P,1473214.0,1.12,1649999.6800000002,26299558.0,I,99170367.5439949,0.016638031307769547
2026-01-15,2026-01-20 00:00:00,0001753926-26-000145,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Gregg,0001624919,,true,false,true,P,264551.0,1.26,333334.26,26564109.0,I,99170367.5439949,0.0033612284420759366
2025-12-29,2025-12-31 00:00:00,0001753926-25-002003,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Mendelsohn Aaron,0001625195,,true,false,false,P,20000.0,1.23,24600.0,188170.0,D,99170367.5439949,0.0002480579694240491
2025-12-15,2025-12-16 00:00:00,0001753926-25-001892,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Gregg,0001624919,,true,false,true,P,1473214.0,1.12,1649999.6800000002,24561793.0,I,99170367.5439949,0.016638031307769547
2025-12-15,2025-12-16 00:00:00,0001753926-25-001892,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Gregg,0001624919,,true,false,true,P,264551.0,1.26,333334.26,24826344.0,I,99170367.5439949,0.0033612284420759366
2025-11-15,2025-11-17 00:00:00,0001753926-25-001808,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Gregg,0001624919,,true,false,true,P,1473214.0,1.12,1649999.6800000002,22824029.0,I,99170367.5439949,0.016638031307769547
2025-11-15,2025-11-17 00:00:00,0001753926-25-001808,VANI,"Vivani Medical, Inc.",0001266806,NASDAQ,3845,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Williams Gregg,0001624919,,true,false,true,P,264550.0,1.26,333333.0,23088579.0,I,99170367.5439949,0.0033612157366677466
