txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-17,2026-09-21 00:00:00,0001493152-26-043617,VENU,Venu Holding Corp,0001770501,AMEX,7900,Services-Amusement & Recreation Services,Services,Cominsky Stephen Joseph,0001561819,,true,false,false,P,3234.0,1.7,5497.8,86116.0,D,82629513.0481968,6.653554882736874e-05
2026-09-11,2026-09-15 00:00:00,0001493152-26-042743,VENU,Venu Holding Corp,0001770501,AMEX,7900,Services-Amusement & Recreation Services,Services,ROTH JAY W,0001005645,CEO & Chairman,true,true,true,P,200000.0,1.75,350000.0,262500.0,I,82629513.0481968,0.004235774689799385
2026-09-11,2026-09-15 00:00:00,0001493152-26-042742,VENU,Venu Holding Corp,0001770501,AMEX,7900,Services-Amusement & Recreation Services,Services,Finke Thomas M,0001363651,,true,false,false,P,200000.0,1.75,350000.0,329605.0,D,82629513.0481968,0.004235774689799385
2026-09-04,2026-09-09 00:00:00,0001493152-26-041957,VENU,Venu Holding Corp,0001770501,AMEX,7900,Services-Amusement & Recreation Services,Services,ROTH JAY W,0001005645,CEO & Chairman,true,true,false,P,49.0,1.8811,92.1739,9276413.0,D,82629513.0481968,1.1155082076574273e-06
2026-09-02,2026-09-03 00:00:00,0001493152-26-041361,VENU,Venu Holding Corp,0001770501,AMEX,7900,Services-Amusement & Recreation Services,Services,ROTH JAY W,0001005645,CEO & Chairman,true,true,true,P,1400.0,1.8295,2561.2999999999997,9276364.0,D,82629513.0481968,3.09973991799519e-05
2026-08-31,2026-09-02 00:00:00,0001493152-26-041271,VENU,Venu Holding Corp,0001770501,AMEX,7900,Services-Amusement & Recreation Services,Services,ROTH JAY W,0001005645,CEO & Chairman,true,true,true,P,2100.0,1.9048,4000.08,9274964.0,D,82629513.0481968,4.840982177477921e-05
2026-08-27,2026-08-31 00:00:00,0001493152-26-040817,VENU,Venu Holding Corp,0001770501,AMEX,7900,Services-Amusement & Recreation Services,Services,ROTH JAY W,0001005645,CEO & Chairman,true,true,true,P,1000.0,2.0168,2016.8,9272864.0,D,82629513.0481968,2.4407743983964e-05
2026-08-25,2026-08-27 00:00:00,0001493152-26-040391,VENU,Venu Holding Corp,0001770501,AMEX,7900,Services-Amusement & Recreation Services,Services,Finke Thomas M,0001363651,,true,false,false,P,54644.0,1.949,106501.156,129605.0,D,82629513.0481968,0.0012888997171976455
2026-08-25,2026-08-26 00:00:00,0001493152-26-040234,VENU,Venu Holding Corp,0001770501,AMEX,7900,Services-Amusement & Recreation Services,Services,ROTH JAY W,0001005645,CEO & Chairman,true,true,true,P,1000.0,1.8978,1897.8,9271864.0,D,82629513.0481968,2.296758058943221e-05
2026-08-21,2026-08-25 00:00:00,0001493152-26-040045,VENU,Venu Holding Corp,0001770501,AMEX,7900,Services-Amusement & Recreation Services,Services,Finke Thomas M,0001363651,,true,false,false,P,30000.0,1.92,57600.0,74961.0,D,82629513.0481968,0.0006970874918069844
