txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-05-30,2025-06-03 00:00:00,0000950170-25-081325,VFF,"Village Farms International, Inc.",0001584549,NASDAQ,0100,Agricultural Production - Crops,"Agriculture, Forestry, Fishing",DEGIGLIO MICHAEL A,0001040739,Chief Executive Officer,true,true,false,P,25000.0,1.206,30150.0,9783127.0,D,325528060.56186676,9.261874367438741e-05
2025-05-30,2025-06-02 00:00:00,0000950170-25-080010,VFF,"Village Farms International, Inc.",0001584549,NASDAQ,0100,Agricultural Production - Crops,"Agriculture, Forestry, Fishing",DEGIGLIO MICHAEL A,0001040739,Chief Financial Officer,true,true,false,P,25000.0,1.206,30150.0,9783127.0,D,325528060.56186676,9.261874367438741e-05
2025-05-30,2025-06-02 00:00:00,0000950170-25-080008,VFF,"Village Farms International, Inc.",0001584549,NASDAQ,0100,Agricultural Production - Crops,"Agriculture, Forestry, Fishing",Ruffini Stephen C,0001408854,Chief Financial Officer,true,true,false,P,25000.0,1.206,30150.0,9783127.0,D,325528060.56186676,9.261874367438741e-05
2025-05-29,2025-05-30 00:00:00,0000950170-25-079299,VFF,"Village Farms International, Inc.",0001584549,NASDAQ,0100,Agricultural Production - Crops,"Agriculture, Forestry, Fishing",DEGIGLIO MICHAEL A,0001040739,Chief Executive Officer,true,true,false,P,100000.0,1.205,120500.0,9758127.0,D,325528060.56186676,0.0003701677815178668
2025-05-28,2025-05-29 00:00:00,0000950170-25-078554,VFF,"Village Farms International, Inc.",0001584549,NASDAQ,0100,Agricultural Production - Crops,"Agriculture, Forestry, Fishing",DEGIGLIO MICHAEL A,0001040739,Chief Executive Officer,true,true,false,P,25000.0,1.21,30250.0,9658127.0,D,325528060.56186676,9.29259368540703e-05
2025-05-23,2025-05-28 00:00:00,0000950170-25-078062,VFF,"Village Farms International, Inc.",0001584549,NASDAQ,0100,Agricultural Production - Crops,"Agriculture, Forestry, Fishing",DEGIGLIO MICHAEL A,0001040739,Chief Executive Officer,true,true,false,P,20000.0,1.248,24960.0,9633127.0,D,325528060.56186676,7.66754176488461e-05
2025-05-21,2025-05-23 00:00:00,0000950170-25-076607,VFF,"Village Farms International, Inc.",0001584549,NASDAQ,0100,Agricultural Production - Crops,"Agriculture, Forestry, Fishing",DEGIGLIO MICHAEL A,0001040739,Chief Executive Officer,true,true,false,P,10000.0,1.12,11200.000000000002,9613127.0,D,325528060.56186676,3.440563612448223e-05
2025-05-20,2025-05-21 00:00:00,0000950170-25-075961,VFF,"Village Farms International, Inc.",0001584549,NASDAQ,0100,Agricultural Production - Crops,"Agriculture, Forestry, Fishing",DEGIGLIO MICHAEL A,0001040739,Chief Executive Officer,true,true,false,P,30000.0,1.1377,34131.0,9603127.0,D,325528060.56186676,0.00010484810415756275
2025-05-19,2025-05-20 00:00:00,0000950170-25-075419,VFF,"Village Farms International, Inc.",0001584549,NASDAQ,0100,Agricultural Production - Crops,"Agriculture, Forestry, Fishing",DEGIGLIO MICHAEL A,0001040739,Chief Executive Officer,true,true,false,P,5000.0,1.035,5175.0,9573127.0,D,325528060.56186676,1.5897247048588886e-05
2025-05-16,2025-05-20 00:00:00,0000950170-25-075419,VFF,"Village Farms International, Inc.",0001584549,NASDAQ,0100,Agricultural Production - Crops,"Agriculture, Forestry, Fishing",DEGIGLIO MICHAEL A,0001040739,Chief Executive Officer,true,true,false,P,10000.0,1.0381,10381.0,9568127.0,D,325528060.56186676,3.188972398287946e-05
