txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-11,2026-06-15 00:00:00,0001628280-26-043086,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,VIRTUE ROBERT A,0001238433,CEO,true,true,false,P,2500.0,6.16,15400.0,504324.0,D,99096120.89999999,0.0001554046703355873
2026-06-11,2026-06-15 00:00:00,0001628280-26-043086,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,VIRTUE ROBERT A,0001238433,CEO,true,true,false,P,1800.0,6.31,11358.0,506124.0,D,99096120.89999999,0.00011461598997867536
2026-06-09,2026-06-11 00:00:00,0001628280-26-042482,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,VIRTUE DOUGLAS A,0001238435,Executive Vice President,true,true,false,P,1314.0,5.9997,7883.605799999999,879180.0,D,99096120.89999999,7.955514028602102e-05
2026-04-15,2026-04-15 00:00:00,0001628280-26-025307,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,VIRTUE DOUGLAS A,0001238435,Executive Vice President,true,true,false,P,11678.0,6.09,71119.02,877866.0,D,99096120.89999999,0.0007176771336162364
2026-04-15,2026-04-15 00:00:00,0001628280-26-025222,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,Lind Robert R,0001607757,,true,false,false,P,500.0,6.07,3035.0,119890.0,D,99096120.89999999,3.062682951094204e-05
2026-04-14,2026-04-15 00:00:00,0001628280-26-025307,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,VIRTUE DOUGLAS A,0001238435,Executive Vice President,true,true,false,P,4349.0,6.07,26398.43,866188.0,D,99096120.89999999,0.00026639216308617386
2026-04-14,2026-04-14 00:00:00,0001628280-26-025054,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,VIRTUE ROBERT A,0001238433,CEO,true,true,false,P,2000.0,6.22,12440.0,501824.0,D,99096120.89999999,0.0001255346817516043
2026-04-14,2026-04-14 00:00:00,0001628280-26-025054,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,VIRTUE ROBERT A,0001238433,CEO,true,true,false,P,700.0,6.22,4354.0,499824.0,D,99096120.89999999,4.3937138613061495e-05
2026-04-13,2026-04-13 00:00:00,0001628280-26-024907,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,RICHARDSON BRADLEY C,0001232523,,true,false,false,P,400.0,5.63,2252.0,39754.0,D,99096120.89999999,2.2725410233489777e-05
2026-04-10,2026-04-13 00:00:00,0001628280-26-024904,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,VIRTUE ROBERT A,0001238433,CEO,true,true,false,P,3300.0,5.52,18216.0,499124.0,D,99096120.89999999,0.00018382152433980896
2026-04-10,2026-04-13 00:00:00,0001628280-26-024907,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,RICHARDSON BRADLEY C,0001232523,,true,false,false,P,1600.0,5.59,8944.0,39354.0,D,99096120.89999999,9.025580334295407e-05
2026-01-13,2026-01-13 00:00:00,0001628280-26-001992,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,VIRTUE ROBERT A,0001238433,CEO,true,true,false,P,2500.0,6.32,15800.0,495824.0,D,99096120.89999999,0.00015944115527936878
2026-01-07,2026-01-07 00:00:00,0001628280-26-001178,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,RICHARDSON BRADLEY C,0001232523,,true,false,false,P,2000.0,6.5046,13009.2,37754.0,D,99096120.89999999,0.00013127859982660535
2025-10-17,2025-10-17 00:00:00,0001238435-25-000006,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,VIRTUE DOUGLAS A,0001238435,Executive Vice President,true,true,false,P,13022.0,7.34,95581.48,861839.0,D,99096120.89999999,0.0009645330123108785
2025-10-16,2025-10-16 00:00:00,0001238433-25-000006,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,VIRTUE ROBERT A,0001238433,CEO,true,true,false,P,5000.0,6.96,34800.0,493324.0,D,99096120.89999999,0.0003511741901089895
2025-07-14,2025-07-15 00:00:00,0001628280-25-034959,VIRC,VIRCO MFG CORPORATION,0000751365,NASDAQ,2531,Public Building & Related Furniture,Manufacturing,VIRTUE ROBERT A,0001238433,CEO,true,true,false,P,2000.0,8.15,16300.0,488324.0,D,99096120.89999999,0.00016448676145909563
