txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-19,2026-05-21 00:00:00,0001193125-26-234749,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Van Hoven Reena Chauhan,0002036877,Chief People Officer,false,true,false,P,2242.0,8.92,19998.64,25827.0,D,458478457.79999995,4.361958486765788e-05
2026-05-18,2026-05-20 00:00:00,0001193125-26-232767,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Flanagan Glenda J,0001201245,,true,false,false,P,6100.0,8.33,50813.0,37498.0,D,458478457.79999995,0.00011082963470917521
2026-05-18,2026-05-21 00:00:00,0001193125-26-234748,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Flanagan Glenda J,0001201245,,true,false,false,P,6100.0,8.33,50813.0,37498.0,D,458478457.79999995,0.00011082963470917521
2026-05-15,2026-05-19 00:00:00,0001193125-26-231005,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Coon Stephanie,0001908982,Chief Strategy Officer,false,true,false,P,5895.0,8.42,49635.9,62314.0,D,458478457.79999995,0.00010826222945823215
2026-05-15,2026-05-19 00:00:00,0001193125-26-231003,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Amoo-Gottfried Kofi Owusu,0001838060,,true,false,false,P,2375.0,8.45,20068.75,31061.0,D,458478457.79999995,4.3772503720893475e-05
2026-05-14,2026-05-18 00:00:00,0001193125-26-229078,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Holland Joseph Michael,0002035547,Chief Supply Chain Officer,false,true,false,P,12484.0,8.0,99872.0,38150.0,D,458478457.79999995,0.0002178335716780105
2026-05-14,2026-05-21 00:00:00,0001193125-26-234745,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Holland Joseph Michael,0002035547,Chief Supply Chain Officer,false,true,false,P,12484.0,8.0,99872.0,38150.0,D,458478457.79999995,0.0002178335716780105
2026-05-14,2026-05-18 00:00:00,0001193125-26-229082,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Cyr William B.,0001680803,,true,false,false,P,6000.0,8.52,51120.0,13794.0,D,458478457.79999995,0.00011149924087011271
2026-05-14,2026-05-21 00:00:00,0001193125-26-234746,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Cyr William B.,0001680803,,true,false,false,P,6000.0,8.52,51120.0,13794.0,D,458478457.79999995,0.00011149924087011271
2026-05-14,2026-05-18 00:00:00,0001193125-26-229079,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Pappas Peter Nicholas,0001829971,"CSO and President, Eggs",false,true,false,P,3500.0,8.51,29785.0,85169.0,D,458478457.79999995,6.496488437629709e-05
2026-05-14,2026-05-18 00:00:00,0001193125-26-229081,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Kennedy Kelly J.,0001545591,,true,false,false,P,2500.0,8.4,21000.0,22927.0,D,458478457.79999995,4.5803678761196536e-05
2026-05-14,2026-05-21 00:00:00,0001193125-26-234747,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Kennedy Kelly J.,0001545591,,true,false,false,P,2500.0,8.4,21000.0,22927.0,D,458478457.79999995,4.5803678761196536e-05
2026-05-14,2026-05-18 00:00:00,0001193125-26-229080,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,McKeon Kathryn,0001908254,"CMO and GM, Butter",false,true,false,P,604.0,8.28,5001.12,50275.0,D,458478457.79999995,1.0908080663152154e-05
2026-05-13,2026-05-19 00:00:00,0001193125-26-231007,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Ruiz Gisel,0001818779,,true,false,false,P,6151.0,8.13,50007.630000000005,46549.0,D,458478457.79999995,0.00010907302000613214
2026-05-13,2026-05-15 00:00:00,0001193125-26-227110,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Post Denny Marie,0001361353,,true,false,false,P,3000.0,8.23,24690.0,19312.0,D,458478457.79999995,5.3852039457806785e-05
2026-03-09,2026-03-11 00:00:00,0001193125-26-102362,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Khoury Karl,0001818961,,true,false,false,P,5000.0,18.45,92250.0,119789.0,D,458478457.79999995,0.0002012090174152562
2026-03-02,2026-03-04 00:00:00,0001193125-26-091909,VITL,"Vital Farms, Inc.",0001579733,NASDAQ,2000,Food & Kindred Products,Manufacturing,Cyr William B.,0001680803,,true,false,false,P,4750.0,20.7,98325.0,7794.0,D,458478457.79999995,0.00021445936734260234
