txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-12-19,2025-12-22 00:00:00,0001213900-25-124573,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Pertz Douglas A,0001065425,,true,false,false,P,15000.0,6.897,103455.0,322010.353,D,1291780097.9865475,8.008716047046373e-05
2025-12-18,2025-12-22 00:00:00,0001213900-25-124573,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Pertz Douglas A,0001065425,,true,false,false,P,10000.0,6.899,68990.0,307010.353,D,1291780097.9865475,5.340692282497021e-05
2025-12-17,2025-12-17 00:00:00,0001193125-25-323149,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Meister Keith A.,0001307631,,true,false,true,P,209842.0,6.79,1424827.18,19813963.0,I,1291780097.9865475,0.0011029951477196686
2025-12-16,2025-12-17 00:00:00,0001193125-25-323149,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Meister Keith A.,0001307631,,true,false,true,P,800222.0,6.81,5449511.819999999,19604121.0,I,1291780097.9865475,0.004218606424184707
2025-12-08,2025-12-09 00:00:00,0001213900-25-119738,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Goetz William,0001796285,,true,false,false,P,6746.0,7.4239,50081.6294,29876.994,D,1291780097.9865475,3.87694697248088e-05
2025-12-04,2025-12-05 00:00:00,0001213900-25-118813,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Barber James J.,0001571166,President & CEO,true,true,false,P,82367.0,6.3623,524043.5641,642469.0,D,1291780097.9865475,0.00040567552086985114
2025-12-03,2025-12-05 00:00:00,0001213900-25-118813,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Barber James J.,0001571166,President & CEO,true,true,false,P,81633.0,6.3445,517920.5685,560102.0,D,1291780097.9865475,0.00040093555343302217
2025-05-28,2025-05-28 00:00:00,0000950170-25-078495,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Meister Keith A.,0001307631,,true,false,true,P,314390.0,6.03,1895771.7000000002,18803899.0,I,1291780097.9865475,0.0014675653410010522
2025-05-27,2025-05-28 00:00:00,0000950170-25-078495,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Meister Keith A.,0001307631,,true,false,true,P,109008.0,6.05,659498.4,18489509.0,I,1291780097.9865475,0.0005105345724306615
2025-05-23,2025-05-28 00:00:00,0000950170-25-078495,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Meister Keith A.,0001307631,,true,false,true,P,377277.0,5.89,2222161.53,18380501.0,I,1291780097.9865475,0.0017202320530124325
2025-05-09,2025-05-12 00:00:00,0000950170-25-069598,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Meister Keith A.,0001307631,,true,false,true,P,138048.0,6.32,872463.36,18003224.0,I,1291780097.9865475,0.0006753961927110335
2025-05-09,2025-05-12 00:00:00,0001213900-25-042092,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Goetz William,0001796285,,true,false,false,P,7500.0,6.6099,49574.25,23130.994,D,1291780097.9865475,3.8376694359411216e-05
2025-05-08,2025-05-12 00:00:00,0000950170-25-069598,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Meister Keith A.,0001307631,,true,false,true,P,857299.0,6.11,5238096.890000001,17865176.0,I,1291780097.9865475,0.004054944721756001
2025-05-08,2025-05-09 00:00:00,0001213900-25-041588,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Pertz Douglas A,0001065425,,true,false,false,P,70000.0,6.17,431900.0,297010.353,D,1291780097.9865475,0.00033434483212211387
2025-05-08,2025-05-09 00:00:00,0001213900-25-041583,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Burke Richard L. Jr.,0001657563,,true,false,false,P,18382.0,5.7292,105314.1544,48112.353,D,1291780097.9865475,8.152637942336277e-05
2025-05-08,2025-05-12 00:00:00,0001213900-25-042090,VSTS,Vestis Corp,0001967649,NYSE,5190,Wholesale-Misc Nondurable Goods,Wholesale Trade,Seward William J.,0001766899,EVP & Chief Operating Officer,false,true,false,P,10000.0,6.2299,62299.0,130861.594,D,1291780097.9865475,4.822724866028148e-05
