txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-01,2026-06-02 00:00:00,0001176401-26-000004,WEST,Westrock Coffee Co,0001806347,NASDAQ,2080,Beverages,Manufacturing,FORD JOE T,0001176401,,true,false,false,P,3000.0,8.04,24119.999999999996,544916.0,D,770707909.1038523,3.129590304587084e-05
2026-05-14,2026-05-15 00:00:00,0001176401-26-000003,WEST,Westrock Coffee Co,0001806347,NASDAQ,2080,Beverages,Manufacturing,FORD JOE T,0001176401,,true,false,false,P,15000.0,8.5,127500.0,273000.0,I,770707909.1038523,0.00016543232331461577
2026-05-13,2026-05-15 00:00:00,0001176401-26-000003,WEST,Westrock Coffee Co,0001806347,NASDAQ,2080,Beverages,Manufacturing,FORD JOE T,0001176401,,true,false,false,P,8000.0,8.43,67440.0,541916.0,D,770707909.1038523,8.75039677202956e-05
2026-05-13,2026-05-15 00:00:00,0001176401-26-000003,WEST,Westrock Coffee Co,0001806347,NASDAQ,2080,Beverages,Manufacturing,FORD JOE T,0001176401,,true,false,false,P,5000.0,8.43,42150.0,258000.0,I,770707909.1038523,5.4689979825184744e-05
2026-05-13,2026-05-15 00:00:00,0001176401-26-000003,WEST,Westrock Coffee Co,0001806347,NASDAQ,2080,Beverages,Manufacturing,FORD JOE T,0001176401,,true,false,false,P,3500.0,8.44,29540.0,41800.0,I,770707909.1038523,3.8328398672264705e-05
2026-03-17,2026-03-17 00:00:00,0001176401-26-000002,WEST,Westrock Coffee Co,0001806347,NASDAQ,2080,Beverages,Manufacturing,FORD JOE T,0001176401,,true,false,false,P,55000.0,4.6,252999.99999999997,533916.0,D,770707909.1038523,0.0003282696297929238
2026-03-13,2026-03-16 00:00:00,0001176401-26-000001,WEST,Westrock Coffee Co,0001806347,NASDAQ,2080,Beverages,Manufacturing,FORD JOE T,0001176401,,true,false,false,P,45000.0,3.92,176400.0,478916.0,D,770707909.1038523,0.00022888048496233902
2025-12-10,2025-12-11 00:00:00,0001187377-25-000006,WEST,Westrock Coffee Co,0001806347,NASDAQ,2080,Beverages,Manufacturing,FORD SCOTT T,0001187377,CHIEF EXECUTIVE OFFICER,true,true,true,P,100000.0,4.14,413999.99999999994,506401.0,D,770707909.1038523,0.0005371684851156935
2025-11-24,2025-11-24 00:00:00,0001176401-25-000002,WEST,Westrock Coffee Co,0001806347,NASDAQ,2080,Beverages,Manufacturing,FORD JOE T,0001176401,,true,false,false,P,20000.0,4.12,82400.0,433916.0,D,770707909.1038523,0.00010691469365587718
2025-11-20,2025-11-21 00:00:00,0001187377-25-000005,WEST,Westrock Coffee Co,0001806347,NASDAQ,2080,Beverages,Manufacturing,FORD SCOTT T,0001187377,CHIEF EXECUTIVE OFFICER,true,true,true,P,50000.0,4.35,217499.99999999997,406401.0,D,770707909.1038523,0.00028220808094846217
