txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-05,2026-06-05 00:00:00,0001104659-26-071091,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.77,24168.899999999998,309607.0,I,143715758.86102295,0.00016817153659100102
2026-06-05,2026-06-05 00:00:00,0001104659-26-071091,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.76,24133.2,306200.0,I,143715758.86102295,0.00016792312959455937
2026-06-04,2026-06-05 00:00:00,0001104659-26-071091,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.88,24561.6,302630.0,I,143715758.86102295,0.00017090401355185922
2026-06-04,2026-06-05 00:00:00,0001104659-26-071091,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.87,24525.9,306037.0,I,143715758.86102295,0.0001706556065554176
2026-06-02,2026-06-03 00:00:00,0001104659-26-070273,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.81,24311.699999999997,302467.0,I,143715758.86102295,0.00016916516457676762
2026-06-02,2026-06-03 00:00:00,0001104659-26-070273,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.81,24311.699999999997,299060.0,I,143715758.86102295,0.00016916516457676762
2026-06-01,2026-06-03 00:00:00,0001104659-26-070273,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.88,24561.6,298897.0,I,143715758.86102295,0.00017090401355185922
2026-06-01,2026-06-03 00:00:00,0001104659-26-070273,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.88,24561.6,295490.0,I,143715758.86102295,0.00017090401355185922
2026-05-29,2026-05-29 00:00:00,0001104659-26-068416,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.76,24133.2,291920.0,I,143715758.86102295,0.00016792312959455937
2026-05-29,2026-05-29 00:00:00,0001104659-26-068416,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.76,24133.2,295327.0,I,143715758.86102295,0.00016792312959455937
2026-05-29,2026-06-02 00:00:00,0001104659-26-069629,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,Volpe John Paul,0002019005,,true,false,false,P,1000.0,6.74,6740.0,2000.0,D,143715758.86102295,4.6898127619517104e-05
2026-05-28,2026-05-29 00:00:00,0001104659-26-068416,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.81,24311.699999999997,291757.0,I,143715758.86102295,0.00016916516457676762
2026-05-28,2026-05-29 00:00:00,0001104659-26-068416,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.81,24311.699999999997,288350.0,I,143715758.86102295,0.00016916516457676762
2026-05-27,2026-05-29 00:00:00,0001104659-26-068416,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.91,24668.7,288187.0,I,143715758.86102295,0.0001716492345411842
2026-05-27,2026-05-29 00:00:00,0001104659-26-068416,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,3570.0,6.9,24633.0,284780.0,I,143715758.86102295,0.00017140082754474255
2026-05-22,2026-05-26 00:00:00,0001104659-26-066477,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,Aronson Stuart D,0001675841,Chief Executive Officer,true,true,false,P,7000.0,6.38,44660.0,112000.0,D,143715758.86102295,0.00031075228182309104
2026-05-22,2026-05-26 00:00:00,0001104659-26-066477,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,Aronson Stuart D,0001675841,Chief Executive Officer,true,true,false,P,5000.0,6.4,32000.0,105000.0,D,143715758.86102295,0.0002226617335051257
2026-05-21,2026-05-26 00:00:00,0001104659-26-066477,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,Aronson Stuart D,0001675841,Chief Executive Officer,true,true,false,P,20000.0,6.67,133400.0,100000.0,D,143715758.86102295,0.0009282211015494928
2026-05-21,2026-05-26 00:00:00,0001104659-26-066480,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,Thomas Joyson,0001784137,Chief Financial Officer,false,true,false,P,3000.0,6.62,19860.0,25000.835,D,143715758.86102295,0.00013818943835661865
2026-03-23,2026-03-24 00:00:00,0001104659-26-034016,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,Aronson Stuart D,0001675841,Chief Executive Officer,true,true,false,P,8000.0,6.95,55600.0,80000.0,D,143715758.86102295,0.0003868747619651559
2026-03-20,2026-03-24 00:00:00,0001104659-26-034016,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,Aronson Stuart D,0001675841,Chief Executive Officer,true,true,false,P,5000.0,7.1,35500.0,72000.0,D,143715758.86102295,0.0002470153606072488
2026-03-16,2026-03-16 00:00:00,0001104659-26-028759,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,4195.0,7.13,29910.35,281210.0,I,143715758.86102295,0.00020812157439828238
2026-03-16,2026-03-16 00:00:00,0001104659-26-028759,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,4195.0,7.12,29868.4,284617.0,I,143715758.86102295,0.00020782967878201552
2026-03-13,2026-03-16 00:00:00,0001104659-26-028759,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,4195.0,7.14,29952.3,277015.0,I,143715758.86102295,0.00020841347001454927
2026-03-13,2026-03-16 00:00:00,0001104659-26-028759,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,4195.0,7.14,29952.3,280422.0,I,143715758.86102295,0.00020841347001454927
2026-03-13,2026-03-17 00:00:00,0001104659-26-029728,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,Volpe John Paul,0002019005,,true,false,false,P,1000.0,7.18,7180.0,1000.0,D,143715758.86102295,4.995972645521258e-05
2026-03-12,2026-03-16 00:00:00,0001104659-26-028759,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,4195.0,7.14,29952.3,276227.0,I,143715758.86102295,0.00020841347001454927
2026-03-12,2026-03-16 00:00:00,0001104659-26-028759,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,4195.0,7.14,29952.3,272820.0,I,143715758.86102295,0.00020841347001454927
2026-03-06,2026-03-09 00:00:00,0001104659-26-025388,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,4138.0,7.25,30000.5,268625.0,I,143715758.86102295,0.00020874885425064136
2026-03-06,2026-03-09 00:00:00,0001104659-26-025388,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,4138.0,7.25,30000.5,272032.0,I,143715758.86102295,0.00020874885425064136
2026-03-05,2026-03-09 00:00:00,0001104659-26-025388,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,4196.0,7.12,29875.52,264487.0,I,143715758.86102295,0.0002078792210177204
2026-03-05,2026-03-09 00:00:00,0001104659-26-025388,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,4196.0,7.11,29833.56,267894.0,I,143715758.86102295,0.00020758725581966183
2025-12-24,2025-12-29 00:00:00,0001104659-25-124969,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,4613.0,6.99,32244.870000000003,263698.0,I,143715758.86102295,0.000224365582838982
2025-12-24,2025-12-29 00:00:00,0001104659-25-124970,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,Thomas Joyson,0001784137,Chief Financial Officer,false,true,false,P,4502.0,7.01,31559.02,22000.835,D,143715758.86102295,0.00021959331565384163
2025-12-24,2025-12-29 00:00:00,0001104659-25-124969,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,4361.0,6.99,30483.39,260291.0,I,143715758.86102295,0.00021210888939102542
2025-12-23,2025-12-29 00:00:00,0001104659-25-124969,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,7100.0,7.0,49700.0,255930.0,I,143715758.86102295,0.00034582150485014835
2025-12-23,2025-12-29 00:00:00,0001104659-25-124969,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,BOLDUC JOHN,0001050047,,true,false,false,P,7100.0,6.99,49629.0,259085.0,I,143715758.86102295,0.00034532747412893385
2025-12-23,2025-12-23 00:00:00,0001104659-25-124355,WHF,"WhiteHorse Finance, Inc.",0001552198,NASDAQ,,,,Aronson Stuart D,0001675841,Chief Executive Officer,true,true,false,P,7000.0,6.8,47600.0,67000.0,D,143715758.86102295,0.0003312093285888745
