txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-08,2026-05-08 00:00:00,0000203596-26-000079,WSBC,WESBANCO INC,0000203596,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Love Scott A,0001963082,EVP - Wealth Management,false,true,false,P,400.0,34.08,13632.0,26802.633,D,3189347354.924011,4.274228700412218e-06
2026-04-27,2026-04-30 00:00:00,0000203596-26-000076,WSBC,WESBANCO INC,0000203596,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Robinson Joseph R,0001511394,,true,false,false,P,800.0,34.51,27608.0,19067.718,D,3189347354.924011,8.65631645840526e-06
2026-04-27,2026-04-28 00:00:00,0000203596-26-000075,WSBC,WESBANCO INC,0000203596,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Robinson Joseph R,0001511394,,true,false,false,P,800.0,34.51,27608.0,19067.718,D,3189347354.924011,8.65631645840526e-06
2026-04-27,2026-04-28 00:00:00,0000203596-26-000075,WSBC,WESBANCO INC,0000203596,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Robinson Joseph R,0001511394,,true,false,false,P,200.0,34.68,6936.0,18267.718,D,3189347354.924011,2.1747396028505824e-06
2026-04-27,2026-04-30 00:00:00,0000203596-26-000076,WSBC,WESBANCO INC,0000203596,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Robinson Joseph R,0001511394,,true,false,false,P,200.0,34.52,6904.000000000001,18267.718,D,3189347354.924011,2.16470620214539e-06
2026-04-23,2026-04-24 00:00:00,0000203596-26-000074,WSBC,WESBANCO INC,0000203596,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Altman Louis Michael,0001484880,,true,false,false,P,3000.0,33.72,101160.0,33164.287,D,3189347354.924011,3.171808797929137e-05
2026-04-23,2026-04-24 00:00:00,0000203596-26-000073,WSBC,WESBANCO INC,0000203596,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Burdman Lee J.,0001519346,,true,false,false,P,3000.0,33.6,100800.0,46771.543,D,3189347354.924011,3.1605212221357946e-05
2026-03-18,2026-03-18 00:00:00,0000203596-26-000054,WSBC,WESBANCO INC,0000203596,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",STEMLER KERRY M,0001186113,,true,false,false,P,475.0,32.765,15563.375,110090.643,D,3189347354.924011,4.879799303130722e-06
2026-03-18,2026-03-18 00:00:00,0000203596-26-000054,WSBC,WESBANCO INC,0000203596,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",STEMLER KERRY M,0001186113,,true,false,false,P,450.0,32.7692,14746.14,17106.0,I,3189347354.924011,4.6235603585898336e-06
2026-03-18,2026-03-18 00:00:00,0000203596-26-000054,WSBC,WESBANCO INC,0000203596,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",STEMLER KERRY M,0001186113,,true,false,false,P,10.0,32.73,327.29999999999995,110100.643,D,3189347354.924011,1.0262287658780213e-07
2026-03-18,2026-03-18 00:00:00,0000203596-26-000054,WSBC,WESBANCO INC,0000203596,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",STEMLER KERRY M,0001186113,,true,false,false,P,5.0,32.77,163.85000000000002,17111.0,I,3189347354.924011,5.137414704830854e-08
2025-10-30,2025-10-31 00:00:00,0000203596-25-000033,WSBC,WESBANCO INC,0000203596,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Afzal Zahid,0001356209,,true,false,false,P,3319.156,30.11,99939.78715999999,13221.156,D,3189347354.924011,3.1335497842749444e-05
