txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-05,2026-05-06 00:00:00,0001437749-26-015135,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Snow John Ingalls III,0002066224,,true,false,false,P,6110.0,12.87,78635.7,18610.0,D,113353395.53174782,0.000693721609583154
2026-05-01,2026-05-05 00:00:00,0001437749-26-014760,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Boodakian Stephen Harry,0002067149,,true,false,false,P,2500.0,12.9299,32324.75,2500.0,I,113353395.53174782,0.00028516790210264623
2025-06-10,2025-06-10 00:00:00,0001437749-25-019968,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,1050.0,9.21,9670.5,51050.0,D,113353395.53174782,8.531283914906196e-05
2025-05-14,2025-05-15 00:00:00,0001437749-25-017190,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,3900.0,9.5818,37369.02,48900.0,D,113353395.53174782,0.0003296682893767726
2025-05-14,2025-05-15 00:00:00,0001437749-25-017190,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,800.0,9.6,7680.0,50000.0,D,113353395.53174782,6.775271233801725e-05
2025-05-14,2025-05-15 00:00:00,0001437749-25-017190,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,300.0,9.59,2877.0,49200.0,D,113353395.53174782,2.538080122349943e-05
2025-05-08,2025-05-09 00:00:00,0001437749-25-015727,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,5200.0,9.65,50180.0,45000.0,D,113353395.53174782,0.0004426863418127221
2025-05-08,2025-05-09 00:00:00,0001437749-25-015727,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,2447.0,9.625,23552.375,37447.0,D,113353395.53174782,0.00020777829274116002
2025-05-08,2025-05-09 00:00:00,0001437749-25-015727,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,2353.0,9.645,22694.684999999998,39800.0,D,113353395.53174782,0.00020021177921965036
2025-05-07,2025-05-09 00:00:00,0001437749-25-015727,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,4356.0,9.7,42253.2,35000.0,D,113353395.53174782,0.00037275636783342585
2025-05-07,2025-05-09 00:00:00,0001437749-25-015727,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,2596.0,9.65,25051.4,27993.0,D,113353395.53174782,0.0002210026429511205
2025-05-07,2025-05-09 00:00:00,0001437749-25-015727,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,839.0,9.69,8129.91,30644.0,D,113353395.53174782,7.172180384947524e-05
2025-05-07,2025-05-09 00:00:00,0001437749-25-015727,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,500.0,9.675,4837.5,29217.0,D,113353395.53174782,4.2676269001973755e-05
2025-05-07,2025-05-09 00:00:00,0001437749-25-015727,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,424.0,9.67,4100.08,28717.0,D,113353395.53174782,3.6170773542038774e-05
2025-05-07,2025-05-09 00:00:00,0001437749-25-015727,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,300.0,9.685,2905.5,29805.0,D,113353395.53174782,2.5632227304441292e-05
2025-05-07,2025-05-09 00:00:00,0001437749-25-015727,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,300.0,9.66,2898.0,28293.0,D,113353395.53174782,2.55660625462987e-05
2025-05-07,2025-05-09 00:00:00,0001437749-25-015727,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,297.0,9.62,2857.14,25397.0,D,113353395.53174782,2.520559694393784e-05
2025-05-07,2025-05-09 00:00:00,0001437749-25-015727,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,288.0,9.68,2787.84,29505.0,D,113353395.53174782,2.4594234578700264e-05
2025-05-07,2025-05-09 00:00:00,0001437749-25-015727,WSBK,"Winchester Bancorp, Inc./MD/",0002047235,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hood William Preston,0002066176,,true,false,false,P,100.0,9.6,960.0,25100.0,D,113353395.53174782,8.469089042252156e-06
