txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-20,2026-03-20 00:00:00,0001083301-26-000044,WULF,TERAWULF INC.,0001083301,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Bucella Michael C.,0001915351,,true,false,false,P,1665.0,15.04,25041.6,280052.0,D,11522728981.159546,2.1732351807410153e-06
2026-03-19,2026-03-19 00:00:00,0001083301-26-000042,WULF,TERAWULF INC.,0001083301,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Bucella Michael C.,0001915351,,true,false,false,P,1670.0,14.96,24983.2,278387.0,D,11522728981.159546,2.1681669369165284e-06
2026-03-18,2026-03-19 00:00:00,0001083301-26-000042,WULF,TERAWULF INC.,0001083301,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Bucella Michael C.,0001915351,,true,false,false,P,1581.0,15.79,24963.989999999998,276717.0,D,11522728981.159546,2.166499797124261e-06
2026-03-17,2026-03-19 00:00:00,0001083301-26-000042,WULF,TERAWULF INC.,0001083301,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Bucella Michael C.,0001915351,,true,false,false,P,1584.0,16.0,25344.0,275136.0,D,11522728981.159546,2.199478963832195e-06
2026-03-11,2026-03-13 00:00:00,0001083301-26-000038,WULF,TERAWULF INC.,0001083301,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Bucella Michael C.,0001915351,,true,false,false,P,1338.0,14.91,19949.58,273552.0,D,11522728981.159546,1.731324240344361e-06
2026-03-09,2026-03-09 00:00:00,0001083301-26-000035,WULF,TERAWULF INC.,0001083301,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Bucella Michael C.,0001915351,,true,false,false,P,752.0,13.31,10009.12,272214.0,D,11522728981.159546,8.686414491190065e-07
2026-03-06,2026-03-09 00:00:00,0001083301-26-000035,WULF,TERAWULF INC.,0001083301,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Bucella Michael C.,0001915351,,true,false,false,P,679.0,14.8,10049.2,271462.0,D,11522728981.159546,8.721197917985517e-07
2026-03-05,2026-03-09 00:00:00,0001083301-26-000035,WULF,TERAWULF INC.,0001083301,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Bucella Michael C.,0001915351,,true,false,false,P,654.0,15.31,10012.74,270783.0,D,11522728981.159546,8.68955610808127e-07
2026-03-04,2026-03-04 00:00:00,0001083301-26-000033,WULF,TERAWULF INC.,0001083301,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Bucella Michael C.,0001915351,,true,false,false,P,3171.0,15.78,50038.38,270129.0,D,11522728981.159546,4.34258065791673e-06
2025-11-13,2025-12-11 00:00:00,0001083301-25-000118,WULF,TERAWULF INC.,0001083301,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Bucella Michael C.,0001915351,,true,false,false,P,4178.0,12.01,50177.78,266958.0,D,11522728981.159546,4.3546784864977836e-06
