txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-12,2026-05-12 00:00:00,0001104659-26-059532,XRN,Chiron Real Estate Inc.,0001533615,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Decker Mark Okey Jr,0001681625,CEO and President,true,true,false,P,4000.0,33.99,135960.0,59774.0,D,454219361.5610504,0.00029932673836873853
2026-05-12,2026-05-13 00:00:00,0001104659-26-060453,XRN,Chiron Real Estate Inc.,0001533615,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Wittman Lori,0001615562,,true,false,false,P,2940.0,33.8487,99515.178,2940.0,D,454219361.5610504,0.00021909056817390738
2026-05-12,2026-05-12 00:00:00,0001104659-26-059535,XRN,Chiron Real Estate Inc.,0001533615,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Holley Danica,0001657320,COO,false,true,false,P,1490.0,33.99,50645.100000000006,1590.0,D,454219361.5610504,0.00011149921004235513
2026-05-12,2026-05-13 00:00:00,0001104659-26-060451,XRN,Chiron Real Estate Inc.,0001533615,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Barber Jamie Allen,0001705686,General Counsel and Secretary,false,true,false,P,1481.0,33.5,49613.5,1481.0,I,454219361.5610504,0.00010922806070945433
2026-05-12,2026-05-13 00:00:00,0001104659-26-060452,XRN,Chiron Real Estate Inc.,0001533615,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Marston Ronald,0001652392,,true,false,false,P,1011.0,34.0592,34433.8512,2766.0,I,454219361.5610504,7.580885826103614e-05
2026-05-12,2026-05-12 00:00:00,0001104659-26-059532,XRN,Chiron Real Estate Inc.,0001533615,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Decker Mark Okey Jr,0001681625,CEO and President,true,true,false,P,1000.0,33.74,33740.0,55774.0,D,454219361.5610504,7.428128973640216e-05
2026-05-12,2026-05-13 00:00:00,0001104659-26-060452,XRN,Chiron Real Estate Inc.,0001533615,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Marston Ronald,0001652392,,true,false,false,P,300.0,34.1399,10241.97,3066.0,I,454219361.5610504,2.2548510404313542e-05
2026-05-12,2026-05-13 00:00:00,0001104659-26-060452,XRN,Chiron Real Estate Inc.,0001533615,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Marston Ronald,0001652392,,true,false,false,P,189.0,34.045,6434.505,1755.0,I,454219361.5610504,1.4166073806026332e-05
2026-05-11,2026-05-12 00:00:00,0001104659-26-059537,XRN,Chiron Real Estate Inc.,0001533615,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",KIERNAN ROBERT J,0001229248,CFO and Treasurer,false,true,false,P,3000.0,33.49,100470.0,6000.0,D,454219361.5610504,0.0002211926846418591
2026-05-11,2026-05-11 00:00:00,0001104659-26-058865,XRN,Chiron Real Estate Inc.,0001533615,NYSE,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",Crowley Paula,0001743595,,true,false,false,P,1000.0,34.0,34000.0,1000.0,I,454219361.5610504,7.485370038641593e-05
