txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-18,2026-05-19 00:00:00,0001193125-26-230784,XZO,"Exzeo Group, Inc.",0001873951,NYSE,7372,Services-Prepackaged Software,Services,Patel Paresh,0001439934,Chief Executive Officer,true,true,false,P,2000.0,13.93,27860.0,1660013.0,D,1244673268.5491085,2.2383384221367476e-05
2026-05-15,2026-05-18 00:00:00,0001193125-26-228943,XZO,"Exzeo Group, Inc.",0001873951,NYSE,7372,Services-Prepackaged Software,Services,Patel Paresh,0001439934,Chief Executive Officer,true,true,false,P,1500.0,13.72,20580.0,1658013.0,D,1244673268.5491085,1.653445970121115e-05
2026-05-15,2026-05-18 00:00:00,0001193125-26-228943,XZO,"Exzeo Group, Inc.",0001873951,NYSE,7372,Services-Prepackaged Software,Services,Patel Paresh,0001439934,Chief Executive Officer,true,true,false,P,500.0,13.55,6775.0,1656513.0,D,1244673268.5491085,5.443195552755372e-06
2026-05-14,2026-05-15 00:00:00,0001193125-26-226798,XZO,"Exzeo Group, Inc.",0001873951,NYSE,7372,Services-Prepackaged Software,Services,Patel Paresh,0001439934,Chief Executive Officer,true,true,false,P,2000.0,13.75,27500.0,1656013.0,D,1244673268.5491085,2.2094151690150955e-05
2026-05-13,2026-05-14 00:00:00,0001193125-26-224071,XZO,"Exzeo Group, Inc.",0001873951,NYSE,7372,Services-Prepackaged Software,Services,Patel Paresh,0001439934,Chief Executive Officer,true,true,false,P,2000.0,13.55,27100.0,1654013.0,D,1244673268.5491085,2.1772782211021488e-05
2026-05-12,2026-05-13 00:00:00,0001193125-26-221665,XZO,"Exzeo Group, Inc.",0001873951,NYSE,7372,Services-Prepackaged Software,Services,Patel Paresh,0001439934,Chief Executive Officer,true,true,false,P,2000.0,13.85,27700.0,1652013.0,D,1244673268.5491085,2.225483642971569e-05
2026-05-11,2026-05-12 00:00:00,0001193125-26-219483,XZO,"Exzeo Group, Inc.",0001873951,NYSE,7372,Services-Prepackaged Software,Services,Patel Paresh,0001439934,Chief Executive Officer,true,true,false,P,2000.0,13.99,27980.0,1650013.0,D,1244673268.5491085,2.2479795065106318e-05
2026-05-08,2026-05-11 00:00:00,0001193125-26-216810,XZO,"Exzeo Group, Inc.",0001873951,NYSE,7372,Services-Prepackaged Software,Services,Patel Paresh,0001439934,Chief Executive Officer,true,true,false,P,2000.0,13.52,27040.0,1648013.0,D,1244673268.5491085,2.172457678915207e-05
2026-05-07,2026-05-08 00:00:00,0001193125-26-214652,XZO,"Exzeo Group, Inc.",0001873951,NYSE,7372,Services-Prepackaged Software,Services,Patel Paresh,0001439934,Chief Executive Officer,true,true,false,P,2000.0,15.11,30220.0,1646013.0,D,1244673268.5491085,2.427946414823134e-05
2026-05-06,2026-05-07 00:00:00,0001193125-26-211996,XZO,"Exzeo Group, Inc.",0001873951,NYSE,7372,Services-Prepackaged Software,Services,Patel Paresh,0001439934,Chief Executive Officer,true,true,false,P,1656.0,17.31,28665.359999999997,1644013.0,D,1244673268.5491085,2.3030429530646746e-05
