txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-08,2026-05-08 00:00:00,0000108985-26-000057,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Scarpato Matthew J,0001984229,Chief Operating Officer,false,true,false,P,700.0,29.3,20510.0,2570.077,D,478985955.08325577,4.281962713590427e-05
2026-04-16,2026-04-17 00:00:00,0000108985-26-000034,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Hand Joseph Thomas,0001434722,CEO & President,true,true,false,P,1052.0,28.5,29982.0,41331.8486,D,478985955.08325577,6.25947372398187e-05
2026-04-16,2026-04-17 00:00:00,0000108985-26-000033,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Poff Matthew E,0001727090,Chief Financial Officer,false,true,false,P,175.0,28.5,4987.5,8450.726,D,478985955.08325577,1.0412622639703682e-05
2026-04-16,2026-04-17 00:00:00,0000108985-26-000031,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Scarpato Matthew J,0001984229,Chief Operating Officer,false,true,false,P,102.999,29.127,3000.051873,1074.077,D,478985955.08325577,6.263339960518343e-06
2026-04-16,2026-04-16 00:00:00,0000108985-26-000029,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Hand Joseph Thomas,0001434722,CEO & President,true,true,false,P,102.999,29.127,3000.051873,40279.8486,D,478985955.08325577,6.263339960518343e-06
2026-04-16,2026-04-16 00:00:00,0000108985-26-000027,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Becker Suzanne M,0002058774,VP- Customer Service,false,true,false,P,41.2,29.127,1200.0324,119.187,D,478985955.08325577,2.5053603080938235e-06
2026-04-16,2026-04-16 00:00:00,0000108985-26-000026,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Chiaruttini Alexandra C,0001828738,CAO & General Counsel,false,true,false,P,41.199,29.127,1200.0032729999998,4955.781,D,478985955.08325577,2.5052994983776073e-06
2026-04-16,2026-04-16 00:00:00,0000108985-26-000028,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Grimm Ashley M,0002019031,VP- Human Resources,false,true,false,P,12.36,29.127,360.00971999999996,349.616,D,478985955.08325577,7.516080924281469e-07
2026-04-16,2026-04-17 00:00:00,0000108985-26-000032,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Snyder Mark S,0001463117,VP- Engineering,false,true,false,P,10.3,29.127,300.0081,4574.337,D,478985955.08325577,6.263400770234559e-07
2026-04-16,2026-04-16 00:00:00,0000108985-26-000030,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Poff Matthew E,0001727090,Chief Financial Officer,false,true,false,P,4.12,29.127,120.00324,8275.726,D,478985955.08325577,2.5053603080938235e-07
2026-03-16,2026-03-17 00:00:00,0000108985-26-000018,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Hand Joseph Thomas,0001434722,President & CEO,true,true,false,P,15.0,31.55,473.25,39887.0776,D,478985955.08325577,9.880247948350411e-07
2026-01-16,2026-01-16 00:00:00,0000108985-26-000004,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Hand Joseph Thomas,0001434722,President & CEO,true,true,false,P,279.173,30.4476,8500.1478348,39872.0776,D,478985955.08325577,1.7746131686309117e-05
2026-01-16,2026-01-16 00:00:00,0000108985-26-000006,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Scarpato Matthew J,0001984229,Chief Operating Officer,false,true,false,P,91.963,30.4476,2800.0526388,964.071,D,478985955.08325577,5.845792781780635e-06
2026-01-16,2026-01-16 00:00:00,0000108985-26-000002,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Chiaruttini Alexandra C,0001828738,CAO & General Counsel,false,true,false,P,45.982,30.4476,1400.0415432,4879.123,D,478985955.08325577,2.9229281742857143e-06
2026-01-16,2026-01-16 00:00:00,0000108985-26-000001,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Becker Suzanne M,0002058774,VP- Customer Service,false,true,false,P,45.981,30.4476,1400.0110956,77.424,D,478985955.08325577,2.9228646074949205e-06
2026-01-16,2026-01-16 00:00:00,0000108985-26-000003,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Grimm Ashley M,0002019031,VP- Human Resources,false,true,false,P,13.795,30.4476,420.02464200000003,334.823,D,478985955.08325577,8.769038790020319e-07
2026-01-16,2026-01-16 00:00:00,0000108985-26-000007,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Snyder Mark S,0001463117,VP- Engineering,false,true,false,P,11.496,30.4476,350.02560960000005,4531.107,D,478985955.08325577,7.307638269668257e-07
2026-01-16,2026-01-16 00:00:00,0000108985-26-000005,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Poff Matthew E,0001727090,Chief Financial Officer,false,true,false,P,4.598,30.4476,139.9980648,8211.926,D,478985955.08325577,2.9228010407041266e-07
2025-12-22,2025-12-23 00:00:00,0000108985-25-000098,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Yanavitch William T. II,0001200162,,true,false,false,P,44.487,33.7174,1499.9859738,44.487,D,478985955.08325577,3.131586548376512e-06
2025-11-13,2025-11-14 00:00:00,0000108985-25-000094,YORW,YORK WATER CO,0000108985,NASDAQ,4941,Water Supply,"Transportation, Communications, Electric, Gas",Hand Joseph Thomas,0001434722,President & CEO,true,true,false,P,30.0,32.11,963.3,39006.9716,D,478985955.08325577,2.011123686982768e-06
